Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																	
Дата голосования: 07.12.2003 0:00:00																																																	
																																																	
"Наименование Избирательной комиссии:    Челябинск, Центральная"																																																	
																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																	
																																																	
		Сумма	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815					
1	"Число избирателей, внесенных в списки"	70191	2387	2702	2664	1039	1171	1573	1868	2248	2214	1792	1255	1575	1651	1776	1420	1114	1075	1324	1562	1491	1275	1655	1444	1667	2236	2387	2016	2261	2310	1478	1084	2284	2101	1842	1434	1522	1721	1167	1905	1332	431	738					
2	"Число бюллетеней, полученных участковыми комиссиями"	64070	2150	2440	2430	900	1020	1450	1670	2130	1990	1580	1120	1420	1500	1600	1220	1100	970	1200	1400	1400	1140	1480	1270	1500	1840	2100	1800	1990	1960	1340	1120	2030	1860	1720	1280	1370	1530	1060	1800	1190	1000	1000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	39569	1238	1340	1440	499	581	827	1125	1358	1464	1069	723	886	1030	1039	894	821	677	857	977	1044	761	851	833	921	1281	1318	1189	1348	1206	891	651	1263	1161	970	770	859	664	653	924	750	50	366					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2080	31	59	99	19	21	45	36	48	32	49	19	30	37	48	26	8	23	15	38	40	19	29	30	56	23	23	31	17	19	37	0	43	66	31	38	28	21	39	32	29	381	365					
6	Число погашенных бюллетеней	22424	881	1041	891	382	418	578	509	724	494	462	378	506	433	513	300	271	270	328	385	316	360	600	407	523	536	759	580	625	737	412	469	724	633	719	472	483	845	368	843	411	569	269					
7	Число бюллетеней в переносных ящиках для голосования	2071	31	59	99	19	21	45	36	48	32	49	19	30	37	48	26	8	23	15	38	33	19	29	30	56	23	23	31	17	19	37	0	43	66	31	38	28	21	39	32	29	379	365					
8	Число бюллетеней в стационарных ящиках для голосования	39505	1233	1340	1437	499	581	827	1124	1358	1462	1068	723	886	1030	1039	894	821	677	856	977	1044	761	850	830	919	1256	1318	1189	1348	1189	890	651	1263	1160	970	770	859	663	653	924	750	50	366					
9	Число недействительных бюллетеней	468	17	16	76	8	7	11	7	11	11	9	10	13	7	6	1	4	20	3	8	5	4	14	11	6	12	10	8	9	6	6	4	25	4	12	10	9	13	5	17	15	4	14					
10	Число действительных бюллетеней	41108	1247	1383	1460	510	595	861	1153	1395	1483	1108	732	903	1060	1081	919	825	680	868	1007	1072	776	865	849	969	1267	1331	1212	1356	1202	921	647	1281	1222	989	798	878	671	687	939	764	425	717					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1665	20	20	20	20	20	20	20	24	40	20	20	40	20	20	70	150	71	220	40	40	20	20	20	20	50	70	100	30	100	20	120	20	20	20	20	20	20	20	20	20	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	1071	8	15	14	8	3	4	15	23	25	11	18	30	9	19	61	132	32	136	22	19	8	13	15	13	28	32	49	26	62	12	115	12	10	14	8	20	11	12	5	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	568	16	13	9	8	8	10	13	6	18	18	19	7	7	15	12	17	18	13	13	10	9	18	9	3	15	15	9	16	10	9	18	11	27	7	13	14	8	13	12	10	13	59					
14	Число погашенных открепительных удостоверений	593	12	5	6	12	17	16	5	1	15	9	2	10	11	1	9	18	39	84	18	21	12	7	5	7	22	38	51	4	37	8	5	8	10	6	12	0	9	8	15	18	0	0					
15	Число открепительных удостоверений выданных ТИК	41	3	1	1	0	1	1	2	0	0	2	1	2	1	0	0	0	1	1	1	0	0	2	0	0	0	0	1	1	3	1	0	3	1	2	3	1	2	1	2	0	0	0					
16	Число утраченных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
