Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Кетовская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №501	УИК №559									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	42602	1258	1056	1561	1402	1314	692	712	1172	832	626	589	806	419	1134	477	573	501	339	788	467	667	1095	221	209	271	918	239	1679	344	2344	1688	112	296	2064	1420	436	576	165	1768	133	1565	821	1044	263	428	441	490	1043	360	2118	92	574									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	42400	1200	1075	1550	1425	1250	625	700	1175	825	575	550	800	400	1150	475	600	500	350	800	400	700	1100	225	200	275	925	225	1650	325	2300	1700	100	300	2200	1400	425	600	175	1775	125	1600	825	1050	275	425	450	500	1050	350	2125	100	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15474	617	427	556	456	590	220	446	579	373	259	221	285	158	380	136	225	164	147	312	133	299	454	120	131	73	284	106	517	122	642	537	55	120	463	551	176	246	61	507	70	429	421	346	45	159	217	225	296	99	696	46	277									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1729	25	21	21	27	35	8	4	12	9	18	116	27	27	54	55	24	27	14	62	21	11	31	20	9	12	55	8	47	8	39	44	1	46	99	40	14	12	12	37	6	129	20	77	51	27	15	18	61	59	109	1	4									
6	Число погашенных избирательных бюллетеней	25197	558	627	973	942	625	397	250	584	443	298	213	488	215	716	284	351	309	189	426	246	390	615	85	60	190	586	111	1086	195	1619	1119	44	134	1638	809	235	342	102	1231	49	1042	384	627	179	239	218	257	693	192	1320	53	219									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1729	25	21	21	27	35	8	4	12	9	18	116	27	27	54	55	24	27	14	62	21	11	31	20	9	12	55	8	47	8	39	44	1	46	99	40	14	12	12	37	6	129	20	77	51	27	15	18	61	59	109	1	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15474	617	427	556	456	590	220	446	579	373	259	221	285	158	380	136	225	164	147	312	133	299	454	120	131	73	284	106	517	122	642	537	55	120	463	551	176	246	61	507	70	429	421	346	45	159	217	225	296	99	696	46	277									
9	Число недействительных избирательных бюллетеней	276	8	7	6	9	20	8	5	9	13	2	11	3	2	8	1	10	4	2	3	2	2	14	0	1	1	2	2	11	2	11	5	0	4	10	15	4	1	0	6	2	10	8	2	0	1	8	1	6	3	9	0	2									
10	Число действительных избирательных бюллетеней	16927	634	441	571	474	605	220	445	582	369	275	326	309	183	426	190	239	187	159	371	152	308	471	140	139	84	337	112	553	128	670	576	56	162	552	576	186	257	73	538	74	548	433	421	96	185	224	242	351	155	796	47	279									
