Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
Наименование Избирательной комиссии:    Борзинская																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК  382	УИК  383	УИК  384	УИК  385	УИК  386	УИК  387	УИК  388	УИК  389	УИК  390	УИК  391	УИК  392	УИК  393	УИК  394	УИК  395	УИК  396	УИК  397	УИК  398	УИК  399	УИК  400	УИК  401	УИК  402	УИК  403	УИК  404	УИК  405	УИК  406	УИК  407	УИК  408	УИК  409	УИК  410	УИК  411	УИК  412	УИК  413	УИК  414	УИК  415	УИК  416	УИК  417	УИК  418	УИК  419	УИК  420					
1	"Число избирателей, внесенных в списки"	37203	366	384	562	332	138	239	336	644	411	613	366	450	696	547	306	312	593	2086	2130	2078	843	1599	397	2562	869	315	1419	1252	1513	1077	821	1202	1256	1378	1310	2385	974	1872	570					
2	"Число бюллетеней, полученных участковыми комиссиями"	38380	400	380	570	330	140	240	340	650	420	610	380	450	700	540	310	530	610	2090	2150	2100	970	1630	410	2600	870	700	1430	1260	1480	1040	900	1140	1260	1300	1350	2400	1200	1900	600					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	17381	205	232	358	179	94	169	212	298	240	291	190	273	349	301	140	312	270	992	1065	955	387	734	167	1116	262	259	542	400	480	332	301	410	461	557	526	882	669	1567	204					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1233	45	0	0	10	4	26	0	16	29	78	10	0	89	31	32	0	23	17	14	43	13	46	12	29	20	56	28	19	15	22	17	13	48	23	100	34	5	265	1					
6	Число погашенных бюллетеней	19766	150	148	212	141	42	45	128	336	151	241	180	177	262	208	138	218	317	1081	1071	1102	570	850	231	1455	588	385	860	841	985	686	582	717	751	720	724	1484	526	68	395					
7	Число бюллетеней в переносных ящиках для голосования	1233	45	0	0	10	4	26	0	16	29	78	10	0	89	31	32	0	23	17	14	43	13	46	12	29	20	56	28	19	15	22	17	13	48	23	100	34	5	265	1					
8	Число бюллетеней в стационарных ящиках для голосования	17381	205	232	358	179	94	169	212	298	240	291	190	273	349	301	140	312	270	992	1065	955	387	734	167	1116	262	259	542	400	480	332	301	410	461	557	526	882	669	1567	204					
9	Число недействительных бюллетеней	448	7	8	15	4	0	1	1	4	2	11	11	5	4	10	9	6	8	14	22	18	2	9	0	52	6	4	7	3	7	5	9	15	1	4	0	3	8	144	9					
10	Число действительных бюллетеней	18166	243	224	343	185	98	194	211	310	267	358	189	268	434	322	163	306	285	995	1057	980	398	771	179	1093	276	311	563	416	488	349	309	408	508	576	626	913	666	1688	196					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	455	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	15	15	15	15	15	10	15	10	10	15	15	15	15	10	15	10	10	10	10	15	15	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	60	0	0	2	0	0	0	0	0	6	9	0	0	0	0	2	8	1	2	3	2	1	0	0	3	1	0	2	1	1	1	0	1	2	2	1	2	4	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	49	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	3	3	2	0	0	0	4	0	1	5	2	4	3	0	0	3	5	0	2	0	4	3					
14	Число погашенных открепительных удостоверений	395	10	10	8	10	10	10	10	10	4	1	10	10	10	10	8	2	9	13	12	13	14	15	10	12	9	10	13	14	14	14	10	14	8	8	9	8	11	15	7					
