Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																						
Дата голосования: 04.12.2011																						
																						
Наименование Избирательной комиссии:    Баевская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592					
1	"Число избирателей, внесенных в список избирателей"	9660	1142	1789	1263	527	294	271	703	840	191	65	305	643	865	596	166					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9665	1170	1800	1280	530	290	270	700	850	190	70	300	600	850	600	165					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4749	594	867	567	239	154	138	375	417	95	39	139	318	395	304	108					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	678	83	89	89	31	14	28	38	69	6	7	31	56	64	67	6					
6	Число погашенных избирательных бюллетеней	4238	493	844	624	260	122	104	287	364	89	24	130	226	391	229	51					
7	Число избирательных бюллетеней в переносных ящиках для голосования	678	83	89	89	31	14	28	38	69	6	7	31	56	64	67	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4749	594	867	567	239	154	138	375	417	95	39	139	318	395	304	108					
9	Число недействительных избирательных бюллетеней	78	9	15	7	6	4	0	5	7	0	0	3	10	8	4	0					
10	Число действительных избирательных бюллетеней	5349	668	941	649	264	164	166	408	479	101	46	167	364	451	367	114					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	94	13	22	12	5	3	3	5	2	2	2	4	6	4	9	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	61	12	19	10	1	0	3	4	1	1	0	0	4	3	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	50	3	5	2	2	4	4	2	4	3	0	2	6	3	7	3					
14	Число погашенных неиспользованных открепительных удостоверений	33	1	3	2	4	3	0	1	1	1	2	4	2	1	6	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	827	104	150	102	38	31	27	49	68	18	6	16	72	65	56	25					
		15.24%	15.36%	15.69%	15.55%	14.07%	18.45%	16.27%	11.86%	13.99%	17.82%	13.04%	9.41%	19.25%	14.16%	15.09%	21.93%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	787	90	117	80	53	22	12	80	78	15	7	32	57	77	56	11					
		14.50%	13.29%	12.24%	12.20%	19.63%	13.10%	7.23%	19.37%	16.05%	14.85%	15.22%	18.82%	15.24%	16.78%	15.09%	9.65%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	45	7	9	4	2	6	0	2	2	1	0	0	3	6	3	0					
		0.83%	1.03%	0.94%	0.61%	0.74%	3.57%	0.00%	0.48%	0.41%	0.99%	0.00%	0.00%	0.80%	1.31%	0.81%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1454	184	303	216	55	36	55	118	122	12	10	25	102	96	103	17					
		26.79%	27.18%	31.69%	32.93%	20.37%	21.43%	33.13%	28.57%	25.10%	11.88%	21.74%	14.71%	27.27%	20.92%	27.76%	14.91%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	49	9	10	6	1	1	1	4	2	0	0	1	1	5	6	2					
		0.90%	1.33%	1.05%	0.91%	0.37%	0.60%	0.60%	0.97%	0.41%	0.00%	0.00%	0.59%	0.27%	1.09%	1.62%	1.75%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2176	273	351	240	114	68	70	153	205	55	23	92	129	202	142	59					
		40.10%	40.32%	36.72%	36.59%	42.22%	40.48%	42.17%	37.05%	42.18%	54.46%	50.00%	54.12%	34.49%	44.01%	38.27%	51.75%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	11	1	1	1	1	0	1	2	2	0	0	1	0	0	1	0					
		0.20%	0.15%	0.10%	0.15%	0.37%	0.00%	0.60%	0.48%	0.41%	0.00%	0.00%	0.59%	0.00%	0.00%	0.27%	0.00%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
