Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																											
Дата голосования: 04.12.2011																																																											
																																																											
Наименование Избирательной комиссии:    Шпаковская																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283					
1	"Число избирателей, внесенных в список избирателей"	81953	2323	2584	1971	1970	2149	2192	2368	2221	2863	2268	2178	1972	2028	2222	2080	1893	1844	1963	2065	2105	2356	240	2067	1591	508	353	1615	425	1275	129	344	1699	234	369	1836	2351	2329	1924	2474	1442	1443	1909	330	2790	1834	414	515	432	1892	92	1164	318					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	79500	2300	2500	1900	1900	2100	2100	2300	2100	2800	2200	2100	1900	2000	2200	2000	1800	1800	1900	2000	2000	2300	220	2000	1500	500	350	1600	400	1200	120	340	1600	230	350	1800	2300	2300	1900	2400	1400	1400	1900	300	2800	1800	400	500	400	1800	90	1100	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	35309	983	981	831	886	1101	816	880	800	953	890	868	816	724	1283	1101	728	670	820	984	751	1007	135	1399	965	177	190	1086	177	574	79	152	819	115	106	702	564	893	776	1179	656	538	969	176	1149	711	175	164	179	801	61	610	159					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	5764	105	264	167	28	28	79	27	87	51	128	64	299	388	61	132	64	114	162	143	574	79	27	52	44	75	27	42	13	72	4	2	96	36	45	362	287	290	93	48	61	39	320	49	221	137	38	80	17	47	4	55	37					
6	Число погашенных избирательных бюллетеней	38427	1212	1255	902	986	971	1205	1393	1213	1796	1182	1168	785	888	856	767	1008	1016	918	873	675	1214	58	549	491	248	133	472	210	554	37	186	685	79	199	736	1449	1117	1031	1173	683	823	611	75	1430	952	187	256	204	952	25	435	104					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5764	105	264	167	28	28	79	27	87	51	128	64	299	388	61	132	64	114	162	143	574	79	27	52	44	75	27	42	13	72	4	2	96	36	45	362	287	290	93	48	61	39	320	49	221	137	38	80	17	47	4	55	37					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	35254	983	981	831	886	1101	816	880	800	953	890	868	816	724	1283	1101	728	670	820	984	751	1007	135	1347	965	177	190	1086	177	574	79	152	819	115	106	702	564	893	776	1179	656	538	969	176	1149	709	175	164	179	801	61	609	159					
9	Число недействительных избирательных бюллетеней	532	21	0	39	18	13	19	19	0	2	2	0	9	7	7	1	13	2	2	3	17	0	2	25	17	7	0	24	9	14	3	6	25	2	1	12	25	8	0	24	20	14	18	3	16	30	2	2	5	4	4	12	4					
10	Число действительных избирательных бюллетеней	40486	1067	1245	959	896	1116	876	888	887	1002	1016	932	1106	1105	1337	1232	779	782	980	1124	1308	1086	160	1374	992	245	217	1104	181	632	80	148	890	149	150	1052	826	1175	869	1203	697	563	1271	222	1354	816	211	242	191	844	61	652	192					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	864	20	20	20	20	20	20	20	20	20	40	20	21	20	20	20	20	20	20	20	42	20	5	20	20	5	5	20	10	15	5	5	20	5	5	20	20	20	20	20	10	10	20	5	20	31	5	5	5	20	5	20	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	618	20	15	20	17	11	17	20	13	18	34	19	21	8	17	16	18	18	11	12	39	17	0	11	10	5	2	20	10	8	0	0	0	0	5	9	9	10	20	20	2	3	10	5	20	25	3	2	0	4	0	19	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	322	8	11	10	8	20	11	6	3	4	8	3	5	6	8	7	12	3	10	2	13	6	1	4	3	3	2	6	2	6	3	4	4	3	1	7	6	9	5	10	5	4	13	8	6	13	10	6	5	3	1	3	2					
14	Число погашенных неиспользованных открепительных удостоверений	246	0	5	0	3	9	3	0	7	2	6	1	0	12	3	4	2	2	9	8	3	3	5	9	10	0	3	0	0	7	5	5	20	5	0	11	11	10	0	0	8	7	10	0	0	6	2	3	5	16	5	1	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	2	0	0	0	0	0	0	1	1	0	3	0	2	0	0	2	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	2	0	0	1	2	0	0	0	0	2	1	0	0	1	0	0	0	0	3	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3816	109	117	94	99	97	23	116	119	108	97	103	26	98	107	91	115	72	32	108	115	96	18	123	117	35	35	100	45	84	16	5	119	25	16	74	73	68	101	124	80	37	129	20	105	76	10	15	19	107	4	79	15					
		9.30%	10.02%	9.40%	9.42%	10.83%	8.59%	2.57%	12.79%	13.42%	10.76%	9.53%	11.05%	2.33%	8.81%	7.96%	7.38%	14.52%	9.18%	3.26%	9.58%	8.68%	8.84%	11.11%	8.79%	11.60%	13.89%	16.13%	8.87%	23.68%	13.00%	19.28%	3.25%	13.01%	16.56%	10.60%	6.95%	8.58%	5.75%	11.62%	10.11%	11.16%	6.41%	10.01%	8.89%	7.66%	8.98%	4.69%	6.15%	9.69%	12.62%	6.15%	11.90%	7.65%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	6726	163	218	136	162	162	138	180	161	217	204	208	35	138	239	208	201	166	190	190	173	200	44	262	186	49	37	216	32	93	12	22	133	14	24	150	142	123	177	194	100	87	180	42	192	191	29	37	28	132	13	91	5					
		16.40%	14.98%	17.51%	13.63%	17.72%	14.35%	15.42%	19.85%	18.15%	21.61%	20.04%	22.32%	3.14%	12.41%	17.78%	16.87%	25.38%	21.17%	19.35%	16.86%	13.06%	18.42%	27.16%	18.73%	18.43%	19.44%	17.05%	19.15%	16.84%	14.40%	14.46%	14.29%	14.54%	9.27%	15.89%	14.10%	16.69%	10.40%	20.37%	15.81%	13.95%	15.08%	13.96%	18.67%	14.01%	22.58%	13.62%	15.16%	14.29%	15.57%	20.00%	13.70%	2.55%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	304	6	18	0	15	15	10	0	0	2	2	0	6	5	20	1	7	2	2	17	9	0	6	14	9	5	3	7	3	11	0	4	9	2	0	18	5	6	0	12	5	7	10	2	9	7	3	2	2	3	0	3	0					
		0.74%	0.55%	1.45%	0.00%	1.64%	1.33%	1.12%	0.00%	0.00%	0.20%	0.20%	0.00%	0.54%	0.45%	1.49%	0.08%	0.88%	0.26%	0.20%	1.51%	0.68%	0.00%	3.70%	1.00%	0.89%	1.98%	1.38%	0.62%	1.58%	1.70%	0.00%	2.60%	0.98%	1.32%	0.00%	1.69%	0.59%	0.51%	0.00%	0.98%	0.70%	1.21%	0.78%	0.89%	0.66%	0.83%	1.41%	0.82%	1.02%	0.35%	0.00%	0.45%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	6752	197	191	194	232	201	211	220	160	246	175	147	127	174	257	198	153	139	130	208	184	230	20	178	134	33	47	203	27	132	9	53	136	27	14	123	105	89	131	166	102	76	245	39	129	108	28	36	51	144	5	163	25					
		16.46%	18.11%	15.34%	19.44%	25.38%	17.80%	23.58%	24.26%	18.04%	24.50%	17.19%	15.77%	11.39%	15.65%	19.12%	16.06%	19.32%	17.73%	13.24%	18.46%	13.89%	21.18%	12.35%	12.72%	13.28%	13.10%	21.66%	17.99%	14.21%	20.43%	10.84%	34.42%	14.86%	17.88%	9.27%	11.56%	12.34%	7.52%	15.07%	13.53%	14.23%	13.17%	19.01%	17.33%	9.42%	12.77%	13.15%	14.75%	26.02%	16.98%	7.69%	24.55%	12.76%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	574	20	25	0	37	22	12	0	0	2	3	0	20	11	23	2	17	3	3	24	32	0	0	27	30	7	4	27	4	6	2	3	16	4	0	27	14	19	0	17	12	11	29	5	20	12	3	3	2	9	1	3	1					
		1.40%	1.84%	2.01%	0.00%	4.05%	1.95%	1.34%	0.00%	0.00%	0.20%	0.29%	0.00%	1.79%	0.99%	1.71%	0.16%	2.15%	0.38%	0.31%	2.13%	2.42%	0.00%	0.00%	1.93%	2.97%	2.78%	1.84%	2.39%	2.11%	0.93%	2.41%	1.95%	1.75%	2.65%	0.00%	2.54%	1.65%	1.61%	0.00%	1.39%	1.67%	1.91%	2.25%	2.22%	1.46%	1.42%	1.41%	1.23%	1.02%	1.06%	1.54%	0.45%	0.51%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	22179	569	671	535	343	617	475	372	447	426	534	474	888	677	685	731	283	399	622	573	787	560	72	766	515	116	88	541	69	303	40	61	475	77	96	655	478	864	460	687	394	343	673	114	892	419	138	149	88	446	37	309	146					
		54.07%	52.30%	53.90%	53.61%	37.53%	54.65%	53.07%	41.01%	50.39%	42.43%	52.46%	50.86%	79.64%	60.88%	50.97%	59.29%	35.73%	50.89%	63.34%	50.84%	59.40%	51.57%	44.44%	54.75%	51.04%	46.03%	40.55%	47.96%	36.32%	46.90%	48.19%	39.61%	51.91%	50.99%	63.58%	61.56%	56.17%	73.03%	52.93%	55.99%	54.95%	59.45%	52.21%	50.67%	65.11%	49.53%	64.79%	61.07%	44.90%	52.59%	56.92%	46.54%	74.49%					
