Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
Наименование Избирательной комиссии:    Абанская																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №2264	УИК №2292	УИК №2293	УИК №2294	УИК №2295									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17099	2523	2540	1264	250	60	413	188	128	234	752	937	113	89	133	69	256	140	39	38	422	182	147	93	81	115	56	404	152	345	146	84	77	79	44	423	504	202	284	66	57	636	251	110	27	68	170	204	179	76	938	40	59	102	110									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16250	2000	2177	1261	250	62	413	184	129	236	753	961	113	90	134	72	258	139	37	38	421	181	145	92	78	116	59	404	151	346	148	84	76	80	45	425	510	205	285	64	58	634	251	107	26	70	171	205	178	79	932	40	60	105	112									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6659	938	830	442	92	33	218	94	57	138	274	316	55	46	66	31	131	45	23	26	190	94	82	59	44	86	36	140	61	91	58	31	38	50	19	136	174	96	105	43	25	202	89	54	15	49	83	97	75	46	291	25	27	38	55									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	469	46	23	34	9	4	0	11	0	14	20	49	6	2	4	3	3	0	4	0	12	12	1	2	0	0	0	19	4	24	16	3	1	3	0	15	14	6	23	2	0	12	16	0	2	0	5	8	2	2	12	3	3	7	8									
6	Число погашенных избирательных бюллетеней	9122	1016	1324	785	149	25	195	79	72	84	459	596	52	42	64	38	124	94	10	12	219	75	62	31	34	30	23	245	86	231	74	50	37	27	26	274	322	103	157	19	33	420	146	53	9	21	83	100	101	31	629	12	30	60	49									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	469	46	23	34	9	4	0	11	0	14	20	49	6	2	4	3	3	0	4	0	12	12	1	2	0	0	0	19	4	24	16	3	1	3	0	15	14	6	23	2	0	12	16	0	2	0	5	8	2	2	12	3	3	7	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6659	938	830	442	92	33	218	94	57	138	274	316	55	46	66	31	131	45	23	26	190	94	82	59	44	86	36	140	61	91	58	31	38	50	19	136	174	96	105	43	25	202	89	54	15	49	83	97	75	46	291	25	27	38	55									
9	Число недействительных избирательных бюллетеней	210	49	17	11	4	0	4	0	0	1	8	13	2	1	2	2	5	0	0	0	3	1	1	0	5	0	1	4	0	4	1	4	2	5	0	7	4	3	5	1	1	5	4	1	0	0	4	3	2	1	12	0	1	4	2									
10	Число действительных избирательных бюллетеней	6918	935	836	465	97	37	214	105	57	151	286	352	59	47	68	32	129	45	27	26	199	105	82	61	39	86	35	155	65	111	73	30	37	48	19	144	184	99	123	44	24	209	101	53	17	49	84	102	75	47	291	28	29	41	61									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	517	50	80	40	7	2	15	6	5	6	15	25	30	5	10	3	5	5	3	3	10	5	5	5	3	5	3	10	5	10	5	3	3	3	3	10	15	5	5	3	3	12	5	5	3	3	5	10	5	3	20	3	3	3	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	84	20	12	5	0	0	1	1	0	0	1	17	0	0	0	0	5	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	3	1	1	0	0	4	0	1	0	0	0	1	0	0	6	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	68	2	7	0	1	0	2	4	1	0	0	0	0	0	1	0	5	2	5	2	1	2	1	0	4	1	3	0	1	1	0	0	3	1	0	0	1	0	2	1	0	1	0	2	3	0	0	1	1	0	3	1	1	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	433	30	68	35	7	2	14	5	5	6	14	8	30	5	10	3	0	4	3	3	10	5	5	4	3	5	3	9	5	10	5	3	2	3	3	9	12	4	4	3	3	8	5	4	3	3	5	9	5	3	14	3	3	3	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	1	4	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	64	13	10	5	1	0	5	0	0	1	3	0	0	1	0	1	0	0	0	0	3	0	0	0	2	0	0	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	2	0	0	0	0	0	2	2	5	0	1	1	0									
		0.90%	1.32%	1.17%	1.05%	0.99%	0.00%	2.29%	0.00%	0.00%	0.66%	1.02%	0.00%	0.00%	2.08%	0.00%	2.94%	0.00%	0.00%	0.00%	0.00%	1.49%	0.00%	0.00%	0.00%	4.55%	0.00%	0.00%	0.63%	0.00%	0.87%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	0.53%	0.98%	0.78%	0.00%	0.00%	0.00%	1.90%	0.00%	0.00%	0.00%	0.00%	0.00%	2.60%	4.17%	1.65%	0.00%	3.33%	2.22%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	217	39	29	19	8	3	2	2	0	6	13	10	4	0	2	0	5	1	1	0	6	0	1	0	2	1	1	5	1	5	0	0	0	1	0	4	8	3	7	1	1	7	4	1	0	0	2	0	0	1	10	0	1	0	0									
		3.04%	3.96%	3.40%	3.99%	7.92%	8.11%	0.92%	1.90%	0.00%	3.95%	4.42%	2.74%	6.56%	0.00%	2.86%	0.00%	3.73%	2.22%	3.70%	0.00%	2.97%	0.00%	1.20%	0.00%	4.55%	1.16%	2.78%	3.14%	1.54%	4.35%	0.00%	0.00%	0.00%	1.89%	0.00%	2.65%	4.26%	2.94%	5.47%	2.22%	4.00%	3.27%	3.81%	1.85%	0.00%	0.00%	2.27%	0.00%	0.00%	2.08%	3.30%	0.00%	3.33%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	129	18	17	8	4	1	2	4	0	1	6	8	2	5	0	0	2	1	0	0	0	0	4	1	1	0	0	5	1	4	0	2	0	1	0	2	4	2	3	0	2	5	3	0	0	0	3	0	1	1	4	0	0	1	0									
		1.81%	1.83%	1.99%	1.68%	3.96%	2.70%	0.92%	3.81%	0.00%	0.66%	2.04%	2.19%	3.28%	10.42%	0.00%	0.00%	1.49%	2.22%	0.00%	0.00%	0.00%	0.00%	4.82%	1.64%	2.27%	0.00%	0.00%	3.14%	1.54%	3.48%	0.00%	5.88%	0.00%	1.89%	0.00%	1.32%	2.13%	1.96%	2.34%	0.00%	8.00%	2.34%	2.86%	0.00%	0.00%	0.00%	3.41%	0.00%	1.30%	2.08%	1.32%	0.00%	0.00%	2.22%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3231	362	303	163	30	20	107	61	45	101	132	171	43	21	46	27	63	19	10	10	99	60	40	34	17	54	18	69	36	40	29	10	25	30	11	81	78	53	76	33	14	97	35	34	13	15	34	73	45	25	125	15	18	26	35									
