Выборы Президента Российской Федерации																																																																																																																			
Дата голосования: 04.03.2012																																																																																																																			
																																																																																																																			
Наименование Избирательной комиссии:    Екатеринбург, Орджоникидзевская 																																																																																																																			
																																																																																																																			
Сводная таблица итогов голосования																																																																																																																			
																																																																																																																			
	Число участковых избирательных комиссий	104																																																																																																																	
	Число участковых избирательных комиссий, приступивших к передаче сведений	104																																																																																																																	
																																																																																																																			
		Сумма	УИК №150	УИК №1214	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №2624									
1	Число избирателей, включенных в список избирателей	209375	73	1366	617	362	1738	1829	1702	1978	2648	1452	1542	1220	2082	1156	766	1470	1447	2094	1429	1849	1439	1938	2246	1493	1431	2280	2596	2440	1951	2482	2297	2003	1648	1574	2332	1797	2438	1977	2042	1965	2370	2310	2046	1684	1802	2173	2172	2213	2614	2189	2281	2004	2246	2193	2606	2609	2491	2378	2276	2505	2166	2970	2676	2391	2343	2595	2588	2059	1976	2543	2315	2650	2359	2076	2719	2271	2601	2253	2324	2161	2677	2588	1757	2585	2246	2206	2406	2724	2608	2244	1811	2231	1611	1389	1881	1351	298	2618	1946	2068	2405	107	2597	634									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	202520	100	1000	400	370	1700	1700	1600	1900	2600	1400	1500	1200	2100	1100	700	1400	1400	2000	1300	1800	1400	1900	2200	1400	1400	2200	2600	2400	1900	2500	2300	1900	1600	1500	2300	1700	2300	2000	2000	1900	2300	2300	2100	1600	1800	2100	2100	2200	2500	2100	2200	1900	2100	2200	2600	2600	2500	2400	2200	2500	2100	2800	2600	2300	2300	2500	2600	2000	1900	2500	2300	2600	2300	2000	2700	2200	2500	2100	2200	2100	2700	2500	1700	2500	2200	2100	2300	2700	2300	2200	1700	2100	1500	1300	1800	1200	300	2500	1900	2000	2300	100	2500	550									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	119027	15	686	75	277	739	950	907	1062	1475	681	870	609	1267	729	445	794	748	987	918	995	791	1157	1170	806	917	1400	1656	1429	1247	1536	1445	1098	852	720	1332	983	1277	1138	1243	1043	1459	1516	1168	945	1038	1206	1264	1314	1520	1239	1244	1181	1323	1264	1532	1320	1326	1379	1345	1317	1138	1967	1301	1378	1379	1527	1537	1295	1047	1726	1353	1486	1379	994	1476	1416	1643	1429	1124	1326	1622	1434	1065	1495	1284	1142	1162	1447	1780	1253	786	1140	917	865	1167	713	175	1407	1171	1253	1459	100	1481	419									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	2441	58	0	325	85	15	6	20	20	10	8	12	4	21	12	16	22	9	15	22	26	10	22	9	9	14	11	7	40	27	50	28	14	6	7	29	24	19	19	24	24	16	14	29	18	16	21	22	15	10	16	19	26	22	23	23	34	7	17	21	20	9	8	15	21	18	26	30	10	10	20	25	15	13	14	19	12	17	21	30	22	31	11	19	35	15	11	20	39	27	45	10	28	26	11	27	24	108	58	13	11	14	0	14	1									
6	Число погашенных избирательных бюллетеней	81051	27	314	0	8	946	744	673	818	1115	711	618	587	812	359	239	584	643	998	360	779	599	721	1021	585	469	789	937	931	626	914	827	788	742	773	939	693	1004	843	732	833	825	770	903	637	746	873	814	871	970	845	937	693	755	913	1045	1246	1167	1004	834	1163	953	825	1284	901	903	947	1033	695	843	754	922	1099	908	992	1205	772	840	650	1046	752	1047	1055	616	970	901	947	1118	1214	493	902	904	932	557	424	606	463	17	1035	716	736	827	0	1005	130									
