Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																					
Дата голосования: 18.09.2016																					
																					
Наименование Избирательной комиссии:    Мильковская																					
																					
Сводная таблица итогов голосования по федеральному избирательному округу																					
																					
		Сумма	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7228	66	318	1424	1625	1552	1383	156	43	451	210									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8100	65	460	1500	1750	1650	1550	180	65	605	275									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2857	52	207	510	584	621	408	105	36	207	127									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	177	2	24	37	21	23	26	5	1	22	16									
6	Число погашенных избирательных бюллетеней	5066	11	229	953	1145	1006	1116	70	28	376	132									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	177	2	24	37	21	23	26	5	1	22	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2857	52	207	510	584	621	408	105	36	207	127									
9	Число недействительных избирательных бюллетеней	80	2	9	8	26	17	7	4	0	5	2									
10	Число действительных избирательных бюллетеней	2954	52	222	539	579	627	427	106	37	224	141									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	86	3	6	16	16	16	12	5	3	6	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	28	1	6	4	1	4	1	5	3	0	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	21	5	3	5	0	3	0	0	0	1	4									
14	Число погашенных неиспользованных открепительных удостоверений	58	2	0	12	15	12	11	0	0	6	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	2	0	1	5	4	0	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0									
																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	32	0	4	3	3	11	4	0	2	3	2									
		1.05%	0.00%	1.73%	0.55%	0.50%	1.71%	0.92%	0.00%	5.41%	1.31%	1.40%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	80	1	6	16	16	11	11	4	4	5	6									
		2.64%	1.85%	2.60%	2.93%	2.64%	1.71%	2.53%	3.64%	10.81%	2.18%	4.20%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	90	2	3	18	20	16	15	1	0	12	3									
		2.97%	3.70%	1.30%	3.29%	3.31%	2.48%	3.46%	0.91%	0.00%	5.24%	2.10%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1611	29	136	282	322	341	240	67	19	99	76									
		53.10%	53.70%	58.87%	51.55%	53.22%	52.95%	55.30%	60.91%	51.35%	43.23%	53.15%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	19	0	1	3	3	4	4	1	0	2	1									
		0.63%	0.00%	0.43%	0.55%	0.50%	0.62%	0.92%	0.91%	0.00%	0.87%	0.70%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	0	0	1	2	1	0	1	0	0	1									
		0.20%	0.00%	0.00%	0.18%	0.33%	0.16%	0.00%	0.91%	0.00%	0.00%	0.70%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	568	11	43	99	107	104	83	16	5	67	33									
		18.72%	20.37%	18.61%	18.10%	17.69%	16.15%	19.12%	14.55%	13.51%	29.26%	23.08%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	14	1	0	9	1	2	1	0	0	0	0									
		0.46%	1.85%	0.00%	1.65%	0.17%	0.31%	0.23%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	33	2	3	11	6	7	2	0	0	2	0									
		1.09%	3.70%	1.30%	2.01%	0.99%	1.09%	0.46%	0.00%	0.00%	0.87%	0.00%									
