Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Солигаличская 																												
																												
Итоги голосования 																												
																												
		Сумма	УИК  555	УИК  556	УИК  557	УИК  558	УИК  559	УИК  560	УИК  561	УИК  562	УИК  563	УИК  564	УИК  565	УИК  566	УИК  567	УИК  568	УИК  569	УИК  570	УИК  571	УИК  572	УИК  573	УИК  574	УИК  575					
1	"Число избирателей, внесенных в список"	9517	294	245	148	307	130	123	117	187	164	311	81	272	289	378	72	359	101	118	326	2710	2785					
2	Число полученных избирательных бюллетеней	9606	299	245	154	301	133	131	118	188	169	303	83	275	295	398	71	355	103	115	325	2740	2805					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4993	141	165	102	108	77	75	81	110	95	163	47	140	167	159	31	168	38	71	194	1461	1400					
5	"Число избирательных бюллетеней, выданных вне помещения"	1146	94	10	21	135	19	25	10	34	19	65	13	60	38	140	20	92	46	16	20	127	142					
6	Число погашенных избирательных бюллетеней	3467	64	70	31	58	37	31	27	44	55	75	23	75	90	99	20	95	19	28	111	1152	1263					
7	Число избирательных бюллетеней в переносных ящиках	1146	94	10	21	135	19	25	10	34	19	65	13	60	38	140	20	92	46	16	20	127	142					
8	Число бюллетеней в стационарных ящиках для голосования	4993	141	165	102	108	77	75	81	110	95	163	47	140	167	159	31	168	38	71	194	1461	1400					
9	Число недействительных избирательных бюллетеней	35	3	3	1	1	2	1	0	0	2	0	0	2	3	1	0	1	2	0	1	6	6					
10	Число действительных избирательных бюллетеней	6104	232	172	122	242	94	99	91	144	112	228	60	198	202	298	51	259	82	87	213	1582	1536					
11	Число полученных открепительных  удостоверений	132	6	5	5	5	4	4	4	4	4	5	2	5	5	13	2	5	4	4	6	20	20					
12	Число выданных открепительных удостоверений	50	1	0	5	0	4	3	0	0	0	1	0	0	1	13	1	2	0	0	2	6	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	31	1	2	3	2	1	1	1	1	0	0	0	3	1	0	1	2	2	1	0	4	5					
14	Число неиспользованных открепительных удостоверений	82	5	5	0	5	0	1	4	4	4	4	2	5	4	0	1	3	4	4	4	14	9					
15	"Число открепительных удостоверений, выданных в ТИК"	4	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	111	2	2	1	4	1	1	2	2	1	2	0	1	1	4	0	3	1	2	6	42	33					
		1.81%	0.85%	1.14%	0.81%	1.65%	1.04%	1.00%	2.20%	1.39%	0.88%	0.88%	0.00%	0.50%	0.49%	1.34%	0.00%	1.15%	1.19%	2.30%	2.80%	2.64%	2.14%					
19	. Малышкин Олег Александрович	156	7	5	3	5	2	2	6	5	2	9	1	2	3	5	2	6	4	2	7	34	44					
		2.54%	2.98%	2.86%	2.44%	2.06%	2.08%	2.00%	6.59%	3.47%	1.75%	3.95%	1.67%	1.00%	1.46%	1.67%	3.92%	2.31%	4.76%	2.30%	3.27%	2.14%	2.85%					
20	. Миронов Сергей Михайлович	58	4	1	1	0	1	1	0	2	0	3	0	0	4	2	0	1	0	0	2	18	18					
		0.94%	1.70%	0.57%	0.81%	0.00%	1.04%	1.00%	0.00%	1.39%	0.00%	1.32%	0.00%	0.00%	1.95%	0.67%	0.00%	0.38%	0.00%	0.00%	0.93%	1.13%	1.17%					
21	. Путин Владимир Владимирович	4259	170	141	113	171	63	63	71	98	67	150	32	131	160	219	40	173	67	67	135	1078	1050					
		69.38%	72.34%	80.57%	91.87%	70.37%	65.62%	63.00%	78.02%	68.06%	58.77%	65.79%	53.33%	65.50%	78.05%	73.24%	78.43%	66.54%	79.76%	77.01%	63.08%	67.88%	68.09%					
22	. Хакамада Ирина Муцуовна	100	1	3	0	3	0	0	1	2	1	7	0	3	2	2	0	1	1	1	6	27	39					
		1.63%	0.43%	1.71%	0.00%	1.23%	0.00%	0.00%	1.10%	1.39%	0.88%	3.07%	0.00%	1.50%	0.98%	0.67%	0.00%	0.38%	1.19%	1.15%	2.80%	1.70%	2.53%					
23	. Харитонов Николай Михайлович	1289	47	15	4	57	25	31	10	28	37	55	25	59	25	66	9	75	9	11	49	340	312					
		21.00%	20.00%	8.57%	3.25%	23.46%	26.04%	31.00%	10.99%	19.44%	32.46%	24.12%	41.67%	29.50%	12.20%	22.07%	17.65%	28.85%	10.71%	12.64%	22.90%	21.41%	20.23%					
																												
24	Против всех	131	1	5	0	2	2	1	1	7	4	2	2	2	7	0	0	0	0	4	8	43	40					
		2.13%	0.43%	2.86%	0.00%	0.82%	2.08%	1.00%	1.10%	4.86%	3.51%	0.88%	3.33%	1.00%	3.41%	0.00%	0.00%	0.00%	0.00%	4.60%	3.74%	2.71%	2.59%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
