Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																	
Дата голосования: 04.12.2011																																	
																																	
Наименование Избирательной комиссии:    Нехаевская																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626					
1	"Число избирателей, внесенных в список избирателей"	13068	1967	906	1064	229	413	170	455	520	345	376	634	129	109	876	119	1070	254	281	248	135	179	806	113	715	108	847					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12430	1900	900	1000	200	400	150	450	500	300	350	600	130	100	850	100	1000	250	250	200	100	150	800	100	700	100	850					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6672	1016	373	496	133	241	79	212	252	142	222	332	101	63	428	61	602	118	147	124	64	109	391	63	396	67	440					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1399	124	95	49	18	31	17	88	76	128	48	50	24	20	83	32	69	37	83	62	30	16	55	18	18	9	119					
6	Число погашенных избирательных бюллетеней	4359	760	432	455	49	128	54	150	172	30	80	218	5	17	339	7	329	95	20	14	6	25	354	19	286	24	291					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1399	124	95	49	18	31	17	88	76	128	48	50	24	20	83	32	69	37	83	62	30	16	55	18	18	9	119					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6672	1016	373	496	133	241	79	212	252	142	222	332	101	63	428	61	602	118	147	124	64	109	391	63	396	67	440					
9	Число недействительных избирательных бюллетеней	103	16	5	5	1	2	2	1	6	3	2	5	1	3	6	2	17	0	7	0	0	4	4	1	5	0	5					
10	Число действительных избирательных бюллетеней	7968	1124	463	540	150	270	94	299	322	267	268	377	124	80	505	91	654	155	223	186	94	121	442	80	409	76	554					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	199	14	10	10	3	5	5	9	12	7	7	10	5	5	10	5	10	5	12	5	5	5	10	5	10	5	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	139	14	10	10	3	5	3	9	10	7	4	2	5	0	8	0	3	3	12	0	5	2	8	1	6	4	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	55	9	0	1	0	0	0	0	5	2	1	5	1	1	1	2	3	1	2	3	1	1	3	4	6	1	2					
14	Число погашенных неиспользованных открепительных удостоверений	60	0	0	0	0	0	2	0	2	0	3	8	0	5	2	5	7	2	0	5	0	3	2	4	4	1	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1729	294	99	122	33	75	31	54	53	31	44	82	9	12	163	17	139	18	18	16	6	18	154	21	116	15	89					
		21.42%	25.79%	21.15%	22.39%	21.85%	27.57%	32.29%	18.00%	16.16%	11.48%	16.30%	21.47%	7.20%	14.46%	31.90%	18.28%	20.72%	11.61%	7.83%	8.60%	6.38%	14.40%	34.53%	25.93%	28.02%	19.74%	15.92%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	944	80	58	73	22	30	14	64	31	34	27	43	10	2	61	9	116	36	13	28	13	6	59	9	44	4	58					
		11.70%	7.02%	12.39%	13.39%	14.57%	11.03%	14.58%	21.33%	9.45%	12.59%	10.00%	11.26%	8.00%	2.41%	11.94%	9.68%	17.29%	23.23%	5.65%	15.05%	13.83%	4.80%	13.23%	11.11%	10.63%	5.26%	10.38%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	57	5	4	7	1	2	0	5	2	2	4	2	0	0	3	0	8	2	1	0	0	1	2	0	3	0	3					
		0.71%	0.44%	0.85%	1.28%	0.66%	0.74%	0.00%	1.67%	0.61%	0.74%	1.48%	0.52%	0.00%	0.00%	0.59%	0.00%	1.19%	1.29%	0.43%	0.00%	0.00%	0.80%	0.45%	0.00%	0.72%	0.00%	0.54%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1422	256	79	117	12	40	26	57	68	35	44	75	13	5	92	19	108	31	25	23	20	28	50	12	61	2	124					
