Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																				
Дата голосования: 18.09.2016																																																																																																				
																																																																																																				
Наименование Избирательной комиссии:    Тайшетская																																																																																																				
																																																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																				
																																																																																																				
		Сумма	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1910									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	58207	612	241	155	1360	391	1641	1315	1003	1566	475	174	64	345	269	124	580	463	163	131	21	13	351	78	792	389	153	328	1047	711	147	270	109	796	956	848	140	194	132	633	125	299	174	410	643	192	464	341	167	147	310	2013	1412	1471	1899	973	1432	770	1370	1080	1721	1171	958	325	876	962	1453	1525	818	124	899	1325	1326	918	680	121	207	118	261	496	915	221	847	807	865	764	761	881	804	186									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	57175	611	242	152	1300	389	1600	1300	1000	1500	449	186	61	333	272	124	590	471	157	136	17	13	351	83	790	397	152	327	1000	700	150	269	107	780	970	860	153	188	132	630	128	300	178	418	658	193	457	333	164	144	308	2000	1400	1400	1900	980	1400	770	1300	1000	1700	1000	900	314	900	900	1400	1500	800	123	800	1300	1300	900	700	158	214	117	259	500	900	267	800	790	860	760	760	880	800	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20197	233	86	58	349	121	518	343	296	536	174	95	42	212	152	55	167	239	89	60	8	10	128	38	295	170	24	97	374	247	81	161	48	211	398	299	49	115	101	219	63	130	83	164	227	62	160	148	62	63	105	579	459	542	567	356	551	290	478	463	606	484	331	98	237	313	391	489	250	44	218	376	300	335	248	25	116	57	136	150	335	221	298	274	190	292	258	249	240	186									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1527	12	17	13	46	0	47	11	15	20	54	5	0	5	15	15	57	13	5	7	0	0	17	5	31	5	34	5	23	13	8	19	17	46	16	20	7	7	0	29	3	14	6	32	40	13	9	3	4	12	26	17	5	13	36	4	3	8	35	6	15	10	10	1	14	34	24	24	10	7	28	23	50	8	6	0	18	3	6	31	23	0	62	28	35	31	23	25	30	0									
6	Число погашенных избирательных бюллетеней	35451	366	139	81	905	268	1035	946	689	944	221	86	19	116	105	54	366	219	63	69	9	3	206	40	464	222	94	225	603	440	61	89	42	523	556	541	97	66	31	382	62	156	89	222	391	118	288	182	98	69	177	1404	936	845	1297	620	846	472	787	531	1079	506	559	215	649	553	985	987	540	72	554	901	950	557	446	133	80	57	117	319	542	46	440	488	635	437	479	606	530	14									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1527	12	17	13	46	0	47	11	15	20	54	5	0	5	15	15	57	13	5	7	0	0	17	5	31	5	34	5	23	13	8	19	17	46	16	20	7	7	0	29	3	14	6	32	40	13	9	3	4	12	26	17	5	13	36	4	3	8	35	6	15	10	10	1	14	34	24	24	10	7	28	23	50	8	6	0	18	3	6	31	23	0	62	28	35	31	23	25	30	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20195	233	86	58	349	121	518	343	296	536	174	95	42	212	152	55	167	239	89	60	8	10	128	38	295	170	24	97	374	247	81	161	48	211	398	299	49	115	101	219	63	130	83	164	227	62	160	148	62	63	105	578	459	542	567	356	551	290	478	463	606	483	331	98	237	313	391	489	250	44	218	376	300	335	248	25	116	57	136	150	335	221	298	274	190	292	258	249	240	186									
9	Число недействительных избирательных бюллетеней	545	2	5	2	9	3	7	3	4	17	11	2	0	28	12	0	7	10	2	1	0	0	1	1	14	4	0	2	13	7	2	6	2	11	3	8	0	0	1	9	3	5	1	2	10	3	8	2	2	1	1	11	14	11	22	16	10	6	18	7	9	7	9	3	4	2	6	10	3	0	5	17	7	12	6	0	3	3	2	5	9	16	6	4	0	7	11	8	9	0									
10	Число действительных избирательных бюллетеней	21177	243	98	69	386	118	558	351	307	539	217	98	42	189	155	70	217	242	92	66	8	10	144	42	312	171	58	100	384	253	87	174	63	246	411	311	56	122	100	239	63	139	88	194	257	72	161	149	64	74	130	584	450	544	581	344	544	292	495	462	612	486	332	96	247	345	409	503	257	51	241	382	343	331	248	25	131	57	140	176	349	205	354	298	225	316	270	266	261	186									
