Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																					
Дата голосования: 04.12.2011																																					
																																					
Наименование Избирательной комиссии:    Надымская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67					
1	"Число избирателей, внесенных в список избирателей"	50070	2134	2378	2118	2135	2283	2291	2016	1728	1938	2103	2197	1716	2218	2247	1157	844	971	1200	675	188	519	1177	685	2261	1900	1751	1825	2039	2014	1362					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	50016	1950	2115	1700	2050	2167	2100	1900	1800	2100	1850	2100	1750	2100	2250	1200	875	1005	1200	678	188	500	1100	688	3000	2200	2200	1825	2050	2050	1325					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	6355	0	0	0	0	0	0	0	0	0	0	0	1329	0	0	0	0	0	285	0	37	70	195	0	910	1734	1466	141	159	29	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	34820	1506	1704	1378	1527	1780	1786	1510	1436	1610	1544	1892	302	1732	1719	912	764	969	897	651	127	352	873	672	1351	166	285	1249	1406	1453	1267					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	466	11	11	17	216	13	5	10	4	11	5	8	49	7	13	10	0	0	0	1	6	13	17	0	0	0	0	0	35	3	1					
6	Число погашенных избирательных бюллетеней	8375	433	400	305	307	374	309	380	360	479	301	200	70	361	518	278	111	36	18	26	18	65	15	16	739	300	449	435	450	565	57					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6820	11	11	17	216	13	5	10	4	11	5	8	1378	7	13	10	0	0	285	1	43	83	212	0	910	1734	1466	141	194	31	1					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	34783	1506	1698	1377	1525	1773	1786	1510	1436	1610	1544	1892	302	1732	1719	911	764	969	897	651	127	352	873	672	1346	166	285	1235	1406	1452	1267					
9	Число недействительных избирательных бюллетеней	684	28	20	7	33	40	23	21	19	21	25	33	49	37	29	8	7	7	34	11	3	19	17	4	42	22	35	21	24	22	23					
10	Число действительных избирательных бюллетеней	40919	1489	1689	1387	1708	1746	1768	1499	1421	1600	1524	1867	1631	1702	1703	913	757	962	1148	641	167	416	1068	668	2214	1878	1716	1355	1576	1461	1245					
