Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																		
Дата голосования: 04.12.2011																																																																		
																																																																		
Наименование Избирательной комиссии:    Миллеровская 																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №246	УИК №247	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №2480	УИК №2550	УИК №2551	УИК №2552	УИК №2553					
1	"Число избирателей, внесенных в список избирателей"	55308	79	1651	2241	2243	2556	584	1750	1586	2679	2105	1157	2747	2431	1796	2777	1671	596	816	175	671	494	641	616	281	1237	201	685	237	742	577	621	278	1138	395	1039	582	2792	200	254	290	567	150	688	640	584	515	683	392	136	2268	327	457	153	585	301	143	147	388	573					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	55070	74	1691	2244	2174	2452	565	1669	1570	2656	2090	1111	2801	2371	1800	2291	1557	626	845	174	671	508	676	553	291	1255	212	695	239	767	607	645	276	1157	397	1035	571	2844	208	285	286	577	155	674	654	613	487	698	702	140	2352	328	467	156	622	308	141	147	389	521					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	29723	39	792	1170	1073	1183	416	830	882	1477	985	627	1363	1055	971	1602	952	426	347	82	232	285	291	315	160	706	110	362	98	443	307	316	148	590	212	751	391	1891	137	176	166	281	115	300	426	396	307	412	310	87	1121	217	277	82	285	171	129	94	179	175					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3676	32	25	45	63	154	39	54	38	59	81	77	74	70	63	26	36	71	80	23	184	61	82	54	13	93	18	44	40	69	57	122	19	182	55	107	43	140	34	11	12	31	9	44	86	75	61	99	82	11	249	14	46	22	69	28	0	12	15	173					
6	Число погашенных избирательных бюллетеней	21671	3	874	1029	1038	1115	110	785	650	1120	1024	407	1364	1246	766	663	569	129	418	69	255	162	303	184	118	456	84	289	101	255	243	207	109	385	130	177	137	813	37	98	108	265	31	330	142	142	119	187	310	42	982	97	144	52	268	109	12	41	195	173					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3676	32	25	45	63	154	39	54	38	59	81	77	74	70	63	26	36	71	80	23	184	61	82	54	13	93	18	44	40	69	57	122	19	182	55	107	43	140	34	11	12	31	9	44	86	75	61	99	82	11	249	14	46	22	69	28	0	12	15	173					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	29713	39	792	1170	1073	1183	416	829	882	1475	985	627	1363	1052	971	1602	952	426	347	82	232	285	291	315	160	706	110	362	98	443	307	316	147	590	212	751	391	1888	137	176	166	281	115	300	426	396	307	412	310	87	1121	217	277	82	285	171	129	94	179	175					
9	Число недействительных избирательных бюллетеней	325	1	8	10	17	14	2	12	9	13	10	0	8	17	13	21	9	0	5	2	9	0	5	4	2	5	4	4	1	6	1	2	2	4	2	7	11	16	1	1	1	1	0	3	2	9	1	10	4	0	12	1	4	1	1	1	0	0	4	12					
10	Число действительных избирательных бюллетеней	33064	70	809	1205	1119	1323	453	871	911	1521	1056	704	1429	1105	1021	1607	979	497	422	103	407	346	368	365	171	794	124	402	137	506	363	436	164	768	265	851	423	2012	170	186	177	311	124	341	510	462	367	501	388	98	1358	230	319	103	353	198	129	106	190	336					
