Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																					
Дата голосования: 04.12.2011																																					
																																					
"Наименование Избирательной комиссии:    Иваново, Советская"																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134					
1	"Число избирателей, внесенных в список избирателей"	50219	1666	1960	1722	1796	1786	1676	1465	2358	1419	1773	1139	2485	2549	1128	1517	1623	1274	2239	2311	2353	2295	1900	1835	2142	2023	1971	1342	240	205	27					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	51115	1680	1970	1730	1750	1840	1710	1470	2380	1440	1780	1140	2490	2580	1130	1480	1640	1270	2240	2300	2350	2300	1930	1820	2130	2040	1960	1310	240	215	800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	21906	627	840	863	688	804	694	499	981	697	721	438	1045	1079	435	797	812	527	1118	1134	1187	971	697	731	828	933	829	597	173	134	27					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1747	58	49	38	99	31	33	79	39	38	106	56	117	97	76	37	46	90	27	40	64	86	63	42	71	40	64	76	41	44	0					
6	Число погашенных избирательных бюллетеней	27462	995	1081	829	963	1005	983	892	1360	705	953	646	1328	1404	619	646	782	653	1095	1126	1099	1243	1170	1047	1231	1067	1067	637	26	37	773					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1746	58	49	38	98	31	33	79	39	38	106	56	117	97	76	37	46	90	27	40	64	86	63	42	71	40	64	76	41	44	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	21900	627	840	863	688	803	694	499	981	696	720	438	1044	1079	435	797	812	526	1118	1134	1187	971	697	731	828	932	829	597	173	134	27					
9	Число недействительных избирательных бюллетеней	344	11	8	12	19	10	11	10	15	8	15	5	12	20	8	13	14	4	10	21	13	9	12	8	15	15	20	20	2	3	1					
10	Число действительных избирательных бюллетеней	23302	674	881	889	767	824	716	568	1005	726	811	489	1149	1156	503	821	844	612	1135	1153	1238	1048	748	765	884	957	873	653	212	175	26					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	674	20	40	31	13	35	23	20	35	27	30	20	33	20	15	23	27	20	30	27	26	26	20	23	34	23	20	13	0	0	0					
