Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																		
Дата голосования: 02.12.2007																																																		
																																																		
Наименование Избирательной комиссии:    Бежецкая																																																		
																																																		
Сводная таблица результатов выборов																																																		
																																																		
		Сумма	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74					
1	"Число избирателей, внесенных в списки избирателей"	32633	131	1010	1092	1001	874	2182	1244	1755	1664	1680	1568	2108	1257	2046	2228	1067	544	273	520	336	395	314	543	122	358	252	97	377	322	758	432	406	271	282	397	460	326	561	504	217	175	349	135					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	31400	130	960	1050	980	840	2110	1200	1650	1610	1610	1520	2050	1225	1990	2160	1020	510	260	505	320	380	295	540	105	345	240	85	360	325	720	415	385	255	270	375	445	305	535	485	210	160	335	130					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	16466	103	502	493	494	576	1199	577	960	836	921	775	1008	505	1091	1119	524	243	212	218	178	195	164	237	53	206	115	49	181	176	572	182	130	115	133	196	259	121	183	242	136	80	145	62					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3615	19	33	40	30	48	69	32	66	72	33	23	189	147	46	45	101	138	34	180	40	114	97	165	36	74	76	34	103	98	22	126	165	90	87	113	93	115	248	140	29	42	119	44					
6	Число погашенных избирательных бюллетеней	11319	8	425	517	456	216	842	591	624	702	656	722	853	573	853	996	395	129	14	107	102	71	34	138	16	65	49	2	76	51	126	107	90	50	50	66	93	69	104	103	45	38	71	24					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3615	19	33	40	30	48	69	32	66	72	33	23	189	147	46	45	101	138	34	180	40	114	97	165	36	74	76	34	103	98	22	126	165	90	87	113	93	115	248	140	29	42	119	44					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16466	103	502	493	494	576	1199	577	960	836	921	775	1008	505	1091	1119	524	243	212	218	178	195	164	237	53	206	115	49	181	176	572	182	130	115	133	196	259	121	183	242	136	80	145	62					
9	Число недействительных избирательных бюллетеней	148	2	3	6	3	5	15	6	10	8	0	10	7	7	13	14	5	3	1	3	0	5	0	0	0	0	0	1	1	1	0	3	0	2	3	1	3	0	2	4	0	1	0	0					
10	Число действительных избирательных бюллетеней	19933	120	532	527	521	619	1253	603	1016	900	954	788	1190	645	1124	1150	620	378	245	395	218	304	261	402	89	280	191	82	283	273	594	305	295	203	217	308	349	236	429	378	165	121	264	106					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	647	0	45	15	20	20	60	20	30	20	20	25	30	20	60	60	15	5	5	10	10	5	10	10	5	5	7	3	7	5	10	10	10	3	5	5	10	7	10	5	5	5	10	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	291	0	4	7	10	6	20	11	20	20	15	20	13	6	23	49	2	4	0	3	4	4	2	5	0	0	2	2	4	3	4	2	6	1	2	2	3	2	4	1	2	1	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	204	0	13	2	5	12	8	12	15	11	12	9	9	2	10	10	2	4	2	3	2	1	1	3	5	0	5	6	2	0	6	1	2	6	3	6	4	1	2	1	3	2	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	356	0	41	8	10	14	40	9	10	0	5	5	17	14	37	11	13	1	5	7	6	1	8	5	5	5	5	1	3	2	6	8	4	2	3	3	7	5	6	4	3	4	8	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	39	0	0	1	3	1	1	1	6	5	2	0	1	3	6	2	1	0	0	0	0	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
