Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																								
Дата голосования: 18.09.2016																																																																								
																																																																								
Наименование Избирательной комиссии:    Барабинская																																																																								
																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																								
																																																																								
		Сумма	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	35466	1063	2122	994	1769	1704	1038	1025	1041	959	988	985	863	953	1026	966	934	902	862	877	1081	1054	954	590	362	257	386	514	183	163	376	271	253	164	358	182	444	236	108	717	243	228	329	124	526	222	731	148	388	132	82	581	174	118	441	88	91	380	101	424	81	110									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34307	1000	2000	950	1750	1700	1000	1000	1000	950	950	950	850	950	1000	950	900	900	850	850	1000	1000	950	550	350	250	350	500	180	160	350	250	250	165	350	180	450	230	110	700	240	220	300	130	500	210	700	150	350	130	83	550	170	120	400	93	91	350	100	400	85	110									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13805	381	728	261	698	807	352	409	375	356	268	345	351	415	293	394	279	298	332	272	309	350	318	308	116	90	114	275	94	88	188	111	111	97	157	104	202	94	55	292	94	96	113	63	231	88	278	73	190	96	59	237	123	71	202	52	48	198	53	232	56	65									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1070	32	31	15	22	61	14	31	25	7	9	28	22	31	30	11	9	27	29	30	27	18	22	43	23	12	15	35	2	11	24	12	8	9	21	8	20	12	2	23	13	20	16	4	30	16	23	5	19	5	0	24	11	5	15	0	4	12	1	19	8	9									
6	Число погашенных избирательных бюллетеней	19432	587	1241	674	1030	832	634	560	600	587	673	577	477	504	677	545	612	575	489	548	664	632	610	199	211	148	221	190	84	61	138	127	131	59	172	68	228	124	53	385	133	104	171	63	239	106	399	72	141	29	24	289	36	44	183	41	39	140	46	149	21	36									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1070	32	31	15	22	61	14	31	25	7	9	28	22	31	30	11	9	27	29	30	27	18	22	43	23	12	15	35	2	11	24	12	8	9	21	8	20	12	2	23	13	20	16	4	30	16	23	5	19	5	0	24	11	5	15	0	4	12	1	19	8	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13803	381	728	261	698	807	352	409	375	356	268	345	351	415	293	394	279	298	332	272	308	350	317	308	116	90	114	275	94	88	188	111	111	97	157	104	202	94	55	292	94	96	113	63	231	88	278	73	190	96	59	237	123	71	202	52	48	198	53	232	56	65									
9	Число недействительных избирательных бюллетеней	454	16	19	11	19	43	15	13	12	9	9	8	13	21	12	16	8	11	19	13	8	6	12	9	1	4	6	3	1	1	4	4	5	6	5	4	5	3	0	12	2	1	2	2	4	5	7	3	3	0	0	4	5	0	9	0	3	3	2	6	2	5									
10	Число действительных избирательных бюллетеней	14419	397	740	265	701	825	351	427	388	354	268	365	360	425	311	389	280	314	342	289	327	362	327	342	138	98	123	307	95	98	208	119	114	100	173	108	217	103	57	303	105	115	127	65	257	99	294	75	206	101	59	257	129	76	208	52	49	207	52	245	62	69									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	752	20	35	18	30	30	20	20	20	18	18	18	18	18	20	18	18	18	18	18	20	20	18	12	8	6	9	20	5	4	8	7	6	6	13	5	20	6	4	15	6	6	8	9	10	5	15	4	10	4	4	7	5	4	10	4	4	10	4	10	4	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	269	3	8	2	8	15	1	5	6	8	1	1	5	7	3	4	4	2	3	2	1	7	3	0	5	6	1	16	5	4	2	0	6	1	13	5	20	3	0	10	1	0	1	9	1	0	6	4	1	1	0	7	3	4	10	4	0	7	2	10	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	166	2	3	3	4	3	2	4	5	3	1	0	1	3	1	2	3	3	5	4	5	3	5	2	3	3	1	2	2	4	4	1	2	1	3	1	1	6	1	4	3	2	3	3	2	4	3	1	2	2	1	7	3	0	1	2	2	7	4	2	4	2									
14	Число погашенных неиспользованных открепительных удостоверений	483	17	27	16	22	15	19	15	14	10	17	17	13	11	17	14	14	16	15	16	19	13	15	12	3	0	8	4	0	0	6	7	0	5	0	0	0	3	4	5	5	6	7	0	9	5	9	0	9	3	4	0	2	0	0	0	4	3	2	0	2	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	40	2	2	2	3	3	2	0	0	5	0	1	3	1	1	1	2	2	1	4	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	430	16	41	7	25	43	10	13	30	14	11	12	34	12	26	10	4	11	36	0	6	6	2	3	2	0	0	4	0	2	1	2	0	3	0	0	1	1	0	3	3	1	0	0	4	0	7	0	5	1	1	2	0	2	2	1	0	6	0	3	1	0									
