Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																														
Дата голосования: 07.12.2003 0:00:00																																																														
																																																														
Наименование Избирательной комиссии:    Саткинская																																																														
																																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																														
																																																														
		Сумма	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217					
1	"Число избирателей, внесенных в списки"	66926	2032	2002	1917	242	2176	2269	2670	1458	1370	1360	1209	1056	1218	1515	1282	888	1283	559	1059	1493	2284	2321	2539	2913	1712	2587	2382	1393	1535	1093	1037	558	969	244	159	116	1999	812	1021	386	1629	663	870	2578	969	479	201	662	567	191	190	116	343	163	187					
2	"Число бюллетеней, полученных участковыми комиссиями"	66600	2000	1900	1900	240	2200	2300	2600	1400	1400	1400	1200	1000	1200	1500	1300	900	1200	600	1000	1500	2300	2300	2500	2800	1700	2500	2400	1400	1600	1100	1000	600	1000	250	170	120	2000	800	1000	400	1600	700	900	2500	1000	500	200	700	600	200	200	110	360	170	180					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	31379	1014	776	521	71	1145	1190	1335	730	681	654	608	500	653	699	736	413	488	129	430	742	1015	1097	1128	1193	877	1351	1156	593	789	660	431	261	334	114	87	44	887	239	380	201	824	352	382	1454	400	196	129	387	316	106	118	65	133	86	79					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1260	82	35	188	28	19	15	17	11	15	22	19	9	13	18	34	14	0	29	6	12	16	3	7	15	18	20	30	17	39	24	25	0	6	5	0	0	46	6	1	10	38	12	18	85	34	62	14	25	23	4	0	3	38	4	26					
6	Число погашенных бюллетеней	33961	904	1089	1191	141	1036	1095	1248	659	704	724	573	491	534	783	530	473	712	442	564	746	1269	1200	1365	1592	805	1129	1214	790	772	416	544	339	660	131	83	76	1067	555	619	189	738	336	500	961	566	242	57	288	261	90	82	42	189	80	75					
7	Число бюллетеней в переносных ящиках для голосования	1260	82	35	188	28	19	15	17	11	15	22	19	9	13	18	34	14	0	29	6	12	16	3	7	15	18	20	30	17	39	24	25	0	6	5	0	0	46	6	1	10	38	12	18	85	34	62	14	25	23	4	0	3	38	4	26					
8	Число бюллетеней в стационарных ящиках для голосования	31369	1014	776	521	71	1145	1189	1335	730	681	654	608	500	653	699	736	413	488	129	430	742	1015	1097	1128	1193	877	1348	1156	593	789	658	431	261	334	114	87	44	887	236	380	201	824	352	382	1454	400	196	129	387	316	106	118	65	133	85	79					
9	Число недействительных бюллетеней	676	13	16	18	2	19	24	38	26	20	21	21	15	9	16	8	19	10	3	5	14	17	22	17	18	31	15	35	14	7	15	15	16	9	1	3	0	10	8	18	5	17	5	11	19	0	8	4	0	2	3	2	1	11	0	0					
10	Число действительных бюллетеней	31953	1083	795	691	97	1145	1180	1314	715	676	655	606	494	657	701	762	408	478	155	431	740	1014	1078	1118	1190	864	1353	1151	596	821	667	441	245	331	118	84	44	923	234	363	206	845	359	389	1520	434	250	139	412	337	107	116	67	160	89	105					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	280	10	8	5	2	10	10	10	5	3	5	5	5	9	6	3	5	8	2	5	10	10	10	10	8	5	8	8	5	5	5	5	2	2	2	2	2	5	5	5	2	5	2	2	12	1	2	2	5	5	2	2	2	2	2	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	129	7	8	5	0	7	2	5	2	3	0	0	4	8	3	3	1	0	0	2	4	2	6	6	2	3	5	4	5	1	2	0	1	2	0	0	0	1	0	0	0	5	2	2	10	1	0	1	0	3	0	0	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	97	9	3	6	1	2	3	4	3	1	4	1	0	1	0	2	3	1	4	1	2	1	2	2	2	5	1	1	0	1	0	0	0	0	0	0	0	5	3	0	1	3	0	0	2	3	3	3	0	3	1	0	1	2	1	0					
14	Число погашенных открепительных удостоверений	151	3	0	0	2	3	8	5	3	0	5	5	1	1	3	0	4	8	2	3	6	8	4	4	6	2	3	4	0	4	3	5	1	0	2	2	2	4	5	5	2	0	0	0	2	0	2	1	5	2	2	2	2	1	2	2					
15	Число открепительных удостоверений выданных ТИК	20	1	0	0	0	1	1	0	0	0	1	1	1	0	1	1	0	2	1	0	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																														
18	"1. ""ЕДИНЕНИЕ"""	485	19	12	13	7	19	22	15	11	4	6	4	12	3	9	11	4	6	2	4	7	13	14	10	24	16	16	13	9	20	4	9	3	6	4	0	0	9	6	6	4	18	9	11	16	5	7	8	14	6	2	0	2	2	3	6					
		1.48%	1.73%	1.47%	1.83%	7.07%	1.63%	1.82%	1.10%	1.48%	0.57%	0.88%	0.63%	2.35%	0.45%	1.25%	1.42%	0.93%	1.22%	1.26%	0.91%	0.92%	1.26%	1.27%	0.88%	1.98%	1.78%	1.16%	1.09%	1.47%	2.41%	0.58%	1.97%	1.14%	1.76%	3.36%	0.0%	0.0%	0.96%	2.47%	1.57%	1.89%	2.08%	2.47%	2.75%	1.03%	1.15%	2.71%	5.59%	3.39%	1.76%	1.81%	0.0%	2.94%	1.16%	3.37%	5.71%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1056	42	22	27	4	47	53	49	40	36	35	30	29	38	37	55	16	26	6	20	27	31	46	56	15	16	23	13	4	17	17	2	0	5	0	2	0	25	10	5	3	28	4	11	40	12	7	3	5	4	2	2	0	6	1	2					
		3.23%	3.83%	2.71%	3.80%	4.04%	4.03%	4.40%	3.62%	5.39%	5.17%	5.17%	4.78%	5.69%	5.70%	5.16%	7.14%	3.74%	5.32%	3.79%	4.58%	3.58%	3.00%	4.18%	4.93%	1.24%	1.78%	1.68%	1.09%	0.65%	2.05%	2.49%	0.43%	0.0%	1.47%	0.0%	2.29%	0.0%	2.67%	4.13%	1.31%	1.42%	3.24%	1.09%	2.75%	2.59%	2.76%	2.71%	2.09%	1.21%	1.17%	1.81%	1.69%	0.0%	3.50%	1.12%	1.90%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	2211	72	49	32	8	110	102	107	55	59	81	58	53	47	42	71	23	29	7	22	56	66	49	43	53	56	73	72	42	54	51	18	21	22	3	2	1	79	25	26	18	35	27	29	124	37	24	12	14	18	4	7	4	12	5	2					
		6.77%	6.56%	6.04%	4.51%	8.08%	9.45%	8.47%	7.91%	7.42%	8.47%	11.98%	9.25%	10.41%	7.05%	5.85%	9.22%	5.38%	5.94%	4.43%	5.04%	7.42%	6.40%	4.45%	3.78%	4.38%	6.25%	5.33%	6.07%	6.88%	6.52%	7.47%	3.94%	8.04%	6.47%	2.52%	2.29%	2.27%	8.46%	10.33%	6.82%	8.53%	4.06%	7.41%	7.25%	8.05%	8.52%	9.30%	8.39%	3.39%	5.30%	3.63%	5.93%	5.88%	7.01%	5.61%	1.90%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1886	102	66	45	4	97	91	94	66	42	29	29	22	41	57	52	52	31	10	38	80	80	114	95	47	28	51	31	18	32	23	15	4	4	4	1	1	56	15	8	13	25	9	31	85	18	6	1	4	6	0	2	0	4	2	5					
		5.78%	9.30%	8.13%	6.34%	4.04%	8.33%	7.55%	6.95%	8.90%	6.03%	4.28%	4.62%	4.32%	6.15%	7.94%	6.75%	12.17%	6.35%	6.32%	8.71%	10.61%	7.75%	10.36%	8.37%	3.89%	3.12%	3.72%	2.61%	2.95%	3.86%	3.37%	3.28%	1.53%	1.17%	3.36%	1.14%	2.27%	6.00%	6.19%	2.09%	6.16%	2.90%	2.47%	7.75%	5.52%	4.14%	2.32%	0.69%	0.97%	1.76%	0.0%	1.69%	0.0%	2.33%	2.24%	4.76%					
22	"5. ""За Русь Святую"""	139	11	3	5	2	3	3	7	4	2	4	3	3	2	4	1	3	4	1	1	2	3	0	3	4	3	4	2	5	1	1	3	0	1	1	0	0	7	1	4	0	3	2	2	4	4	0	3	3	2	0	0	1	0	0	4					
		0.42%	1.00%	0.36%	0.70%	2.02%	0.25%	0.24%	0.51%	0.53%	0.28%	0.59%	0.47%	0.58%	0.30%	0.55%	0.12%	0.70%	0.81%	0.63%	0.22%	0.26%	0.29%	0.0%	0.26%	0.33%	0.33%	0.29%	0.16%	0.81%	0.12%	0.14%	0.65%	0.0%	0.29%	0.84%	0.0%	0.0%	0.75%	0.41%	1.04%	0.0%	0.34%	0.54%	0.5%	0.25%	0.92%	0.0%	2.09%	0.72%	0.58%	0.0%	0.0%	1.47%	0.0%	0.0%	3.80%					
23	"6. ""Объединенная Российская партия ""Русь"""	74	5	3	2	0	0	2	1	0	0	1	5	1	4	2	3	0	2	1	5	1	2	0	0	5	0	0	2	2	1	0	1	3	1	0	1	1	3	1	0	0	0	1	2	1	3	0	0	1	2	1	1	0	0	1	0					
		0.22%	0.45%	0.36%	0.28%	0.0%	0.0%	0.16%	0.07%	0.0%	0.0%	0.14%	0.79%	0.19%	0.60%	0.27%	0.38%	0.0%	0.40%	0.63%	1.14%	0.13%	0.19%	0.0%	0.0%	0.41%	0.0%	0.0%	0.16%	0.32%	0.12%	0.0%	0.21%	1.14%	0.29%	0.0%	1.14%	2.27%	0.32%	0.41%	0.0%	0.0%	0.0%	0.27%	0.5%	0.06%	0.69%	0.0%	0.0%	0.24%	0.58%	0.90%	0.84%	0.0%	0.0%	1.12%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	212	8	7	3	1	11	10	10	4	3	4	3	7	7	9	2	2	2	2	7	9	7	14	6	5	4	5	4	3	5	5	1	0	3	1	2	0	5	1	3	0	4	1	2	6	9	1	0	0	0	0	0	1	1	0	2					
