Выборы Президента Российской Федерации																																																							
																																																							
Наименование Избирательной комиссии:    Кинель-Черкасская																																																							
																																																							
Итоги голосования 																																																							
																																																							
		Сумма	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304					
1	"Число избирателей, внесенных в список"	35258	746	97	810	166	260	542	399	92	407	232	1289	842	978	964	827	244	156	974	1562	1225	1211	1760	1867	139	724	244	473	1243	1245	1301	1264	348	569	200	345	364	274	227	426	1622	382	520	1035	1530	1174	727	214	1018					
2	Число полученных избирательных бюллетеней	35755	780	100	830	180	270	540	400	95	410	230	1300	780	980	940	820	240	170	1450	1550	1220	1230	1750	1850	140	730	270	520	1240	1200	1300	1200	350	570	190	350	370	290	240	430	1650	380	600	1000	1500	1150	710	210	1050					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	24269	427	92	520	137	198	514	340	60	308	206	857	445	697	627	505	178	111	925	1115	756	825	1206	1191	122	572	217	387	853	800	853	830	277	370	164	254	270	188	180	316	1179	252	459	587	968	660	446	160	665					
5	"Число избирательных бюллетеней, выданных вне помещения"	3458	164	4	182	13	54	5	24	19	53	14	93	156	87	75	115	17	30	49	62	111	34	67	121	0	83	27	86	164	120	89	71	50	92	17	48	61	58	18	61	127	69	61	135	68	101	106	26	171					
6	Число погашенных избирательных бюллетеней	8027	189	4	128	30	18	21	36	16	49	10	350	179	196	238	200	45	29	476	373	353	371	477	538	18	75	26	47	223	280	358	299	23	108	9	48	39	44	42	53	344	59	80	277	464	389	158	24	214					
7	Число избирательных бюллетеней в переносных ящиках	3458	164	4	182	13	54	5	24	19	53	14	93	156	87	75	115	17	30	49	62	111	34	67	121	0	83	27	86	164	120	89	71	50	92	17	48	61	58	18	61	127	69	61	135	68	101	106	26	171					
8	Число бюллетеней в стационарных ящиках для голосования	24268	427	92	520	137	198	514	340	60	308	206	857	445	697	627	505	178	111	925	1115	756	825	1206	1191	122	572	217	387	853	800	853	830	277	370	164	254	270	188	180	316	1179	252	459	586	968	660	446	160	665					
9	Число недействительных избирательных бюллетеней	391	6	0	6	0	2	0	7	1	4	0	23	11	12	5	10	5	0	19	8	12	14	13	31	3	19	3	0	12	18	14	25	4	11	6	3	4	1	8	7	6	3	7	6	9	10	9	6	8					
10	Число действительных избирательных бюллетеней	27335	585	96	696	150	250	519	357	78	357	220	927	590	772	697	610	190	141	955	1169	855	845	1260	1281	119	636	241	473	1005	902	928	876	323	451	175	299	327	245	190	370	1300	318	513	715	1027	751	543	180	828					
11	Число полученных открепительных  удостоверений	695	12	5	26	13	10	12	3	2	10	10	22	13	15	13	13	2	2	18	40	17	12	15	65	10	12	10	10	15	15	15	15	10	10	10	10	10	33	13	10	16	22	15	13	35	14	2	5	15					
12	Число выданных открепительных удостоверений	536	11	0	24	13	10	1	0	0	7	10	16	6	13	11	8	1	0	9	40	16	12	15	64	0	9	2	10	5	9	8	15	10	9	2	2	1	33	13	2	14	22	12	11	33	14	2	0	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	290	3	2	11	2	4	4	5	3	5	8	10	6	9	17	7	1	2	9	15	6	7	12	7	2	4	1	0	3	8	4	8	2	8	6	2	2	16	3	7	6	4	1	3	12	18	7	3	5					
14	Число неиспользованных открепительных удостоверений	159	1	5	2	0	0	11	3	2	3	0	6	7	2	2	5	1	2	9	0	1	0	0	1	10	3	8	0	10	6	7	0	0	1	8	8	9	0	0	8	2	0	3	2	2	0	0	5	4					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																							
18	. Глазьев Сергей Юрьевич	785	22	10	20	3	4	11	4	5	18	3	19	11	20	20	16	7	2	43	52	15	19	54	34	1	13	2	5	39	29	40	32	8	13	3	6	13	1	1	4	45	2	8	25	14	24	16	9	20					
		2.83%	3.72%	10.42%	2.85%	2.00%	1.59%	2.12%	1.10%	6.33%	4.99%	1.36%	2.00%	1.83%	2.55%	2.85%	2.58%	3.59%	1.42%	4.41%	4.42%	1.73%	2.21%	4.24%	2.59%	0.82%	1.98%	0.82%	1.06%	3.83%	3.15%	4.25%	3.55%	2.45%	2.81%	1.66%	1.99%	3.93%	0.41%	0.51%	1.06%	3.45%	0.62%	1.54%	3.47%	1.35%	3.15%	2.90%	4.84%	2.39%					
19	. Малышкин Олег Александрович	859	16	0	6	17	6	17	12	3	9	9	19	16	31	13	16	10	2	22	28	14	27	40	69	8	27	9	12	22	20	20	26	9	8	16	9	15	7	6	9	68	9	10	25	36	36	17	7	26					
		3.10%	2.71%	0.00%	0.85%	11.33%	2.38%	3.28%	3.30%	3.80%	2.49%	4.09%	2.00%	2.66%	3.95%	1.85%	2.58%	5.13%	1.42%	2.26%	2.38%	1.61%	3.14%	3.14%	5.26%	6.56%	4.12%	3.69%	2.54%	2.16%	2.17%	2.12%	2.89%	2.75%	1.73%	8.84%	2.98%	4.53%	2.85%	3.03%	2.39%	5.21%	2.80%	1.92%	3.47%	3.47%	4.73%	3.08%	3.76%	3.11%					
