Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																								
Дата голосования: 04.12.2011																																																								
																																																								
Наименование Избирательной комиссии:    район Хорошево-Мневники																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
		Сумма	УИК №2925	УИК №2926	УИК №2927	УИК №2928	УИК №2929	УИК №2930	УИК №2931	УИК №2932	УИК №2933	УИК №2934	УИК №2935	УИК №2936	УИК №2937	УИК №2938	УИК №2939	УИК №2940	УИК №2941	УИК №2942	УИК №2943	УИК №2944	УИК №2945	УИК №2946	УИК №2947	УИК №2948	УИК №2949	УИК №2950	УИК №2951	УИК №2952	УИК №2953	УИК №2954	УИК №2955	УИК №2956	УИК №2957	УИК №2958	УИК №2959	УИК №2960	УИК №2961	УИК №2962	УИК №2963	УИК №2964	УИК №2965	УИК №2966	УИК №2967	УИК №2968	УИК №2969	УИК №2970	УИК №3387	УИК №3388	УИК №3389					
1	"Число избирателей, внесенных в список избирателей"	99071	2642	2160	2541	2221	2307	2332	2775	2092	2120	2393	2379	1325	2012	2248	2056	2025	2062	2074	2011	2180	2090	2069	2399	2515	2217	2094	2044	2378	2213	2387	2802	2086	2218	2094	1938	2122	1789	1225	2207	2000	2005	2104	2127	2090	1776	328	759	125	915					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	78550	2300	2300	2000	1600	2300	1700	2000	1500	1500	1900	1700	1000	1500	2000	1500	1700	1800	1500	1500	1600	1900	1500	1700	1800	1600	1500	1500	2000	2000	1700	2000	2100	1600	1500	1400	1600	1700	1150	1500	1500	1500	1500	1500	1500	1700	300	1000	200	1200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	54377	1356	1100	1206	1477	1069	1313	1254	975	1469	1069	1026	604	877	1520	963	1318	1158	1055	1007	1054	1060	1125	1168	1167	1089	1050	1013	1448	1635	1124	1391	1582	1527	1392	875	943	1508	912	1140	1038	1298	899	954	1004	1435	179	759	120	672					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1195	1	10	28	18	20	17	15	25	9	35	29	21	34	24	18	73	13	27	26	14	35	60	22	20	21	30	23	6	23	30	46	21	16	24	11	11	14	23	27	15	21	17	11	17	20	4	0	0	170					
6	Число погашенных избирательных бюллетеней	22978	943	1190	766	105	1211	370	731	500	22	796	645	375	589	456	519	309	629	418	467	532	805	315	510	613	490	420	464	546	342	546	563	497	57	84	514	646	178	215	333	447	181	584	535	479	245	117	241	80	358					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1195	1	10	28	18	20	17	15	25	9	35	29	21	34	24	18	73	13	27	26	14	35	60	22	20	21	30	23	6	23	30	46	21	16	24	11	11	14	23	27	15	21	17	11	17	20	4	0	0	170					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	53550	1353	1100	1196	1392	1035	1309	1239	972	1387	1069	991	603	877	1520	963	1318	1110	1055	1007	1053	932	1117	1168	1167	1086	1049	1012	1392	1612	1124	1391	1582	1492	1352	875	939	1423	912	1140	1038	1297	899	953	1000	1326	177	759	120	667					
9	Число недействительных избирательных бюллетеней	1079	31	27	11	17	46	18	16	18	18	13	18	15	16	75	17	10	17	28	26	18	17	26	40	20	19	16	29	23	40	20	29	24	29	27	12	24	13	9	27	16	20	19	21	19	19	3	1	6	56					
10	Число действительных избирательных бюллетеней	53666	1323	1083	1213	1393	1009	1308	1238	979	1378	1091	1002	609	895	1469	964	1381	1106	1054	1007	1049	950	1151	1150	1167	1088	1063	1006	1375	1595	1134	1408	1579	1479	1349	874	926	1424	926	1140	1037	1298	897	943	998	1327	178	758	114	781					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2350	70	70	60	60	60	60	60	50	60	60	40	30	40	40	50	70	60	50	40	40	50	50	50	50	40	40	40	60	60	40	60	60	70	40	40	50	60	50	50	40	50	50	60	50	60	10	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2083	67	68	48	60	58	60	59	41	58	45	28	23	39	40	33	61	60	45	27	33	50	50	46	41	40	35	18	59	60	40	60	53	61	40	26	41	50	40	46	40	50	39	46	38	51	10	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1951	17	18	39	49	7	23	44	39	54	36	22	22	18	46	30	55	19	15	24	29	19	29	59	21	29	29	20	51	36	16	26	15	59	72	9	21	69	50	110	16	58	46	30	40	57	22	17	21	298					
14	Число погашенных неиспользованных открепительных удостоверений	267	3	2	12	0	2	0	1	9	2	15	12	7	1	0	17	9	0	5	13	7	0	0	4	9	0	5	22	1	0	0	0	7	9	0	14	9	10	10	4	0	0	11	14	12	9	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	147	6	2	2	5	3	3	4	3	5	4	6	3	4	3	0	2	0	1	0	2	3	1	5	1	3	1	5	2	1	5	8	1	5	7	4	5	5	2	5	4	4	4	3	1	4	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	8617	233	209	228	167	197	236	231	180	155	194	189	126	183	213	175	142	190	193	175	192	204	188	198	224	213	213	200	201	226	233	132	201	191	131	162	201	169	114	206	183	162	159	158	206	172	27	12	10	113					
		15.74%	17.21%	18.83%	18.63%	11.84%	18.67%	17.80%	18.42%	18.05%	11.10%	17.57%	18.53%	20.19%	20.09%	13.80%	17.84%	10.21%	16.92%	17.84%	16.94%	17.99%	21.10%	15.97%	16.64%	18.87%	19.24%	19.74%	19.32%	14.38%	13.82%	20.19%	9.19%	12.54%	12.67%	9.52%	18.28%	21.16%	11.76%	12.19%	17.65%	17.38%	12.29%	17.36%	16.39%	20.26%	12.78%	14.92%	1.58%	8.33%	13.50%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	5909	190	147	155	135	141	137	182	110	126	165	159	86	121	168	122	105	112	88	111	140	102	145	162	129	125	111	126	180	99	133	115	147	146	103	107	100	107	77	119	128	146	100	112	110	95	20	48	12	105					
		10.79%	14.03%	13.24%	12.66%	9.57%	13.36%	10.33%	14.51%	11.03%	9.03%	14.95%	15.59%	13.78%	13.28%	10.88%	12.44%	7.55%	9.97%	8.13%	10.75%	13.12%	10.55%	12.32%	13.61%	10.87%	11.29%	10.29%	12.17%	12.88%	6.06%	11.53%	8.00%	9.17%	9.68%	7.49%	12.08%	10.53%	7.45%	8.24%	10.20%	12.16%	11.08%	10.92%	11.62%	10.82%	7.06%	11.05%	6.32%	10.00%	12.54%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	877	23	25	35	24	18	19	20	20	16	16	23	14	13	13	32	8	24	19	14	28	15	17	24	24	12	16	24	22	17	19	19	22	18	19	10	18	20	7	28	22	12	19	17	18	14	0	8	1	11					
		1.60%	1.70%	2.25%	2.86%	1.70%	1.71%	1.43%	1.59%	2.01%	1.15%	1.45%	2.25%	2.24%	1.43%	0.84%	3.26%	0.58%	2.14%	1.76%	1.36%	2.62%	1.55%	1.44%	2.02%	2.02%	1.08%	1.48%	2.32%	1.57%	1.04%	1.65%	1.32%	1.37%	1.19%	1.38%	1.13%	1.89%	1.39%	0.75%	2.40%	2.09%	0.91%	2.07%	1.76%	1.77%	1.04%	0.00%	1.05%	0.83%	1.31%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	12371	348	294	331	214	206	257	307	270	217	299	251	164	213	236	217	174	257	284	294	283	254	299	276	290	314	331	264	287	334	316	283	258	246	224	241	273	256	204	321	331	269	249	293	335	287	26	18	35	141					
