Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																							
Дата голосования: 02.12.2007																																																							
																																																							
Наименование Избирательной комиссии:    район Хорошево-Мневники																																																							
																																																							
Сводная таблица результатов выборов																																																							
																																																							
		Сумма	УИК №2889	УИК №2890	УИК №2891	УИК №2892	УИК №2893	УИК №2894	УИК №2895	УИК №2896	УИК №2897	УИК №2898	УИК №2899	УИК №2900	УИК №2901	УИК №2902	УИК №2903	УИК №2904	УИК №2905	УИК №2906	УИК №2907	УИК №2908	УИК №2909	УИК №2910	УИК №2911	УИК №2912	УИК №2913	УИК №2914	УИК №2915	УИК №2916	УИК №2917	УИК №2918	УИК №2919	УИК №2920	УИК №2921	УИК №2922	УИК №2923	УИК №2924	УИК №2925	УИК №2926	УИК №2927	УИК №2928	УИК №2929	УИК №2930	УИК №2931	УИК №2932	УИК №2933	УИК №3294	УИК №3295	УИК №3296					
1	"Число избирателей, внесенных в списки избирателей"	100348	2833	2361	2460	2333	2525	2741	2297	1952	2796	2311	2127	1884	1926	2271	2197	2026	1871	1614	2412	2286	2446	2283	2425	2424	2196	1706	2572	2780	1795	2525	2117	1799	2480	2076	2095	2039	1619	1963	1469	2067	2010	1794	2726	1848	1832	850	127	1062					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	74200	2000	1700	1800	1700	1800	2000	1700	1400	2000	1600	1500	1400	1400	1700	1600	1500	1400	1200	1700	1700	1800	1700	1800	1700	1600	1300	1800	2000	1300	1800	1500	1300	1800	1500	1500	1500	1200	1400	1100	1500	1500	1300	2000	1300	1300	1200	200	1500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	49140	1458	1185	1143	1038	1133	1288	1004	947	1319	1079	1003	857	878	1093	1075	1037	999	823	1259	1218	1103	1147	1105	1226	1095	912	1245	1391	990	1219	851	826	1183	932	984	943	790	996	759	1086	1005	872	1231	928	982	850	121	532					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1467	5	15	19	44	18	28	14	18	19	28	39	19	27	26	20	20	23	21	36	18	25	30	27	15	23	21	37	31	20	34	20	27	25	29	34	27	20	46	10	20	29	21	20	12	22	0	0	385					
6	Число погашенных избирательных бюллетеней	23593	537	500	638	618	649	684	682	435	662	493	458	524	495	581	505	443	378	356	405	464	672	523	668	459	482	367	518	578	290	547	629	447	592	539	482	530	390	358	331	394	466	407	749	360	296	350	79	583					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1464	5	15	19	44	18	28	14	18	19	28	39	19	27	26	20	20	23	21	36	18	25	30	27	15	23	21	37	31	20	31	20	27	25	29	34	27	20	46	10	20	29	21	20	12	22	0	0	385					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	48966	1446	1182	1124	1033	1124	1283	1000	929	1319	1079	1000	857	874	1091	1072	1037	996	823	1256	1218	1103	1147	1105	1226	1092	907	1240	1381	970	1214	851	826	1176	921	984	941	790	996	759	1086	1005	870	1229	922	980	850	121	531					
9	Число недействительных избирательных бюллетеней	667	24	9	22	15	8	17	18	0	22	12	10	14	6	15	14	6	14	20	20	17	16	15	18	21	10	16	19	18	17	12	10	10	15	11	11	12	6	10	11	18	8	10	9	18	17	26	4	16					
10	Число действительных избирательных бюллетеней	49763	1427	1188	1121	1062	1134	1294	996	947	1316	1095	1029	862	895	1102	1078	1051	1005	824	1272	1219	1112	1162	1114	1220	1105	912	1258	1394	973	1233	861	843	1186	939	1007	956	804	1032	758	1088	1026	881	1240	916	985	824	117	900					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2250	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1421	35	34	36	36	43	36	23	21	27	21	39	35	20	39	39	31	20	32	35	41	23	29	37	31	28	28	29	39	31	37	28	22	49	25	27	27	29	27	23	40	32	27	48	49	13	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1056	21	17	18	26	10	23	12	19	23	22	25	17	17	18	18	28	22	18	17	27	5	25	17	26	25	18	38	19	18	10	17	28	22	11	33	19	20	30	12	22	27	41	15	37	14	16	5	88					
14	Число погашенных неиспользованных открепительных удостоверений	829	15	16	14	14	7	14	27	29	23	29	11	15	30	11	11	19	30	18	15	9	27	21	13	19	22	22	21	11	19	13	22	28	1	25	23	23	21	23	27	10	18	23	2	1	37	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	79	4	0	1	0	2	4	3	1	2	0	1	2	1	1	1	0	2	0	3	1	0	1	2	2	9	1	7	2	3	0	1	0	5	1	1	0	7	0	1	0	0	0	5	0	2	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																							
18	1.Политическая партия «Аграрная партия России»	1632	57	46	42	30	39	33	38	29	54	29	35	21	26	29	27	26	36	30	38	44	51	39	39	45	34	45	48	49	35	35	28	32	34	19	34	39	25	31	11	33	39	24	48	27	37	11	9	22					
		3.24%	3.93%	3.84%	3.67%	2.79%	3.42%	2.52%	3.75%	3.06%	4.04%	2.62%	3.37%	2.40%	2.89%	2.60%	2.47%	2.46%	3.53%	3.55%	2.94%	3.56%	4.52%	3.31%	3.45%	3.63%	3.05%	4.85%	3.76%	3.47%	3.54%	2.81%	3.21%	3.75%	2.83%	2.00%	3.34%	4.03%	3.09%	2.98%	1.43%	2.98%	3.77%	2.69%	3.84%	2.89%	3.69%	1.29%	7.44%	2.40%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1455	78	35	22	33	41	36	26	35	46	21	28	22	31	28	42	25	28	32	52	37	43	30	16	49	41	21	31	45	25	38	21	27	30	25	22	27	30	25	21	21	24	20	47	28	19	12	4	15					
		2.89%	5.38%	2.92%	1.92%	3.06%	3.59%	2.75%	2.56%	3.70%	3.44%	1.90%	2.69%	2.51%	3.44%	2.51%	3.85%	2.37%	2.75%	3.79%	4.02%	2.99%	3.81%	2.55%	1.41%	3.95%	3.68%	2.26%	2.43%	3.19%	2.53%	3.05%	2.41%	3.17%	2.50%	2.63%	2.16%	2.79%	3.70%	2.40%	2.73%	1.90%	2.32%	2.24%	3.76%	2.99%	1.90%	1.41%	3.31%	1.64%					
20	3.Политическая партия «Демократическая партия России»	94	6	0	5	3	2	3	3	1	5	1	5	2	1	2	3	4	2	3	2	1	0	1	2	2	1	2	4	1	0	1	0	0	1	0	4	4	2	1	0	1	1	0	0	1	1	5	1	4					
		0.19%	0.41%	0.00%	0.44%	0.28%	0.18%	0.23%	0.30%	0.11%	0.37%	0.09%	0.48%	0.23%	0.11%	0.18%	0.27%	0.38%	0.20%	0.36%	0.15%	0.08%	0.00%	0.08%	0.18%	0.16%	0.09%	0.22%	0.31%	0.07%	0.00%	0.08%	0.00%	0.00%	0.08%	0.00%	0.39%	0.41%	0.25%	0.10%	0.00%	0.09%	0.10%	0.00%	0.00%	0.11%	0.10%	0.59%	0.83%	0.44%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	7602	209	192	153	146	155	170	135	115	180	185	135	140	113	143	161	164	171	103	232	200	166	170	179	170	169	149	205	210	203	224	126	131	182	131	142	157	115	208	164	198	151	149	198	153	213	13	10	114					
		15.07%	14.40%	16.04%	13.39%	13.56%	13.57%	12.97%	13.31%	12.14%	13.45%	16.71%	12.99%	15.98%	12.54%	12.80%	14.74%	15.52%	16.78%	12.20%	17.96%	16.18%	14.72%	14.44%	15.81%	13.70%	15.16%	16.06%	16.05%	14.87%	20.51%	17.99%	14.47%	15.36%	15.15%	13.79%	13.95%	16.22%	14.20%	19.96%	21.33%	17.90%	14.60%	16.72%	15.85%	16.38%	21.26%	1.53%	8.26%	12.45%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	1601	56	44	35	24	50	38	31	35	66	15	15	27	23	31	45	26	27	24	63	31	24	59	31	44	51	44	49	34	34	40	20	30	40	32	51	18	33	21	12	35	26	27	45	30	31	13	2	19					
