Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																				
Дата голосования: 02.12.2007																																				
																																				
Наименование Избирательной комиссии:    Тамбовская																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706					
1	"Число избирателей, внесенных в списки избирателей"	18169	2378	2223	1614	472	549	154	945	146	457	298	320	1392	115	154	757	599	166	588	506	1500	137	355	453	171	285	124	428	90	793					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	17375	2206	2107	1522	476	535	141	891	137	476	288	324	1227	108	158	790	604	192	573	504	1438	127	345	474	172	249	104	408	83	716					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	12945	1525	1251	901	382	408	116	765	103	370	263	240	866	95	111	657	497	159	463	445	1096	116	279	293	122	218	104	331	83	686					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	837	80	70	60	17	18	12	39	6	36	9	21	96	4	10	25	33	7	57	22	66	4	27	22	18	12	0	40	0	26					
6	Число погашенных избирательных бюллетеней	3593	601	786	561	77	109	13	87	28	70	16	63	265	9	37	108	74	26	53	37	276	7	39	159	32	19	0	37	0	4					
7	Число избирательных бюллетеней в переносных ящиках для голосования	837	80	70	60	17	18	12	39	6	36	9	21	96	4	10	25	33	7	57	22	66	4	27	22	18	12	0	40	0	26					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12945	1525	1251	901	382	408	116	765	103	370	263	240	866	95	111	657	497	159	463	445	1096	116	279	293	122	218	104	331	83	686					
9	Число недействительных избирательных бюллетеней	107	5	7	5	10	6	0	4	0	3	2	1	9	0	0	6	9	0	5	12	12	0	0	1	1	2	0	1	1	5					
10	Число действительных избирательных бюллетеней	13675	1600	1314	956	389	420	128	800	109	403	270	260	953	99	121	676	521	166	515	455	1150	120	306	314	139	228	104	370	82	707					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	112	16	18	16	0	1	1	4	1	5	4	2	4	1	1	6	3	1	3	3	4	1	2	3	1	0	0	1	0	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	103	16	18	16	0	1	1	4	0	2	4	0	4	0	1	6	3	1	3	3	4	1	2	3	0	0	0	0	0	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	113	12	12	5	1	1	5	1	2	0	0	2	31	2	0	3	2	1	6	3	5	2	1	1	2	2	3	1	1	6					
14	Число погашенных неиспользованных открепительных удостоверений	9	0	0	0	0	0	0	0	1	3	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
18	1.Политическая партия «Аграрная партия России»	322	27	20	12	16	8	3	22	2	14	7	6	18	2	0	57	25	8	9	8	23	8	3	5	2	3	0	9	2	3					
		2.34%	1.68%	1.51%	1.25%	4.01%	1.88%	2.34%	2.74%	1.83%	3.45%	2.57%	2.30%	1.87%	2.02%	0.00%	8.36%	4.72%	4.82%	1.73%	1.71%	1.98%	6.67%	0.98%	1.59%	1.43%	1.30%	0.00%	2.43%	2.41%	0.42%					
19	2.Всероссийская политическая партия «Гражданская Сила»	24	3	2	3	0	1	0	1	1	2	0	1	2	1	0	2	0	1	0	1	0	0	0	2	0	0	0	0	0	1					
		0.17%	0.19%	0.15%	0.31%	0.00%	0.23%	0.00%	0.12%	0.92%	0.49%	0.00%	0.38%	0.21%	1.01%	0.00%	0.29%	0.00%	0.60%	0.00%	0.21%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%					
20	3.Политическая партия «Демократическая партия России»	17	0	10	0	1	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0					
		0.12%	0.00%	0.76%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	1.01%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1288	192	106	103	30	60	14	57	9	34	17	42	110	5	13	91	53	5	45	33	79	8	22	55	6	21	10	33	4	31					
		9.35%	11.96%	8.02%	10.72%	7.52%	14.08%	10.94%	7.09%	8.26%	8.37%	6.25%	16.09%	11.43%	5.05%	10.74%	13.34%	10.00%	3.01%	8.65%	7.07%	6.80%	6.67%	7.19%	17.46%	4.29%	9.13%	9.62%	8.89%	4.82%	4.35%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	82	15	14	8	0	0	0	2	0	0	0	1	9	0	0	2	0	0	3	0	17	0	1	3	0	1	1	0	2	3					
		0.59%	0.93%	1.06%	0.83%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.38%	0.94%	0.00%	0.00%	0.29%	0.00%	0.00%	0.58%	0.00%	1.46%	0.00%	0.33%	0.95%	0.00%	0.43%	0.96%	0.00%	2.41%	0.42%					
23	6.Политическая партия «Партия социальной справедливости»	16	1	1	1	0	0	0	1	0	0	1	0	2	0	0	2	0	0	1	1	2	0	0	2	0	1	0	0	0	0					
		0.12%	0.06%	0.08%	0.10%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.37%	0.00%	0.21%	0.00%	0.00%	0.29%	0.00%	0.00%	0.19%	0.21%	0.17%	0.00%	0.00%	0.63%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1174	182	175	107	14	23	4	43	10	35	20	22	66	13	10	58	42	10	33	51	78	2	30	30	7	21	9	33	6	40					
		8.52%	11.34%	13.25%	11.13%	3.51%	5.40%	3.13%	5.35%	9.17%	8.62%	7.35%	8.43%	6.86%	13.13%	8.26%	8.50%	7.92%	6.02%	6.35%	10.92%	6.71%	1.67%	9.80%	9.52%	5.00%	9.13%	8.65%	8.89%	7.23%	5.62%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	343	70	37	35	8	8	2	11	1	8	4	7	25	0	0	14	5	0	6	5	60	1	4	6	1	3	1	9	2	10					
		2.49%	4.36%	2.80%	3.64%	2.01%	1.88%	1.56%	1.37%	0.92%	1.97%	1.47%	2.68%	2.60%	0.00%	0.00%	2.05%	0.94%	0.00%	1.15%	1.07%	5.16%	0.83%	1.31%	1.90%	0.71%	1.30%	0.96%	2.43%	2.41%	1.40%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	59	10	3	7	0	2	4	8	0	0	1	0	3	0	1	2	2	0	0	1	3	0	1	0	1	3	1	1	2	3					
		0.43%	0.62%	0.23%	0.73%	0.00%	0.47%	3.13%	0.99%	0.00%	0.00%	0.37%	0.00%	0.31%	0.00%	0.83%	0.29%	0.38%	0.00%	0.00%	0.21%	0.26%	0.00%	0.33%	0.00%	0.71%	1.30%	0.96%	0.27%	2.41%	0.42%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	10308	1089	941	678	317	318	101	655	85	309	220	178	716	77	97	442	394	142	418	355	886	101	243	209	122	175	82	283	64	611					
		74.79%	67.85%	71.23%	70.55%	79.45%	74.65%	78.91%	81.47%	77.98%	76.11%	80.88%	68.20%	74.43%	77.78%	80.17%	64.81%	74.34%	85.54%	80.38%	76.02%	76.25%	84.17%	79.41%	66.35%	87.14%	76.09%	78.85%	76.28%	77.11%	85.81%					
