Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																
Дата голосования: 02.12.2007																																																
																																																
Наименование Избирательной комиссии:    Сысертская																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877					
1	"Число избирателей, внесенных в списки избирателей"	47345	813	1317	1500	1822	2056	1119	1782	1632	1510	1516	1295	407	294	1954	1550	558	694	2017	963	967	1910	2127	1646	263	193	845	218	485	2073	553	1112	1211	831	948	693	699	2298	197	347	1669	1261					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	45950	750	1200	1500	1800	2050	1050	1750	1500	1500	1400	1200	400	250	1900	1500	500	650	1900	950	900	1900	2100	1600	250	200	800	200	500	2000	550	1100	1200	850	950	650	650	2400	200	350	1650	1200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	122	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	25052	362	636	730	959	1208	551	975	883	868	727	656	230	170	1006	785	293	348	957	482	547	1094	1041	949	149	80	468	145	259	1074	298	589	703	440	529	506	420	1120	126	200	926	563					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2122	17	34	49	42	27	45	42	119	17	46	48	112	12	86	58	31	40	87	54	44	81	75	85	21	37	37	9	34	109	8	53	23	28	60	10	46	207	32	24	47	86					
6	Число погашенных избирательных бюллетеней	18654	345	530	721	799	815	454	733	498	615	627	496	58	68	808	657	176	262	856	414	248	725	984	566	80	83	295	46	207	817	244	458	474	382	361	134	184	1073	42	126	677	516					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2244	43	34	49	42	27	45	42	119	17	46	48	112	12	86	58	31	40	87	54	105	81	75	85	21	37	37	9	34	109	8	53	23	28	60	10	46	207	32	24	47	121					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	25052	362	636	730	959	1208	551	975	883	868	727	656	230	170	1006	785	293	348	957	482	547	1094	1041	949	149	80	468	145	259	1074	298	589	703	440	529	506	420	1120	126	200	926	563					
9	Число недействительных избирательных бюллетеней	250	3	8	7	8	13	2	4	12	4	6	6	4	0	9	9	1	6	9	6	6	17	9	18	3	1	7	0	0	13	4	10	4	4	0	7	2	12	1	2	8	5					
10	Число действительных избирательных бюллетеней	27046	402	662	772	993	1222	594	1013	990	881	767	698	338	182	1083	834	323	382	1035	530	646	1158	1107	1016	167	116	498	154	293	1170	302	632	722	464	589	509	464	1315	157	222	965	679					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	655	11	17	22	12	28	13	17	22	25	18	16	15	7	19	15	4	5	27	14	18	26	22	25	7	4	7	6	7	40	9	8	20	15	7	50	15	22	4	6	14	16					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	637	8	17	22	12	28	13	17	20	25	18	16	15	7	17	15	4	5	26	14	13	26	22	23	7	4	7	6	7	40	9	8	20	15	7	49	13	22	4	6	14	16					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	555	17	20	16	20	19	15	17	18	23	13	12	15	7	15	18	6	7	13	3	37	26	3	48	7	4	9	3	6	11	7	10	10	4	13	20	17	16	12	1	12	5					
14	Число погашенных неиспользованных открепительных удостоверений	18	3	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	115	5	6	4	14	10	3	17	15	4	6	4	0	1	0	0	0	0	0	1	3	0	1	8	0	0	4	0	1	2	1	1	0	0	0	0	1	2	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																
18	1.Политическая партия «Аграрная партия России»	711	11	12	13	25	34	17	27	13	18	12	15	3	3	38	25	9	14	22	11	8	41	22	26	7	6	18	4	7	50	22	20	24	11	10	5	16	40	11	8	16	17					
		2.60%	2.72%	1.79%	1.67%	2.50%	2.75%	2.85%	2.65%	1.30%	2.03%	1.55%	2.13%	0.88%	1.65%	3.48%	2.97%	2.78%	3.61%	2.11%	2.05%	1.23%	3.49%	1.97%	2.51%	4.12%	5.13%	3.56%	2.60%	2.39%	4.23%	7.19%	3.12%	3.31%	2.35%	1.70%	0.97%	3.43%	3.01%	6.96%	3.57%	1.64%	2.49%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1099	19	22	46	47	60	28	52	73	39	44	44	5	7	42	27	19	15	33	13	43	45	37	33	8	0	7	1	4	45	3	27	31	43	14	15	11	41	3	6	28	19					
		4.03%	4.69%	3.28%	5.91%	4.70%	4.86%	4.70%	5.11%	7.29%	4.41%	5.69%	6.25%	1.46%	3.85%	3.85%	3.20%	5.86%	3.87%	3.16%	2.43%	6.60%	3.83%	3.32%	3.19%	4.71%	0.00%	1.39%	0.65%	1.37%	3.80%	0.98%	4.21%	4.27%	9.19%	2.38%	2.91%	2.36%	3.09%	1.90%	2.68%	2.88%	2.78%					
20	3.Политическая партия «Демократическая партия России»	27	0	1	2	2	1	0	1	0	0	1	0	0	0	0	2	0	1	0	0	2	0	1	0	0	0	0	0	2	3	1	2	1	0	0	0	0	1	0	0	2	1					
		0.10%	0.00%	0.15%	0.26%	0.20%	0.08%	0.00%	0.10%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.26%	0.00%	0.00%	0.31%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.25%	0.33%	0.31%	0.14%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.21%	0.15%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1701	31	37	65	85	84	37	66	54	68	54	87	15	3	51	41	12	18	52	37	36	118	110	70	9	6	33	8	14	84	21	26	37	16	24	18	10	71	6	4	45	38					
		6.23%	7.65%	5.52%	8.34%	8.49%	6.80%	6.21%	6.49%	5.39%	7.68%	6.99%	12.36%	4.39%	1.65%	4.67%	4.86%	3.70%	4.64%	4.98%	6.90%	5.52%	10.04%	9.86%	6.77%	5.29%	5.13%	6.53%	5.19%	4.78%	7.10%	6.86%	4.05%	5.10%	3.42%	4.07%	3.49%	2.15%	5.35%	3.80%	1.79%	4.62%	5.56%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	235	5	3	9	8	17	14	7	12	9	13	3	0	1	18	4	4	1	7	2	2	8	8	7	4	0	5	0	5	8	2	8	5	0	3	1	9	7	0	1	11	4					
		0.86%	1.23%	0.45%	1.16%	0.80%	1.38%	2.35%	0.69%	1.20%	1.02%	1.68%	0.43%	0.00%	0.55%	1.65%	0.47%	1.23%	0.26%	0.67%	0.37%	0.31%	0.68%	0.72%	0.68%	2.35%	0.00%	0.99%	0.00%	1.71%	0.68%	0.65%	1.25%	0.69%	0.00%	0.51%	0.19%	1.93%	0.53%	0.00%	0.45%	1.13%	0.58%					
23	6.Политическая партия «Партия социальной справедливости»	67	1	2	1	2	3	5	7	5	2	2	1	0	0	4	1	3	1	5	2	0	4	1	1	1	0	1	1	0	1	0	3	0	0	0	2	0	1	0	1	3	0					
		0.25%	0.25%	0.30%	0.13%	0.20%	0.24%	0.84%	0.69%	0.50%	0.23%	0.26%	0.14%	0.00%	0.00%	0.37%	0.12%	0.93%	0.26%	0.48%	0.37%	0.00%	0.34%	0.09%	0.10%	0.59%	0.00%	0.20%	0.65%	0.00%	0.08%	0.00%	0.47%	0.00%	0.00%	0.00%	0.39%	0.00%	0.08%	0.00%	0.45%	0.31%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	3370	58	107	129	119	180	112	144	165	127	127	93	26	13	121	81	32	35	111	55	81	122	155	141	19	14	70	11	34	93	23	59	76	43	65	57	51	172	23	18	104	104					
		12.35%	14.32%	15.97%	16.56%	11.89%	14.57%	18.79%	14.16%	16.47%	14.35%	16.43%	13.21%	7.60%	7.14%	11.08%	9.61%	9.88%	9.02%	10.63%	10.26%	12.42%	10.38%	13.89%	13.64%	11.18%	11.97%	13.86%	7.14%	11.60%	7.86%	7.52%	9.19%	10.47%	9.19%	11.04%	11.05%	10.94%	12.96%	14.56%	8.04%	10.69%	15.20%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1450	27	30	49	70	87	25	59	51	65	55	42	19	7	61	46	15	16	72	25	16	61	45	61	8	7	15	8	5	46	9	51	27	19	38	19	26	59	11	13	51	34					
		5.31%	6.67%	4.48%	6.29%	6.99%	7.04%	4.19%	5.80%	5.09%	7.34%	7.12%	5.97%	5.56%	3.85%	5.59%	5.46%	4.63%	4.12%	6.90%	4.66%	2.45%	5.19%	4.03%	5.90%	4.71%	5.98%	2.97%	5.19%	1.71%	3.89%	2.94%	7.94%	3.72%	4.06%	6.45%	3.68%	5.58%	4.45%	6.96%	5.80%	5.24%	4.97%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	223	4	3	5	13	21	9	19	10	15	6	8	4	5	7	4	1	1	4	4	4	2	6	4	3	1	3	0	2	14	3	8	2	2	4	3	2	8	2	4	2	1					
		0.82%	0.99%	0.45%	0.64%	1.30%	1.70%	1.51%	1.87%	0.99%	1.69%	0.78%	1.14%	1.17%	2.75%	0.64%	0.47%	0.31%	0.26%	0.38%	0.75%	0.61%	0.17%	0.54%	0.39%	1.76%	0.85%	0.59%	0.00%	0.68%	1.18%	0.98%	1.25%	0.28%	0.43%	0.68%	0.58%	0.43%	0.60%	1.27%	1.79%	0.21%	0.15%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	17929	243	434	441	608	727	345	621	596	529	449	404	265	142	733	594	225	279	721	377	448	751	710	664	108	82	346	114	218	814	218	423	516	329	425	387	332	901	98	167	696	449					
		65.68%	60.00%	64.78%	56.61%	60.74%	58.87%	57.89%	61.06%	59.48%	59.77%	58.09%	57.39%	77.49%	78.02%	67.12%	70.46%	69.44%	71.91%	69.06%	70.34%	68.71%	63.91%	63.62%	64.22%	63.53%	70.09%	68.51%	74.03%	74.40%	68.81%	71.24%	65.89%	71.07%	70.30%	72.16%	75.00%	71.24%	67.90%	62.03%	74.55%	71.53%	65.64%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	234	3	11	12	14	8	2	10	11	9	4	1	1	1	8	9	3	1	8	4	6	6	12	9	0	0	0	7	2	12	0	5	3	1	6	2	7	14	3	0	7	12					
		0.86%	0.74%	1.64%	1.54%	1.40%	0.65%	0.34%	0.98%	1.10%	1.02%	0.52%	0.14%	0.29%	0.55%	0.73%	1.07%	0.93%	0.26%	0.77%	0.75%	0.92%	0.51%	1.08%	0.87%	0.00%	0.00%	0.00%	4.55%	0.68%	1.01%	0.00%	0.78%	0.41%	0.21%	1.02%	0.39%	1.50%	1.06%	1.90%	0.00%	0.72%	1.75%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
