Выборы Президента Российской Федерации																																																																																																											
Дата голосования: 18.03.2018																																																																																																											
																																																																																																											
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №11																																																																																																											
																																																																																																											
Сводная таблица итогов голосования																																																																																																											
																																																																																																											
	Число участковых избирательных комиссий	96																																																																																																									
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	96																																																																																																									
																																																																																																											
		Сумма	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509									
1	"Число избирателей, включенных в список избирателей"	199867	2037	1667	2572	2631	1985	1683	2092	2843	2135	1879	2139	1978	2129	2053	1940	1834	2019	1717	1726	1926	2051	1618	1926	1697	2056	2030	2648	2276	1918	1966	1628	1962	1533	2221	2388	2352	2068	1895	2522	2876	1963	2013	2238	2196	2501	2300	2060	2344	1635	2010	1980	1762	2106	1738	1767	2368	2021	2007	2501	1934	2339	2208	1239	2650	2320	2179	2362	2409	2210	1643	2069	2031	2722	1857	1680	1769	1926	1631	1983	2029	1735	2380	1600	1697	2013	2407	2637	1807	2613	2621	2465	2606	2565	509	957	3939									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	192000	1750	1500	2500	2500	1500	1500	2000	2000	2000	2000	2000	2000	2000	2000	2000	1500	2000	1750	1500	2000	2000	1500	2000	1500	2000	2000	2500	2500	2000	2000	1500	2000	1500	2000	2500	2500	2000	2000	2500	2500	1500	2000	2000	2000	2500	2000	2000	2000	1500	2000	2000	1500	2000	1500	1500	2500	2000	2000	2500	2000	2500	2000	1000	2500	2500	2000	2500	2500	2000	1500	2000	2000	2500	2000	1500	1500	2000	1500	2000	2000	1500	2500	1500	1500	2000	2500	2500	1500	2500	2500	2500	2500	2500	1000	1000	4000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	132007	1504	1028	1694	1610	1365	977	1506	1527	1510	1285	1359	1356	1534	1446	1278	1292	1468	1340	1305	1079	1194	1215	1344	1068	1345	1413	1828	1513	1322	1354	1249	1313	1084	1388	1437	1371	1388	1256	1396	1571	1049	1412	1362	1274	1548	1595	1253	1574	1022	1206	1068	1144	1348	1115	1085	1408	1368	1463	1578	1327	1188	1520	859	1833	1650	1721	1554	1777	1876	950	1488	1401	1911	1338	1213	1142	1402	1027	1380	1269	1117	1387	1048	1173	1224	1354	1306	986	1587	1731	1548	1851	1787	205	787	3706									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3309	15	35	23	34	20	28	29	25	20	28	40	33	30	36	72	26	34	33	28	32	30	48	41	35	40	22	22	49	37	26	25	23	27	40	32	41	81	21	36	51	38	16	42	13	46	19	58	32	34	30	18	24	44	21	17	25	18	23	26	41	26	30	19	30	45	35	45	29	34	26	35	45	27	32	20	30	31	29	20	33	21	34	18	15	19	43	22	26	39	48	27	35	30	232	146	0									
6	Число погашенных избирательных бюллетеней	56685	231	437	783	856	115	495	465	448	470	687	601	611	436	518	650	182	498	377	167	889	776	237	615	397	615	565	650	938	641	620	226	664	389	572	1031	1088	531	723	1068	878	413	572	596	713	906	386	689	394	444	764	914	332	608	364	398	1067	614	514	896	632	1286	450	122	637	805	244	901	694	90	524	477	554	562	630	267	329	567	444	600	698	362	1079	434	312	757	1103	1172	488	874	721	925	614	683	563	67	294									
