Выборы Президента Российской Федерации																																								
																																								
Наименование Избирательной комиссии:    Тацинская																																								
																																								
Итоги голосования 																																								
																																								
		Сумма	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №2450	УИК №2515	УИК №2575					
1	"Число избирателей, внесенных в список"	30936	1070	1740	943	1258	1853	615	1544	1692	1312	2147	2136	508	328	229	899	1751	834	500	943	894	886	374	684	462	598	458	722	462	542	779	1028	638	107					
2	Число полученных избирательных бюллетеней	31674	1070	1733	1000	1270	1887	644	1575	1800	1317	2209	2184	508	337	237	939	1823	843	499	986	912	892	379	677	476	610	474	714	474	570	804	1064	658	109					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20673	864	1115	618	908	1306	394	970	1266	795	1516	1393	334	124	147	423	882	614	334	596	654	680	230	555	309	417	320	492	321	361	512	796	325	102					
5	"Число избирательных бюллетеней, выданных вне помещения"	3473	39	177	105	100	132	140	113	134	132	225	69	58	150	68	213	208	79	54	124	108	46	93	56	80	75	70	104	60	78	128	94	158	3					
6	Число погашенных избирательных бюллетеней	7528	167	441	277	262	449	110	492	400	390	468	722	116	63	22	303	733	150	111	266	150	166	56	66	87	118	84	118	93	131	164	174	175	4					
7	Число избирательных бюллетеней в переносных ящиках	3473	39	177	105	100	132	140	113	134	132	225	69	58	150	68	213	208	79	54	124	108	46	93	56	80	75	70	104	60	78	128	94	158	3					
8	Число бюллетеней в стационарных ящиках для голосования	20669	864	1115	618	908	1306	394	970	1263	795	1516	1393	334	124	147	423	882	614	334	596	654	680	230	555	309	417	320	491	321	361	512	796	325	102					
9	Число недействительных избирательных бюллетеней	191	4	5	4	10	6	14	4	6	5	7	14	2	1	4	2	10	0	4	4	6	1	0	32	3	1	4	6	13	2	8	6	1	2					
10	Число действительных избирательных бюллетеней	23951	899	1287	719	998	1432	520	1079	1391	922	1734	1448	390	273	211	634	1080	693	384	716	756	725	323	579	386	491	386	589	368	437	632	884	482	103					
11	Число полученных открепительных  удостоверений	1000	30	49	28	40	54	28	45	66	37	63	62	14	18	14	27	67	24	14	28	26	25	16	19	14	24	20	20	13	23	23	40	24	5					
