Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																								
Дата голосования: 04.12.2011																																																								
																																																								
Наименование Избирательной комиссии:    Грязинская																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
		Сумма	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282					
1	"Число избирателей, внесенных в список избирателей"	59054	1580	2375	1382	916	2081	2021	1839	1878	1328	675	1616	1500	1769	1660	1670	1543	1007	1014	1717	2206	1203	1299	2084	2285	845	975	1287	2049	759	507	749	271	1461	620	1465	1493	611	930	414	578	933	360	260	1099	186	1032	331	803	388					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	58310	1650	2400	1400	850	2050	2000	1850	1900	1350	650	1600	1500	1750	1600	1650	1600	980	1000	1650	2150	1200	1300	2000	2200	850	950	1250	2050	750	500	750	250	1450	550	1450	1450	600	900	400	550	950	350	250	1150	180	1000	300	800	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	28217	632	928	596	406	857	832	1092	1233	686	313	804	671	807	668	833	969	411	650	1006	1006	478	745	884	820	460	443	609	911	428	166	354	131	752	304	583	776	300	543	121	301	409	225	151	475	112	383	237	424	292					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	6745	112	473	108	127	193	122	192	183	172	62	50	79	191	124	101	47	40	175	209	178	200	58	37	229	137	100	184	144	169	182	221	51	225	90	320	125	93	40	87	158	232	32	57	264	39	156	29	121	27					
6	Число погашенных избирательных бюллетеней	23348	906	999	696	317	1000	1046	566	484	492	275	746	750	752	808	716	584	529	175	435	966	522	497	1079	1151	253	407	457	995	153	152	175	68	473	156	547	549	207	317	192	91	309	93	42	411	29	461	34	255	31					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6745	112	473	108	127	193	122	192	183	172	62	50	79	191	124	101	47	40	175	209	178	200	58	37	229	137	100	184	144	169	182	221	51	225	90	320	125	93	40	87	158	232	32	57	264	39	156	29	121	27					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	28217	632	928	596	406	857	832	1092	1233	686	313	804	671	807	668	833	969	411	650	1006	1006	478	745	884	820	460	443	609	911	428	166	354	131	752	304	583	776	300	543	121	301	409	225	151	475	112	383	237	424	292					
9	Число недействительных избирательных бюллетеней	804	16	0	13	5	9	23	10	4	14	0	18	21	5	12	18	10	9	1	364	30	16	7	20	14	0	12	11	20	2	0	5	1	14	13	4	16	1	18	4	0	6	0	6	14	2	11	0	2	3					
10	Число действительных избирательных бюллетеней	34158	728	1401	691	528	1041	931	1274	1412	844	375	836	729	993	780	916	1006	442	824	851	1154	662	796	901	1035	597	531	782	1035	595	348	570	181	963	381	899	885	392	565	204	459	635	257	202	725	149	528	266	543	316					
