Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																											
Дата голосования: 07.12.2003 0:00:00																											
																											
Наименование Избирательной комиссии:    Тунгокоченская 																											
																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																											
																											
		Сумма	УИК  241	УИК  242	УИК  243	УИК  244	УИК  245	УИК  246	УИК  247	УИК  248	УИК  249	УИК  250	УИК  251	УИК  252	УИК  253	УИК  254	УИК  255	УИК  256	УИК  257	УИК  258	УИК  259	УИК  260					
1	"Число избирателей, внесенных в списки"	11596	2078	691	508	1189	1895	1169	668	62	50	70	530	178	78	200	396	667	158	705	228	76					
2	"Число бюллетеней, полученных участковыми комиссиями"	11075	2065	695	460	1045	1810	1050	575	115	45	70	500	160	75	200	385	675	150	700	225	75					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	13	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	6	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5793	970	237	243	571	686	617	346	61	20	42	367	138	51	100	259	344	90	404	177	70					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	212	44	10	11	14	14	19	22	1	1	6	0	0	0	4	19	33	2	12	0	0					
6	Число погашенных бюллетеней	5057	1051	448	206	460	1110	414	207	53	24	15	133	22	24	96	107	298	52	284	48	5					
7	Число бюллетеней в переносных ящиках для голосования	225	44	10	11	14	14	19	22	1	1	13	0	0	0	4	19	33	8	12	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	5793	970	237	243	571	686	617	346	61	20	42	367	138	51	100	259	344	90	404	177	70					
9	Число недействительных бюллетеней	110	8	12	11	10	17	9	12	0	1	0	15	0	1	2	7	1	0	3	1	0					
10	Число действительных бюллетеней	5908	1006	235	243	575	683	627	356	62	20	55	352	138	50	102	271	376	98	413	176	70					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	95	10	5	5	5	5	5	5	3	4	5	5	3	3	4	4	7	5	4	3	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	26	8	0	0	3	1	1	0	0	0	0	3	0	0	3	4	1	0	1	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	13	6	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0					
14	Число погашенных открепительных удостоверений	69	2	5	5	2	4	4	5	3	4	5	2	3	3	1	0	6	5	3	2	5					
15	Число открепительных удостоверений выданных ТИК	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
18	"1. ""ЕДИНЕНИЕ"""	145	17	9	6	8	20	20	13	0	2	2	5	3	0	3	5	11	4	8	6	3					
		2.40%	1.67%	3.64%	2.36%	1.36%	2.85%	3.14%	3.53%	0.0%	9.52%	3.63%	1.36%	2.17%	0.0%	2.88%	1.79%	2.91%	4.08%	1.92%	3.38%	4.28%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	122	8	2	11	12	11	16	39	1	0	0	2	0	0	0	6	3	1	6	2	2					
		2.02%	0.78%	0.80%	4.33%	2.05%	1.57%	2.51%	10.59%	1.61%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	2.15%	0.79%	1.02%	1.44%	1.12%	2.85%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	210	26	8	10	29	40	27	9	3	2	1	6	9	0	2	5	13	5	14	1	0					
		3.48%	2.56%	3.23%	3.93%	4.95%	5.71%	4.24%	2.44%	4.83%	9.52%	1.81%	1.63%	6.52%	0.0%	1.92%	1.79%	3.44%	5.10%	3.36%	0.56%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	56	12	2	1	8	7	9	3	4	0	0	2	0	0	0	1	3	0	4	0	0					
