Выборы Президента Российской Федерации																																																																																										
																																																																																										
"Наименование Избирательной комиссии:    Екатеринбург, Кировская"																																																																																										
																																																																																										
Итоги голосования 																																																																																										
																																																																																										
		Сумма	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467					
1	"Число избирателей, внесенных в список"	162912	2201	2072	2469	2496	1884	1526	1129	1627	1782	2350	2290	2180	2224	1688	1559	1272	2006	1695	2256	2466	1516	1357	1910	1850	2006	1608	1641	2068	2063	2498	2572	2213	1598	1696	1704	1927	1736	2052	1631	1507	114	1194	1974	2162	2432	2180	2258	2367	1692	2541	1296	2004	2122	2347	1932	2050	1800	2106	1624	977	773	2046	374	2795	2605	2675	2509	2374	2303	2234	1671	2044	1748	1472	2800	2516	2829	2652	2123	2796	2427	2358	1291					
2	Число полученных избирательных бюллетеней	164050	2200	2100	2400	2500	2100	1500	1100	1600	1800	2400	2300	2200	2300	1700	1600	1300	2000	1700	2300	2500	1500	1400	1900	1900	2100	1600	1700	2100	2200	2300	2500	2200	1800	1700	1800	1900	1700	2100	1700	1500	200	1100	2100	2200	2500	2200	2400	2300	1700	2300	1300	2000	2300	2400	1700	2000	1800	2100	1600	1000	800	1700	350	2900	2700	2700	2500	2400	2300	2200	1700	2000	1800	1500	2800	2500	2900	2700	2200	2800	2500	2400	1300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	89230	1312	1053	1573	1466	1226	855	556	877	1087	1368	1304	1193	1300	949	874	730	1035	913	1246	1435	901	923	964	994	1182	858	727	1104	1334	1260	1165	1144	934	1032	951	1037	874	1152	832	814	87	1025	1149	1167	1512	1240	1348	1191	843	1485	742	1132	1214	1207	1154	1162	747	1006	766	430	431	1133	214	1534	1435	1511	1309	1195	1308	1233	882	1073	874	821	1297	1301	1376	1334	1237	1481	1235	1251	624					
5	"Число избирательных бюллетеней, выданных вне помещения"	1768	37	56	53	51	28	13	10	16	18	18	28	27	25	13	17	13	10	10	8	15	17	16	21	36	22	29	9	12	48	8	11	64	22	22	26	18	13	31	27	17	0	7	30	26	13	18	17	9	6	8	4	15	8	8	14	13	8	41	100	23	54	6	109	24	13	24	19	23	15	7	6	17	10	19	18	28	7	18	2	14	11	15	6					
6	Число погашенных избирательных бюллетеней	73052	851	991	774	983	846	632	534	707	695	1014	968	980	975	738	709	557	955	777	1046	1050	582	461	915	870	896	713	964	984	818	1032	1324	992	844	646	823	845	813	917	841	669	113	68	921	1007	975	942	1035	1100	851	807	554	853	1078	1185	532	825	1045	1053	734	547	315	561	27	1342	1252	1165	1172	1182	977	960	812	910	916	660	1485	1171	1517	1348	961	1305	1254	1134	670					
7	Число избирательных бюллетеней в переносных ящиках	1768	37	56	53	51	28	13	10	16	18	18	28	27	25	13	17	13	10	10	8	15	17	16	21	36	22	29	9	12	48	8	11	64	22	22	26	18	13	31	27	17	0	7	30	26	13	18	17	9	6	8	4	15	8	8	14	13	8	41	100	23	54	6	109	24	13	24	19	23	15	7	6	17	10	19	18	28	7	18	2	14	11	15	6					
8	Число бюллетеней в стационарных ящиках для голосования	89190	1312	1053	1570	1464	1226	855	556	877	1085	1365	1304	1190	1300	949	874	730	1035	913	1246	1435	898	919	962	991	1181	857	727	1102	1334	1260	1163	1143	934	1032	951	1036	874	1152	830	814	87	1025	1149	1167	1512	1240	1348	1191	843	1485	742	1132	1214	1205	1154	1162	747	1006	766	430	431	1133	214	1534	1435	1511	1309	1195	1308	1233	882	1073	874	821	1297	1301	1376	1334	1237	1478	1235	1251	624					
9	Число недействительных избирательных бюллетеней	436	9	2	7	3	6	4	3	5	3	9	2	7	0	2	3	0	1	6	3	12	3	6	4	4	2	2	4	7	10	1	12	7	4	3	2	10	6	1	2	9	0	0	7	4	4	5	1	5	7	15	5	6	4	3	3	4	4	6	10	4	1	13	2	14	11	4	7	6	8	6	9	7	2	8	9	9	11	10	2	8	2	3	1					
10	Число действительных избирательных бюллетеней	90522	1340	1107	1616	1512	1248	864	563	888	1100	1374	1330	1210	1325	960	888	743	1044	917	1251	1438	912	929	979	1023	1201	884	732	1107	1372	1267	1162	1200	952	1051	975	1044	881	1182	855	822	87	1032	1172	1189	1521	1253	1364	1195	842	1478	741	1141	1218	1210	1165	1171	751	1041	856	449	484	1126	321	1544	1437	1531	1321	1212	1315	1234	879	1083	882	832	1306	1320	1372	1342	1237	1484	1244	1263	629					
11	Число полученных открепительных  удостоверений	2985	40	40	40	40	40	30	30	30	35	40	40	35	40	35	30	30	35	30	40	40	35	30	35	35	40	35	35	35	45	55	45	35	30	35	35	35	30	35	30	35	0	10	35	40	40	40	40	65	35	40	30	40	40	40	30	40	35	35	30	25	20	35	0	45	45	40	40	40	35	35	30	35	40	40	45	45	45	40	40	45	40	40	30					
12	Число выданных открепительных удостоверений	1284	14	9	32	21	9	12	7	9	19	16	16	13	17	13	11	6	13	22	15	31	10	12	9	13	29	21	16	13	45	50	26	20	16	14	15	14	6	12	11	17	0	4	12	20	26	24	25	50	9	20	8	22	12	10	21	8	12	6	9	3	3	16	0	28	17	13	16	10	17	12	10	15	16	10	14	21	16	18	9	13	12	8	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1050	13	16	25	19	11	9	2	6	19	12	11	13	7	14	6	5	13	11	8	12	19	12	18	18	12	18	9	11	31	16	13	12	12	16	22	11	15	25	5	25	2	4	17	9	19	6	30	9	7	6	26	16	13	20	14	15	10	8	9	7	5	8	18	19	3	15	23	13	13	10	7	6	10	6	13	13	7	9	13	12	7	11	10					
14	Число неиспользованных открепительных удостоверений	1701	26	31	8	19	31	18	23	21	16	24	24	22	23	22	19	24	22	8	25	9	25	18	26	22	11	14	19	22	0	5	19	15	14	21	20	21	24	23	19	18	0	6	23	20	14	16	15	15	26	20	22	18	28	30	9	32	23	29	21	22	17	19	0	17	28	27	24	30	18	23	20	20	24	30	31	24	29	22	31	32	28	32	15					
15	"Число открепительных удостоверений, выданных в ТИК"	13	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																										
18	. Глазьев Сергей Юрьевич	4355	87	52	90	97	78	53	25	58	73	106	77	66	85	49	42	40	47	23	58	52	60	70	57	59	61	44	30	56	38	51	44	67	41	53	45	53	56	53	50	39	2	13	42	65	74	60	63	62	29	87	33	42	52	68	68	53	28	43	23	10	14	28	18	57	78	86	69	61	50	32	45	46	25	43	56	50	53	50	65	60	71	60	36					
		4.79%	6.45%	4.69%	5.55%	6.40%	6.22%	6.11%	4.42%	6.49%	6.62%	7.66%	5.78%	5.42%	6.42%	5.09%	4.71%	5.38%	4.50%	2.49%	4.63%	3.59%	6.56%	7.49%	5.80%	5.74%	5.07%	4.97%	4.08%	5.03%	2.75%	4.02%	3.75%	5.55%	4.29%	5.03%	4.61%	5.03%	6.31%	4.48%	5.83%	4.69%	2.30%	1.26%	3.56%	5.45%	4.85%	4.77%	4.62%	5.17%	3.42%	5.83%	4.42%	3.66%	4.26%	5.61%	5.82%	4.51%	3.71%	4.11%	2.66%	2.21%	2.89%	2.46%	5.57%	3.66%	5.39%	5.60%	5.20%	5.01%	3.78%	2.58%	5.07%	4.22%	2.83%	5.12%	4.26%	3.76%	3.83%	3.70%	5.25%	4.02%	5.70%	4.74%	5.71%					
19	. Малышкин Олег Александрович	1314	7	17	20	19	19	8	8	17	14	14	6	16	20	14	9	9	15	25	21	17	13	15	17	16	8	8	15	12	17	15	16	24	16	10	17	14	14	22	18	11	1	12	27	15	22	12	13	21	14	22	18	18	23	18	10	16	19	17	16	16	11	14	9	30	15	15	32	16	19	12	9	19	11	14	18	17	20	34	11	29	13	12	11					
		1.44%	0.52%	1.53%	1.23%	1.25%	1.52%	0.92%	1.41%	1.90%	1.27%	1.01%	0.45%	1.31%	1.51%	1.46%	1.01%	1.21%	1.44%	2.71%	1.67%	1.17%	1.42%	1.60%	1.73%	1.56%	0.67%	0.90%	2.04%	1.08%	1.23%	1.18%	1.36%	1.99%	1.67%	0.95%	1.74%	1.33%	1.58%	1.86%	2.10%	1.32%	1.15%	1.16%	2.29%	1.26%	1.44%	0.95%	0.95%	1.75%	1.65%	1.47%	2.41%	1.57%	1.88%	1.48%	0.86%	1.36%	2.52%	1.62%	1.85%	3.53%	2.27%	1.23%	2.79%	1.93%	1.04%	0.98%	2.41%	1.31%	1.44%	0.97%	1.01%	1.74%	1.24%	1.67%	1.37%	1.28%	1.45%	2.51%	0.89%	1.94%	1.04%	0.95%	1.75%					
20	. Миронов Сергей Михайлович	570	9	8	22	10	11	5	2	7	4	9	11	5	12	5	7	3	10	4	9	10	4	5	7	5	10	10	6	2	10	12	8	10	5	7	6	7	6	4	4	4	1	7	4	10	7	7	12	9	5	11	3	6	10	3	5	10	7	7	8	0	2	6	0	10	10	5	6	12	4	7	10	9	4	2	5	6	6	5	9	9	6	6	4					
		0.63%	0.67%	0.72%	1.36%	0.66%	0.88%	0.58%	0.35%	0.78%	0.36%	0.65%	0.83%	0.41%	0.91%	0.52%	0.79%	0.40%	0.96%	0.43%	0.72%	0.69%	0.44%	0.53%	0.71%	0.49%	0.83%	1.13%	0.82%	0.18%	0.72%	0.95%	0.68%	0.83%	0.52%	0.66%	0.61%	0.66%	0.68%	0.34%	0.47%	0.48%	1.15%	0.68%	0.34%	0.84%	0.46%	0.56%	0.88%	0.75%	0.59%	0.74%	0.40%	0.52%	0.82%	0.25%	0.43%	0.85%	0.93%	0.67%	0.92%	0.00%	0.41%	0.53%	0.00%	0.64%	0.69%	0.33%	0.45%	0.99%	0.30%	0.56%	1.13%	0.83%	0.45%	0.24%	0.38%	0.45%	0.43%	0.37%	0.73%	0.60%	0.48%	0.47%	0.63%					
21	. Путин Владимир Владимирович	65889	855	748	1069	976	838	634	436	604	810	947	971	887	935	684	640	534	776	706	920	1086	607	525	693	679	835	609	536	804	1063	917	874	833	679	746	705	736	586	867	641	602	66	901	857	836	1092	877	953	873	645	1041	555	857	881	871	878	842	583	823	688	357	394	959	241	1148	1010	1080	952	909	977	966	600	802	706	635	1011	999	1095	1074	879	1075	928	938	442					
		72.44%	63.38%	67.45%	65.87%	64.42%	66.83%	73.04%	77.03%	67.64%	73.44%	68.47%	72.90%	72.88%	70.57%	71.10%	71.83%	71.87%	74.26%	76.49%	73.37%	74.90%	66.34%	56.15%	70.50%	66.11%	69.41%	68.74%	72.83%	72.17%	76.92%	72.32%	74.45%	69.01%	71.03%	70.78%	72.16%	69.83%	66.07%	73.29%	74.80%	72.44%	75.86%	87.31%	72.69%	70.08%	71.61%	69.71%	69.82%	72.75%	75.97%	69.73%	74.40%	74.72%	72.09%	71.81%	75.17%	71.66%	77.22%	78.61%	79.45%	78.81%	81.24%	84.20%	74.61%	73.68%	69.75%	70.36%	71.69%	74.63%	73.85%	77.90%	67.57%	73.58%	79.86%	75.60%	76.88%	75.17%	79.18%	79.44%	70.94%	72.05%	74.48%	74.09%	70.16%					
22	. Хакамада Ирина Муцуовна	10071	221	167	249	252	170	90	57	115	112	154	135	120	131	120	89	73	107	85	128	154	115	207	122	159	146	135	80	126	144	170	115	158	124	125	107	128	124	113	71	82	5	45	134	140	159	145	150	119	83	163	68	104	137	142	89	134	58	60	58	26	22	52	15	160	186	205	161	125	148	133	120	112	68	72	97	161	94	76	201	202	136	132	94					
		11.07%	16.38%	15.06%	15.34%	16.63%	13.56%	10.37%	10.07%	12.88%	10.15%	11.14%	10.14%	9.86%	9.89%	12.47%	9.99%	9.83%	10.24%	9.21%	10.21%	10.62%	12.57%	22.14%	12.41%	15.48%	12.14%	15.24%	10.87%	11.31%	10.42%	13.41%	9.80%	13.09%	12.97%	11.86%	10.95%	12.14%	13.98%	9.55%	8.28%	9.87%	5.75%	4.36%	11.37%	11.74%	10.43%	11.53%	10.99%	9.92%	9.78%	10.92%	9.12%	9.07%	11.21%	11.71%	7.62%	11.40%	7.68%	5.73%	6.70%	5.74%	4.54%	4.57%	4.64%	10.27%	12.85%	13.36%	12.12%	10.26%	11.19%	10.73%	13.51%	10.28%	7.69%	8.57%	7.38%	12.11%	6.80%	5.62%	16.22%	13.54%	10.91%	10.43%	14.92%					
23	. Харитонов Николай Михайлович	5195	105	75	115	101	90	40	19	62	61	94	91	82	98	45	62	50	50	38	80	84	71	56	50	69	88	39	35	67	50	51	62	78	55	82	55	49	56	86	43	54	8	23	67	88	86	110	109	57	39	96	38	87	76	69	62	88	35	64	47	34	28	42	20	97	81	85	46	58	82	49	46	67	41	36	75	54	77	66	30	48	44	82	20					
		5.71%	7.78%	6.76%	7.09%	6.67%	7.18%	4.61%	3.36%	6.94%	5.53%	6.80%	6.83%	6.74%	7.40%	4.68%	6.96%	6.73%	4.78%	4.12%	6.38%	5.79%	7.76%	5.99%	5.09%	6.72%	7.32%	4.40%	4.76%	6.01%	3.62%	4.02%	5.28%	6.46%	5.75%	7.78%	5.63%	4.65%	6.31%	7.27%	5.02%	6.50%	9.20%	2.23%	5.68%	7.38%	5.64%	8.74%	7.99%	4.75%	4.59%	6.43%	5.09%	7.59%	6.22%	5.69%	5.31%	7.49%	4.64%	6.11%	5.43%	7.51%	5.77%	3.69%	6.19%	6.23%	5.59%	5.54%	3.46%	4.76%	6.20%	3.95%	5.18%	6.15%	4.64%	4.29%	5.70%	4.06%	5.57%	4.88%	2.42%	3.22%	3.53%	6.48%	3.17%					
																																																																																										
24	Против всех	3128	56	40	51	57	42	34	16	25	26	50	39	34	44	43	39	34	39	36	35	35	42	51	33	36	53	39	30	40	50	51	43	30	32	28	40	57	39	37	28	30	4	31	41	35	81	42	64	54	27	58	26	27	39	39	53	28	21	27	16	6	13	25	18	42	57	55	55	31	35	35	49	28	27	30	44	33	27	37	42	61	46	33	22					
