Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Елизовская																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	47596	2595	878	1410	204	2533	3054	2138	813	647	1451	2032	2632	1671	2106	2098	1240	2108	1831	616	2824	940	1265	648	886	466	784	661	2075	615	1487	112	542	551	661	1022									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	47800	2650	850	1450	210	2500	2900	2100	800	600	1450	1900	2650	1550	2100	2060	1200	2050	1850	650	2750	1000	1300	650	900	860	900	650	2150	600	1500	120	550	550	750	1050									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18005	822	394	608	99	1040	1103	581	370	158	592	880	1042	636	754	683	508	715	550	199	1020	505	447	311	367	119	341	226	782	203	539	51	238	269	316	537									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	445	11	4	7	0	4	5	10	1	38	4	5	12	1	3	3	3	67	5	17	3	3	7	6	10	7	4	157	10	5	7	1	8	1	11	5									
6	Число погашенных избирательных бюллетеней	29200	1817	452	835	111	1456	1792	1509	429	404	854	1015	1596	913	1343	1370	689	1268	1295	434	1727	492	846	333	523	588	555	267	1358	392	954	68	304	280	423	508									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	594	11	4	7	0	4	5	10	1	38	4	5	12	1	3	7	3	67	5	17	3	3	7	6	10	152	4	157	10	5	7	1	8	1	11	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17995	822	394	608	99	1036	1103	581	370	158	591	879	1039	636	754	683	508	715	550	199	1020	505	447	311	367	119	341	226	781	203	539	51	238	269	316	537									
9	Число недействительных избирательных бюллетеней	787	33	6	23	8	52	76	34	12	18	28	34	50	19	40	33	21	32	24	12	50	14	14	7	8	12	13	6	25	7	14	4	15	7	14	22									
10	Число действительных избирательных бюллетеней	17802	800	392	592	91	988	1032	557	359	178	567	850	1001	618	717	657	490	750	531	204	973	494	440	310	369	259	332	377	766	201	532	48	231	263	313	520									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	344	10	10	10	5	20	20	10	5	5	10	10	10	14	10	10	10	10	10	10	10	20	10	5	10	10	10	10	10	5	10	5	10	10	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	82	3	1	1	0	5	9	4	0	0	0	1	5	8	2	3	1	3	0	0	2	16	0	0	3	1	0	0	5	2	0	0	1	4	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	79	3	0	0	0	2	6	1	0	2	5	15	3	1	0	0	0	4	0	0	1	6	9	0	11	1	3	1	1	2	1	0	0	0	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	262	7	9	9	5	15	11	6	5	5	10	9	5	6	8	7	9	7	10	10	8	4	10	5	7	9	10	10	5	3	10	5	9	6	3	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	146	1	0	0	1	25	74	3	1	0	2	1	2	1	2	3	4	3	0	0	4	4	1	0	1	0	0	0	0	0	1	0	2	10	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	256	18	4	7	0	16	20	6	1	4	7	10	17	7	8	10	9	14	6	2	14	8	9	2	3	4	5	9	6	2	8	0	5	4	7	4									
