Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																
Дата голосования: 02.12.2007																																																																																
																																																																																
Наименование Избирательной комиссии:    Кстовская																																																																																
																																																																																
Сводная таблица результатов выборов																																																																																
																																																																																
		Сумма	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130					
1	"Число избирателей, внесенных в списки избирателей"	90825	1508	1391	1458	1576	1717	2599	1929	1923	2235	1879	1841	1259	1724	1397	1557	1774	1246	1576	1792	1517	1910	1498	1991	2468	1611	1698	2677	1091	1024	2724	259	445	558	523	2205	476	377	2645	339	1473	838	1183	1756	1138	2620	1675	358	1690	619	218	421	292	315	104	2185	341	293	1862	1859	1497	300	138	42	378	1038	1814	210	769	303	1329	301	211	838					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	73085	1200	1100	1200	1200	1400	2050	1550	1550	1800	1500	1500	1000	1400	1100	1200	1400	1000	1250	1450	1200	1500	1200	1600	2000	1300	1350	2150	900	800	2150	200	350	450	400	1750	400	300	2150	250	1200	1300	950	1400	900	2100	1350	300	1350	450	150	350	250	250	80	1800	250	230	1500	1500	1200	230	100	45	300	800	1400	150	600	200	1100	200	150	700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	46323	752	679	673	1076	1092	1518	1028	953	1239	1077	1083	586	979	730	868	915	635	717	945	732	1011	853	955	1285	945	935	1339	589	556	1221	45	228	214	222	1031	239	167	1219	124	663	783	605	923	491	1483	628	145	910	332	101	219	139	111	42	1025	101	154	870	930	732	118	69	40	173	492	708	71	421	50	646	69	99	525					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2831	47	29	13	20	5	13	23	18	7	7	12	28	35	32	19	47	15	19	42	20	37	32	24	7	15	28	24	24	12	30	74	9	9	76	102	0	33	18	33	53	55	94	16	97	16	140	55	11	22	28	12	20	45	20	91	117	19	139	34	74	8	26	0	69	55	120	19	38	70	44	119	37	30					
6	Число погашенных избирательных бюллетеней	23931	401	392	514	104	303	519	499	579	554	416	405	386	386	338	313	438	350	514	463	448	452	315	621	708	340	387	787	287	232	899	81	113	227	102	617	161	100	913	93	484	462	251	461	312	601	582	100	429	96	21	119	91	94	18	684	32	57	491	536	394	104	5	5	58	253	572	60	141	80	410	12	14	145					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2829	47	29	13	20	5	13	23	18	7	7	12	28	35	32	19	47	15	19	42	20	37	32	24	7	15	28	24	24	12	30	72	9	9	76	102	0	33	18	33	53	55	94	16	97	16	140	55	11	22	28	12	20	45	20	91	117	19	139	34	74	8	26	0	69	55	120	19	38	70	44	119	37	30					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	46313	752	679	673	1076	1092	1518	1028	953	1238	1071	1083	586	977	730	868	915	635	717	945	732	1011	853	955	1284	945	935	1339	589	556	1221	45	228	214	222	1031	239	167	1219	124	663	783	605	923	491	1483	628	145	910	332	101	219	139	111	42	1025	101	154	870	930	732	118	69	40	173	492	708	71	421	50	646	69	99	525					
9	Число недействительных избирательных бюллетеней	470	6	7	7	6	15	8	16	4	18	5	17	8	8	6	12	7	7	12	17	7	7	6	12	14	9	12	12	7	7	6	1	2	3	3	9	4	2	3	1	7	8	6	5	5	17	13	0	13	2	1	4	0	1	0	6	2	0	8	8	4	2	2	0	5	9	8	1	7	0	6	3	0	4					
10	Число действительных избирательных бюллетеней	48672	793	701	679	1090	1082	1523	1035	967	1227	1073	1078	606	1004	756	875	955	643	724	970	745	1041	879	967	1277	951	951	1351	606	561	1245	116	235	220	295	1124	235	198	1234	156	709	830	693	934	583	1482	755	200	908	352	128	227	159	155	62	1110	216	173	1001	956	802	124	93	40	237	538	820	89	452	120	684	185	136	551					
