Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																															
Дата голосования: 04.12.2011																																																																															
																																																																															
Наименование Избирательной комиссии:    Кстовская																																																																															
																																																																															
Сводная таблица результатов выборов																																																																															
																																																																															
		Сумма	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130					
1	"Число избирателей, внесенных в список избирателей"	91079	1561	1414	1456	1421	1496	2736	1879	2471	2319	1825	1708	1177	1623	1322	1460	1664	1174	1505	1938	1409	1837	1469	1888	2589	1808	1575	2655	1080	1015	2893	300	459	547	497	2213	446	401	2535	335	1401	1668	1107	1860	1202	2672	1736	354	1527	616	353	440	332	192	92	2163	350	293	1851	1920	1508	286	129	365	1044	1774	193	728	291	1236	294	186	816					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	74097	1200	1100	1200	1200	1200	2200	1500	2000	1800	1500	1400	1000	1400	1100	1200	1400	1000	1200	1400	1200	1500	1200	1500	2000	1500	1300	2100	900	800	2300	250	400	450	400	1800	400	350	2100	300	1200	1350	950	1500	1000	2200	1350	300	1250	500	300	350	250	150	80	1800	300	250	1500	1500	1250	250	117	300	850	1400	150	600	250	1000	250	150	700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	56147	1010	663	679	1141	1172	2113	1066	1884	1420	1120	1106	546	1359	764	804	1014	993	710	1079	854	976	760	943	1437	1439	1241	2064	580	610	2176	77	193	184	318	1694	346	150	1922	207	596	1303	557	834	926	1647	679	140	1216	285	134	327	243	98	24	1758	120	96	785	1172	759	125	56	146	470	672	52	515	45	951	70	121	411					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2798	100	77	56	29	6	2	14	22	43	5	7	23	31	28	11	26	7	2	229	22	23	78	63	39	7	23	27	19	12	14	46	2	7	75	69	11	37	9	14	6	17	47	0	47	7	78	48	4	18	71	11	2	14	18	42	62	30	116	67	62	17	47	60	54	156	43	70	67	49	103	23	27					
6	Число погашенных избирательных бюллетеней	15152	90	360	465	30	22	85	420	94	337	375	287	431	10	308	385	360	0	488	92	324	501	362	494	524	54	36	9	301	178	110	127	205	259	7	37	43	163	169	79	598	30	346	666	27	546	593	112	30	197	95	12	5	38	38	0	118	124	599	261	429	108	14	94	326	572	55	15	138	0	77	6	262					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2792	100	77	56	29	6	2	14	22	37	5	7	23	31	28	11	26	7	2	229	22	23	78	63	39	7	23	27	19	12	14	46	2	7	75	69	11	37	9	14	6	17	47	0	47	7	78	48	4	18	71	11	2	14	18	42	62	30	116	67	62	17	47	60	54	156	43	70	67	49	103	23	27					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	56136	1010	663	679	1141	1172	2113	1066	1884	1420	1117	1106	546	1359	764	804	1014	993	710	1079	854	976	760	943	1437	1439	1241	2059	580	610	2176	77	193	184	318	1694	346	150	1922	207	596	1303	557	834	926	1647	679	140	1216	285	134	327	243	98	24	1758	120	96	785	1172	758	125	56	146	470	670	52	515	45	951	70	121	411					
9	Число недействительных избирательных бюллетеней	740	14	13	10	7	11	26	10	17	15	12	23	8	17	93	26	11	6	8	13	10	10	11	21	19	10	12	15	3	13	12	3	3	0	5	19	0	1	14	6	6	11	0	23	5	19	14	1	12	6	5	5	1	1	0	16	2	1	13	15	5	2	3	2	7	8	2	8	2	7	0	1	10					
10	Число действительных избирательных бюллетеней	58188	1096	727	725	1163	1167	2089	1070	1889	1442	1110	1090	561	1373	699	789	1029	994	704	1295	866	989	827	985	1457	1436	1252	2071	596	609	2178	120	192	191	388	1744	357	186	1917	215	596	1309	604	811	968	1635	743	187	1208	297	200	333	244	111	42	1784	180	125	888	1224	815	140	100	204	517	818	93	577	110	993	173	143	428					
