Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Бабынинская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21	УИК  22					
1	"Число избирателей, внесенных в списки"	17193	140	250	2332	1027	516	240	230	584	312	221	584	164	164	385	194	398	306	177	197	3018	3180	2574					
2	"Число бюллетеней, полученных участковыми комиссиями"	16086	133	232	2151	944	474	232	220	547	289	217	545	160	146	366	178	348	295	169	184	2849	2991	2416					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8611	69	112	1118	524	182	91	130	404	202	90	280	91	91	223	105	190	158	76	67	1433	1624	1351					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	821	13	56	48	25	114	69	6	0	43	56	62	29	23	60	22	44	47	30	21	16	26	11					
6	Число погашенных бюллетеней	6654	51	64	985	395	178	72	84	143	44	71	203	40	32	83	51	114	90	63	96	1400	1341	1054					
7	Число бюллетеней в переносных ящиках для голосования	821	13	56	48	25	114	69	6	0	43	56	62	29	23	60	22	44	47	30	21	16	26	11					
8	Число бюллетеней в стационарных ящиках для голосования	8609	69	112	1116	524	182	91	130	404	202	90	280	91	91	223	105	190	158	76	67	1433	1624	1351					
9	Число недействительных бюллетеней	113	0	0	21	19	2	1	1	10	0	1	3	0	3	3	0	0	0	0	0	12	13	24					
10	Число действительных бюллетеней	9317	82	168	1143	530	294	159	135	394	245	145	339	120	111	280	127	234	205	106	88	1437	1637	1338					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	280	6	6	40	10	8	6	6	9	6	6	9	6	6	6	6	6	6	6	6	40	40	40					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	64	0	0	17	5	0	4	1	0	2	4	0	0	0	1	4	3	0	1	0	2	8	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	63	1	2	10	3	3	4	2	1	1	1	3	1	2	4	4	2	1	2	3	2	3	8					
14	Число погашенных открепительных удостоверений	216	6	6	23	5	8	2	5	9	4	2	9	6	6	5	2	3	6	5	6	38	32	28					
15	Число открепительных удостоверений выданных ТИК	13	0	0	0	0	2	0	0	0	2	1	0	0	0	1	0	0	1	0	0	3	1	2					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	"1. ""ЕДИНЕНИЕ"""	93	6	0	9	6	1	5	1	5	0	1	0	0	1	4	5	2	5	0	4	21	12	5					
		0.98%	7.31%	0.0%	0.77%	1.09%	0.33%	3.12%	0.73%	1.23%	0.0%	0.68%	0.0%	0.0%	0.87%	1.41%	3.93%	0.85%	2.43%	0.0%	4.54%	1.44%	0.72%	0.36%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	174	0	1	23	22	4	1	5	5	0	1	10	0	0	3	2	3	3	1	3	25	25	37					
		1.84%	0.0%	0.59%	1.97%	4.00%	1.35%	0.62%	3.67%	1.23%	0.0%	0.68%	2.92%	0.0%	0.0%	1.06%	1.57%	1.28%	1.46%	0.94%	3.40%	1.72%	1.51%	2.71%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	228	4	8	30	16	7	4	4	6	5	4	8	0	0	19	1	3	8	2	5	37	28	29					
		2.41%	4.87%	4.76%	2.57%	2.91%	2.36%	2.5%	2.94%	1.48%	2.04%	2.73%	2.33%	0.0%	0.0%	6.71%	0.78%	1.28%	3.90%	1.88%	5.68%	2.55%	1.69%	2.12%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	243	0	1	33	5	5	7	3	11	0	2	10	0	2	6	2	4	5	4	1	32	62	48					
		2.57%	0.0%	0.59%	2.83%	0.91%	1.68%	4.37%	2.20%	2.72%	0.0%	1.36%	2.92%	0.0%	1.75%	2.12%	1.57%	1.70%	2.43%	3.77%	1.13%	2.20%	3.75%	3.52%					
22	"5. ""За Русь Святую"""	93	0	2	22	4	1	3	1	0	1	2	1	0	0	0	1	3	1	0	0	19	25	7					
