Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
Наименование Избирательной комиссии:    Шипуновская 																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867					
1	"Число избирателей, внесенных в списки"	27713	383	815	300	802	729	212	287	437	1164	602	136	121	617	266	204	271	376	1008	914	242	314	188	930	487	561	756	1171	854	730	1083	174	757	893	2788	669	2178	2686	608					
2	"Число бюллетеней, полученных участковыми комиссиями"	26950	400	800	300	800	700	250	300	450	1100	700	150	150	650	250	200	300	400	1000	950	250	300	200	900	500	600	750	1100	900	700	1000	200	800	900	2500	600	2000	2300	600					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16450	275	504	228	564	429	156	231	268	682	397	92	95	412	203	124	188	265	573	569	212	221	135	615	319	356	540	751	492	484	633	108	481	489	1294	344	1102	1305	314					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	862	0	36	0	28	23	0	0	7	16	25	4	5	7	10	5	6	10	33	30	3	17	1	43	16	27	13	38	15	18	35	6	41	94	50	18	40	128	14					
6	Число погашенных бюллетеней	9638	125	260	72	208	248	94	69	175	402	278	54	50	231	37	71	106	125	394	351	35	62	64	242	165	217	197	311	393	198	332	86	278	317	1156	238	858	867	272					
7	Число бюллетеней в переносных ящиках для голосования	862	0	36	0	28	23	0	0	7	16	25	4	5	7	10	5	6	10	33	30	3	17	1	43	16	27	13	38	15	18	35	6	41	94	50	18	40	128	14					
8	Число бюллетеней в стационарных ящиках для голосования	16448	275	504	228	564	429	156	231	268	682	397	91	95	412	203	124	188	265	573	569	212	221	135	615	319	356	540	751	492	484	633	108	481	489	1294	344	1101	1305	314					
9	Число недействительных бюллетеней	156	0	5	0	6	3	0	4	4	14	1	0	1	6	1	2	0	3	9	15	5	3	1	7	4	0	3	7	4	3	7	2	6	3	3	2	12	7	3					
10	Число действительных бюллетеней	17154	275	535	228	586	449	156	227	271	684	421	95	99	413	212	127	194	272	597	584	210	235	135	651	331	383	550	782	503	499	661	112	516	580	1341	360	1129	1426	325					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	5	7	5	7	7	5	5	5	9	6	5	5	6	5	5	5	5	7	7	5	5	5	8	5	5	7	10	7	7	10	5	7	8	25	10	25	25	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	61	0	2	0	0	1	0	0	0	3	0	2	0	0	0	0	0	2	5	0	0	1	1	0	1	0	0	2	1	1	0	0	3	2	6	2	6	14	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	52	1	0	2	2	0	2	0	2	2	3	1	1	0	1	1	1	1	7	1	1	1	0	5	0	0	0	3	1	2	1	2	0	1	1	1	2	2	1					
14	Число погашенных открепительных удостоверений	239	5	5	5	7	6	5	5	5	6	6	3	5	6	5	5	5	3	2	7	5	4	4	8	4	5	7	8	6	6	10	5	4	6	19	8	19	11	4					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
18	"1. ""ЕДИНЕНИЕ"""	151	1	11	5	8	2	7	4	0	6	3	3	1	2	0	2	3	3	10	12	3	8	0	5	2	2	5	0	2	3	7	0	4	4	11	1	5	5	1					
		0.87%	0.36%	2.03%	2.19%	1.35%	0.44%	4.48%	1.73%	0.0%	0.85%	0.71%	3.15%	1.0%	0.47%	0.0%	1.55%	1.54%	1.09%	1.65%	2.00%	1.39%	3.36%	0.0%	0.75%	0.59%	0.52%	0.90%	0.0%	0.39%	0.59%	1.04%	0.0%	0.76%	0.68%	0.81%	0.27%	0.43%	0.34%	0.30%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	312	5	5	0	7	16	2	0	5	7	2	8	3	4	1	6	2	7	11	6	2	3	3	3	10	2	13	16	4	17	12	4	6	11	19	11	25	46	8					
		1.80%	1.81%	0.92%	0.0%	1.18%	3.53%	1.28%	0.0%	1.81%	1.00%	0.47%	8.42%	3.0%	0.95%	0.46%	4.65%	1.03%	2.54%	1.81%	1.00%	0.93%	1.26%	2.20%	0.45%	2.98%	0.52%	2.35%	2.02%	0.78%	3.38%	1.79%	3.50%	1.14%	1.88%	1.41%	3.03%	2.19%	3.21%	2.43%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	296	7	9	3	3	18	2	7	4	19	11	0	2	6	1	5	2	0	16	2	4	6	1	17	4	7	6	15	13	4	7	3	2	16	31	5	17	21	0					
