Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Сеченовская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12083	553	143	524	262	135	372	63	952	179	534	393	292	231	111	206	229	488	367	454	2543	1816	308	307	155	139	152	175									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12030	560	140	520	260	135	370	65	950	180	530	395	340	230	110	210	230	500	370	455	2400	1840	310	310	150	140	155	175									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7080	201	104	284	110	101	268	49	737	66	431	269	192	156	102	170	150	327	297	218	1172	899	263	186	103	83	57	85									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1214	108	25	54	68	28	33	7	72	64	50	54	100	29	0	20	49	71	50	21	115	2	17	38	36	37	23	43									
6	Число погашенных избирательных бюллетеней	3736	251	11	182	82	6	69	9	141	50	49	72	48	45	8	20	31	102	23	216	1113	939	30	86	11	20	75	47									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1214	108	25	54	68	28	33	7	72	64	50	54	100	29	0	20	49	71	50	21	115	2	17	38	36	37	23	43									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7080	201	104	284	110	101	268	49	737	66	431	269	192	156	102	170	150	327	297	218	1172	899	263	186	103	83	57	85									
9	Число недействительных избирательных бюллетеней	39	7	0	0	1	0	2	0	0	1	3	2	0	5	0	0	0	8	0	0	0	0	8	0	0	1	1	0									
10	Число действительных избирательных бюллетеней	8255	302	129	338	177	129	299	56	809	129	478	321	292	180	102	190	199	390	347	239	1287	901	272	224	139	119	79	128									
