Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																
Дата голосования: 04.12.2011																																																
																																																
Наименование Избирательной комиссии:    Новохоперская																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440	УИК №2441					
1	"Число избирателей, внесенных в список избирателей"	32865	1632	1098	1355	1173	278	1786	1738	1709	1355	397	678	571	592	235	131	507	506	565	803	1819	660	389	216	436	599	822	434	897	2263	544	110	379	296	370	323	393	941	2182	564	124	995					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	33618	1611	1122	1344	1188	283	1820	1785	1752	1297	410	718	602	610	238	139	518	517	580	809	1850	671	400	228	439	614	835	445	924	2347	557	115	393	310	393	361	426	964	2235	601	138	1029					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	22902	1316	863	1072	963	204	1742	1494	1140	533	237	368	234	422	163	101	286	344	315	447	1291	495	281	146	404	436	585	231	408	1437	359	57	320	200	222	208	191	550	1505	467	55	810					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	7034	169	128	53	32	48	42	158	183	631	131	168	309	151	56	24	180	137	222	322	285	113	67	61	10	152	216	191	419	526	121	50	55	83	141	60	192	326	568	74	66	114					
6	Число погашенных избирательных бюллетеней	3682	126	131	219	193	31	36	133	429	133	42	182	59	37	19	14	52	36	43	40	274	63	52	21	25	26	34	23	97	384	77	8	18	27	30	93	43	88	162	60	17	105					
7	Число избирательных бюллетеней в переносных ящиках для голосования	7034	169	128	53	32	48	42	158	183	631	131	168	309	151	56	24	180	137	222	322	285	113	67	61	10	152	216	191	419	526	121	50	55	83	141	60	192	326	568	74	66	114					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22843	1316	863	1071	963	204	1684	1494	1140	533	237	368	234	422	163	101	286	344	315	447	1291	495	281	146	404	436	585	231	408	1437	359	57	320	200	222	208	191	550	1505	467	55	810					
9	Число недействительных избирательных бюллетеней	169	10	8	8	6	0	14	3	0	4	0	0	2	0	2	0	0	2	0	1	8	4	1	0	0	3	0	0	62	2	4	0	2	1	0	1	4	6	4	0	0	7					
10	Число действительных избирательных бюллетеней	29708	1475	983	1116	989	252	1712	1649	1323	1160	368	536	541	573	217	125	466	479	537	768	1568	604	347	207	414	585	801	422	765	1961	476	107	373	282	363	267	379	870	2069	541	121	917					
