Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Завитинская																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273					
1	"Число избирателей, внесенных в списки"	15784	338	145	172	1433	1560	2047	2252	795	688	1943	168	395	65	342	179	83	207	145	556	132	180	308	331	338	139	458	80	305					
2	"Число бюллетеней, полученных участковыми комиссиями"	15920	366	155	172	1446	1501	2067	2261	802	689	1968	172	401	71	346	180	83	216	146	577	136	181	310	328	347	145	462	84	308					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7789	288	127	53	545	753	988	1072	361	282	763	108	219	43	190	105	50	160	87	333	79	110	160	187	193	98	245	55	135					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	314	0	0	0	42	76	29	33	20	7	10	6	9	7	3	0	0	0	0	22	6	0	0	5	5	5	24	0	5					
6	Число погашенных бюллетеней	7817	78	28	119	859	672	1050	1156	421	400	1195	58	173	21	153	75	33	56	59	222	51	71	150	136	149	42	193	29	168					
7	Число бюллетеней в переносных ящиках для голосования	314	0	0	0	42	76	29	33	20	7	10	6	9	7	3	0	0	0	0	22	6	0	0	5	5	5	24	0	5					
8	Число бюллетеней в стационарных ящиках для голосования	7785	288	127	53	545	753	987	1070	361	282	763	108	219	43	190	105	50	160	87	332	79	110	160	187	193	98	245	55	135					
9	Число недействительных бюллетеней	95	2	0	1	3	13	10	12	5	1	8	0	1	1	6	2	0	4	1	11	1	1	3	4	0	2	1	0	2					
10	Число действительных бюллетеней	8004	286	127	52	584	816	1006	1091	376	288	765	114	227	49	187	103	50	156	86	343	84	109	157	188	198	101	268	55	138					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	273	35	5	5	13	10	20	15	10	10	42	5	5	5	5	5	5	5	5	10	5	5	5	8	5	10	10	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	169	27	0	0	13	6	20	12	6	4	34	2	2	2	1	1	0	5	0	7	1	0	1	7	3	9	4	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	82	11	8	1	9	7	7	7	8	3	5	2	0	1	1	1	1	0	1	2	1	1	0	0	0	2	0	2	1					
14	Число погашенных открепительных удостоверений	104	8	5	5	0	4	0	3	4	6	8	3	3	3	4	4	5	0	5	3	4	5	4	1	2	1	6	5	3					
15	Число открепительных удостоверений выданных ТИК	4	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
18	"1. ""ЕДИНЕНИЕ"""	111	7	1	1	7	5	9	12	4	4	7	1	0	1	2	1	0	4	2	11	3	5	6	4	4	3	3	2	2					
		1.37%	2.43%	0.78%	1.88%	1.19%	0.60%	0.88%	1.08%	1.04%	1.38%	0.90%	0.87%	0.0%	2.0%	1.03%	0.95%	0.0%	2.5%	2.29%	3.10%	3.52%	4.54%	3.75%	2.08%	2.02%	2.91%	1.11%	3.63%	1.42%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	63	7	3	1	2	4	12	14	0	4	3	0	2	0	0	1	0	0	0	3	0	0	1	2	2	0	0	0	2					
		0.77%	2.43%	2.36%	1.88%	0.34%	0.48%	1.18%	1.26%	0.0%	1.38%	0.38%	0.0%	0.87%	0.0%	0.0%	0.95%	0.0%	0.0%	0.0%	0.84%	0.0%	0.0%	0.62%	1.04%	1.01%	0.0%	0.0%	0.0%	1.42%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	255	8	1	2	20	25	42	41	10	5	11	0	9	2	6	5	0	13	1	15	0	1	2	4	10	4	12	5	1					
		3.14%	2.77%	0.78%	3.77%	3.40%	3.01%	4.13%	3.71%	2.62%	1.73%	1.42%	0.0%	3.94%	4.0%	3.10%	4.76%	0.0%	8.12%	1.14%	4.23%	0.0%	0.90%	1.25%	2.08%	5.05%	3.88%	4.46%	9.09%	0.71%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	103	6	0	3	8	9	22	15	4	3	9	2	2	0	2	0	0	1	1	4	1	1	0	1	2	2	3	0	2					
		1.27%	2.08%	0.0%	5.66%	1.36%	1.08%	2.16%	1.35%	1.04%	1.03%	1.16%	1.75%	0.87%	0.0%	1.03%	0.0%	0.0%	0.62%	1.14%	1.12%	1.17%	0.90%	0.0%	0.52%	1.01%	1.94%	1.11%	0.0%	1.42%					
22	"5. ""За Русь Святую"""	69	2	5	1	10	8	9	5	5	0	6	0	0	0	2	0	0	1	0	5	0	1	1	1	0	1	5	0	1					
