Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																											
Дата голосования: 07.12.2003 0:00:00																											
																											
Наименование Избирательной комиссии:    Тарбагатайская																											
																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																											
																											
		Сумма	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582					
1	"Число избирателей, внесенных в списки"	11613	793	734	337	1013	551	204	333	2118	1104	378	728	129	234	329	131	670	1092	373	136	226					
2	"Число бюллетеней, полученных участковыми комиссиями"	11740	772	739	341	1057	570	204	349	2118	1073	392	745	131	257	330	173	670	1078	371	133	237					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6546	476	420	211	523	334	160	169	1004	575	292	449	106	163	186	118	391	566	175	82	146					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	561	15	42	23	94	28	0	27	53	23	34	51	8	7	18	13	52	10	28	22	13					
6	Число погашенных бюллетеней	4633	281	277	107	440	208	44	153	1061	475	66	245	17	87	126	42	227	502	168	29	78					
7	Число бюллетеней в переносных ящиках для голосования	560	15	42	23	94	27	0	27	53	23	34	51	8	7	18	13	52	10	28	22	13					
8	Число бюллетеней в стационарных ящиках для голосования	6546	476	420	211	523	334	160	169	1004	575	292	449	106	163	186	118	391	566	175	82	146					
9	Число недействительных бюллетеней	142	10	4	6	18	8	0	6	0	13	12	12	0	9	7	1	7	15	3	3	8					
10	Число действительных бюллетеней	6964	481	458	228	599	353	160	190	1057	585	314	488	114	161	197	130	436	561	200	101	151					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	149	10	9	5	14	8	3	5	26	10	5	9	2	3	5	3	8	13	5	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	25	0	0	0	3	3	0	0	5	1	1	0	0	0	0	0	4	7	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	27	4	2	0	1	0	0	1	1	3	3	0	0	2	1	0	2	1	2	2	2					
14	Число погашенных открепительных удостоверений	124	10	9	5	11	5	3	5	21	9	4	9	2	3	5	3	4	6	4	3	3					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
18	"1. ""ЕДИНЕНИЕ"""	130	10	4	3	12	6	3	9	15	11	10	7	0	5	5	6	3	16	1	0	4					
		1.82%	2.03%	0.86%	1.28%	1.94%	1.66%	1.87%	4.59%	1.41%	1.83%	3.06%	1.4%	0.0%	2.94%	2.45%	4.58%	0.67%	2.77%	0.49%	0.0%	2.51%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	192	7	3	2	4	5	0	4	47	16	3	23	6	4	3	15	11	23	10	2	4					
		2.70%	1.42%	0.64%	0.85%	0.64%	1.38%	0.0%	2.04%	4.44%	2.67%	0.92%	4.6%	5.26%	2.35%	1.47%	11.45%	2.48%	3.99%	4.92%	1.92%	2.51%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	147	17	4	6	15	1	2	5	25	6	3	9	5	6	1	3	10	13	6	4	6					
