Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Анучинская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11572	696	805	754	720	350	400	270	144	236	198	459	90	310	137	142	615	249	221	282	155	229	820	627	729	448	646	312	528									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11645	690	805	755	725	350	395	275	140	240	195	460	90	305	135	140	610	240	215	285	155	230	825	630	790	455	670	310	530									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	133	0	0	0	0	0	13	24	0	0	16	0	0	0	15	0	0	0	0	0	0	0	0	0	0	38	27	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4624	252	332	292	281	143	137	77	78	101	82	195	41	120	55	67	227	115	90	152	54	91	260	213	490	149	209	87	234									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	224	2	12	7	6	1	11	0	11	10	3	10	3	10	3	3	11	5	3	5	5	10	29	24	4	7	12	6	11									
6	Число погашенных избирательных бюллетеней	6664	436	461	456	438	206	234	174	51	129	94	255	46	175	62	70	372	120	122	128	96	129	536	393	296	261	422	217	285									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	357	2	12	7	6	1	24	24	11	10	19	10	3	10	18	3	11	5	3	5	5	10	29	24	4	45	39	6	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4624	252	332	292	281	143	137	77	78	101	82	195	41	120	55	67	227	115	90	152	54	91	260	213	490	149	209	87	234									
9	Число недействительных избирательных бюллетеней	194	14	13	16	14	6	4	4	2	11	1	8	2	6	0	4	8	1	3	10	0	7	16	8	5	7	14	6	4									
10	Число действительных избирательных бюллетеней	4787	240	331	283	273	138	157	97	87	100	100	197	42	124	73	66	230	119	90	147	59	94	273	229	489	187	234	87	241									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	410	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	20	10	10	10	10	10	30	30	50	10	30	10	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	148	5	10	5	5	5	3	8	3	3	0	0	0	0	0	1	4	2	0	8	0	6	10	5	23	10	30	0	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	106	4	5	3	1	3	4	3	7	4	2	2	0	3	4	4	4	4	5	4	1	2	4	8	16	2	5	0	2									
14	Число погашенных неиспользованных открепительных удостоверений	262	5	0	5	5	5	7	2	7	7	10	20	10	10	10	9	16	8	10	2	10	4	20	25	27	0	0	10	18									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	25	2	4	1	2	0	2	0	0	1	0	6	0	0	0	1	2	0	0	0	0	0	0	2	1	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	69	11	5	5	3	2	0	1	1	2	1	6	1	1	1	2	4	0	0	1	2	1	1	2	7	1	4	0	4									
		1.39%	4.33%	1.45%	1.67%	1.05%	1.39%	0.00%	0.99%	1.12%	1.80%	0.99%	2.93%	2.27%	0.77%	1.37%	2.86%	1.68%	0.00%	0.00%	0.64%	3.39%	0.99%	0.35%	0.84%	1.42%	0.52%	1.61%	0.00%	1.63%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	234	8	15	17	9	9	14	6	0	2	10	8	3	8	0	4	16	6	9	12	5	2	10	9	13	7	13	9	10									
		4.70%	3.15%	4.36%	5.69%	3.14%	6.25%	8.70%	5.94%	0.00%	1.80%	9.90%	3.90%	6.82%	6.15%	0.00%	5.71%	6.72%	5.00%	9.68%	7.64%	8.47%	1.98%	3.46%	3.80%	2.63%	3.61%	5.24%	9.68%	4.08%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	191	13	14	11	10	11	5	7	6	3	5	6	0	4	3	0	14	8	8	9	1	5	9	10	9	8	3	1	8									
		3.83%	5.12%	4.07%	3.68%	3.48%	7.64%	3.11%	6.93%	6.74%	2.70%	4.95%	2.93%	0.00%	3.08%	4.11%	0.00%	5.88%	6.67%	8.60%	5.73%	1.69%	4.95%	3.11%	4.22%	1.82%	4.12%	1.21%	1.08%	3.27%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2049	75	125	105	116	55	70	32	52	48	35	102	17	56	33	26	98	36	35	55	28	48	96	89	293	86	97	30	111									
		41.14%	29.53%	36.34%	35.12%	40.42%	38.19%	43.48%	31.68%	58.43%	43.24%	34.65%	49.76%	38.64%	43.08%	45.21%	37.14%	41.18%	30.00%	37.63%	35.03%	47.46%	47.52%	33.22%	37.55%	59.31%	44.33%	39.11%	32.26%	45.31%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	35	2	4	1	1	2	1	0	1	0	0	4	0	1	0	0	3	1	0	0	1	1	2	0	3	2	0	2	3									
		0.70%	0.79%	1.16%	0.33%	0.35%	1.39%	0.62%	0.00%	1.12%	0.00%	0.00%	1.95%	0.00%	0.77%	0.00%	0.00%	1.26%	0.83%	0.00%	0.00%	1.69%	0.99%	0.69%	0.00%	0.61%	1.03%	0.00%	2.15%	1.22%									
24	"6. Политическая партия ""Гражданская Платформа"""	20	0	1	1	1	0	2	2	0	0	0	2	0	1	0	0	1	0	0	0	0	0	3	2	1	2	0	1	0									
		0.40%	0.00%	0.29%	0.33%	0.35%	0.00%	1.24%	1.98%	0.00%	0.00%	0.00%	0.98%	0.00%	0.77%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	1.04%	0.84%	0.20%	1.03%	0.00%	1.08%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1080	61	74	62	57	30	29	27	11	20	20	30	8	17	25	13	50	29	21	31	10	26	93	62	95	38	65	24	52									
		21.68%	24.02%	21.51%	20.74%	19.86%	20.83%	18.01%	26.73%	12.36%	18.02%	19.80%	14.63%	18.18%	13.08%	34.25%	18.57%	21.01%	24.17%	22.58%	19.75%	16.95%	25.74%	32.18%	26.16%	19.23%	19.59%	26.21%	25.81%	21.22%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	20	0	1	0	0	0	1	1	0	0	1	1	1	1	0	2	2	1	0	1	0	0	0	1	5	0	0	0	1									
		0.40%	0.00%	0.29%	0.00%	0.00%	0.00%	0.62%	0.99%	0.00%	0.00%	0.99%	0.49%	2.27%	0.77%	0.00%	2.86%	0.84%	0.83%	0.00%	0.64%	0.00%	0.00%	0.00%	0.42%	1.01%	0.00%	0.00%	0.00%	0.41%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	39	5	4	5	4	4	0	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0	3	2	3	0	2	0	2									
		0.78%	1.97%	1.16%	1.67%	1.39%	2.78%	0.00%	1.98%	0.00%	0.90%	0.00%	0.49%	0.00%	0.00%	1.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.04%	0.84%	0.61%	0.00%	0.81%	0.00%	0.82%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	13	1	0	0	0	1	1	1	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0	2	1	0	1	0	0									
		0.26%	0.39%	0.00%	0.00%	0.00%	0.69%	0.62%	0.99%	0.00%	0.90%	0.00%	0.00%	0.00%	0.77%	1.37%	0.00%	0.42%	0.00%	0.00%	0.00%	1.69%	0.00%	0.00%	0.84%	0.20%	0.00%	0.40%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	38	4	0	3	2	0	3	2	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	3	10	2	0	0	5									
		0.76%	1.57%	0.00%	1.00%	0.70%	0.00%	1.86%	1.98%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	1.43%	0.00%	0.83%	0.00%	0.00%	0.00%	0.00%	0.35%	1.27%	2.02%	1.03%	0.00%	0.00%	2.04%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	786	49	70	56	60	19	22	15	12	17	24	26	8	25	7	12	29	31	14	35	10	11	41	42	34	30	36	17	34									
