Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																				
Дата голосования: 02.12.2007																																																																																				
																																																																																				
"Наименование Избирательной комиссии:    Астрахань, Ленинская"																																																																																				
																																																																																				
Сводная таблица результатов выборов																																																																																				
																																																																																				
		Сумма	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548					
1	"Число избирателей, внесенных в списки избирателей"	110746	2105	1876	1177	1235	1826	1001	1721	1121	2251	1702	1990	1823	1395	1298	1576	796	1848	1176	1285	1543	1585	1822	1390	1511	1481	1475	1167	1581	2173	783	1427	1692	923	1557	1660	1273	1037	1190	1099	1714	1105	1260	1580	1063	1314	1283	1819	1550	1086	1350	1139	1098	1221	1972	1632	890	984	1706	1120	1483	1561	1973	1773	1080	1786	1847	1187	1430	2372	1200	1373	1033	1413	1614	1585	1382	197					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	96250	2000	1500	1000	1000	1500	1000	1500	1000	2000	1500	1800	1800	1200	1200	1500	700	1600	2000	1200	1200	1200	1500	1200	1200	1200	1200	1000	1200	2000	700	1200	1200	800	1200	1500	1000	1000	1000	1000	1500	1000	1000	1500	1000	1000	1000	1500	1500	1000	1200	1000	1000	1000	1500	1400	700	900	1500	1000	1500	1200	1500	1500	1000	1500	1500	1000	1050	2000	1000	1200	800	1200	1500	1200	1400	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	62779	1177	877	540	662	793	596	1129	525	1426	985	1214	1187	928	795	923	414	810	1074	661	821	800	897	625	726	739	651	540	693	1069	360	840	955	652	903	948	697	623	710	745	912	467	672	872	620	859	769	876	1010	643	852	737	598	807	1396	1125	606	628	1141	724	708	920	1060	1155	611	1016	936	736	951	1140	660	896	491	797	924	692	879	183					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3378	21	19	40	38	48	15	18	31	16	19	24	12	33	20	9	33	35	102	37	39	44	42	39	17	42	25	61	81	36	16	27	168	23	18	32	18	26	35	24	38	36	25	17	25	34	27	44	40	31	37	43	9	33	20	20	12	33	73	17	108	45	34	77	29	47	37	29	32	61	13	19	175	30	55	121	469	0					
6	Число погашенных избирательных бюллетеней	30093	802	604	420	300	659	389	353	444	558	496	562	601	239	385	568	253	755	824	502	340	356	561	536	457	419	524	399	426	895	324	333	77	125	279	520	285	351	255	231	550	497	303	611	355	107	204	580	450	326	311	220	393	160	84	255	82	239	286	259	684	235	406	268	360	437	527	235	67	799	327	285	134	373	521	387	52	317					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3377	21	19	40	38	48	15	18	31	16	19	24	12	33	20	9	33	35	102	37	39	44	42	39	17	42	25	61	81	36	16	27	168	22	18	32	18	26	35	24	38	36	25	17	25	34	27	44	40	31	37	43	9	33	20	20	12	33	73	17	108	45	34	77	29	47	37	29	32	61	13	19	175	30	55	121	469	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	62714	1177	877	540	662	793	596	1129	525	1426	985	1214	1187	928	795	923	413	810	1074	661	821	799	897	624	726	739	651	539	692	1068	360	840	954	651	903	947	697	623	710	745	912	467	672	872	620	859	769	876	1008	643	814	737	589	807	1395	1125	606	628	1141	723	708	920	1060	1154	611	1015	936	736	951	1140	659	896	491	797	924	692	877	183					
9	Число недействительных избирательных бюллетеней	766	12	17	4	8	8	9	10	5	21	26	8	7	15	10	15	8	14	17	6	1	8	13	10	10	12	8	5	8	13	3	9	14	8	10	0	11	4	9	12	7	9	11	4	9	3	7	9	13	4	1	14	11	12	19	14	7	14	9	13	8	14	15	5	6	17	13	3	9	15	8	10	5	13	19	6	21	1					
10	Число действительных избирательных бюллетеней	65325	1186	879	576	692	833	602	1137	551	1421	978	1230	1192	946	805	917	438	831	1159	692	859	835	926	653	733	769	668	595	765	1091	373	858	1108	665	911	979	704	645	736	757	943	494	686	885	636	890	789	911	1035	670	850	766	587	828	1396	1131	611	647	1205	727	808	951	1079	1226	634	1045	960	762	974	1186	664	905	661	814	960	807	1325	182					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2695	59	55	25	25	35	35	65	30	85	52	60	60	45	45	40	35	30	25	25	20	35	45	25	35	20	30	30	25	35	25	25	45	35	55	30	40	35	35	40	45	25	25	35	35	30	25	25	45	40	35	35	30	25	35	15	25	25	30	35	25	40	45	45	20	45	49	35	40	35	30	45	25	30	35	35	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2507	59	49	19	22	35	33	62	15	84	50	59	52	35	36	35	13	30	25	25	20	34	35	25	35	18	30	30	24	35	22	25	38	35	55	29	37	35	34	38	45	15	24	35	35	28	25	25	42	38	34	28	26	23	35	11	21	25	30	35	22	35	45	45	20	44	48	34	32	35	28	45	25	27	35	35	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	3389	6	25	41	59	26	5	23	14	66	38	54	31	47	17	17	15	10	11	15	27	75	26	21	25	28	20	18	36	59	15	12	28	25	19	53	19	24	9	41	11	20	29	14	12	36	29	16	20	12	28	13	34	29	211	497	35	36	47	20	13	51	24	42	16	39	45	52	69	32	182	25	31	128	34	126	203	28					
