Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																					
Дата голосования: 02.12.2007																																																					
																																																					
Наименование Избирательной комиссии:    Кингисеппская																																																					
																																																					
Сводная таблица результатов выборов																																																					
																																																					
		Сумма	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532					
1	"Число избирателей, внесенных в списки избирателей"	68313	1935	1804	2177	1846	1327	449	1840	1871	1957	2021	2126	2010	1882	2111	2046	2052	2163	2087	1948	2048	2060	2254	1204	873	668	1017	315	1317	250	48	166	903	1885	1460	441	1767	738	944	1840	367	283	296	2651	2546	1557	2763					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	57040	1600	1500	1800	1600	1304	400	1500	1600	1600	1700	1811	1700	1594	2000	1700	1700	1800	1700	1800	1730	1730	1800	900	700	500	800	250	1050	150	40	120	700	1800	1090	400	1400	670	800	1500	340	220	250	2100	2091	1400	2100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	32637	750	923	962	892	567	146	928	952	1020	927	1140	958	925	1000	1121	1002	988	1016	818	1091	994	1176	590	494	287	485	211	566	108	39	67	413	891	661	221	789	182	423	909	102	120	91	1297	1208	823	1364					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1779	90	26	26	34	40	13	17	23	32	33	17	18	13	109	14	13	16	11	12	9	13	8	4	13	30	73	20	68	25	1	18	65	115	18	65	57	195	111	61	62	40	57	29	35	11	19					
6	Число погашенных избирательных бюллетеней	22624	760	551	812	674	697	241	555	625	548	740	654	724	656	891	565	685	796	673	970	630	723	616	306	193	183	242	19	416	17	0	35	222	794	411	114	554	293	266	530	176	60	102	774	848	566	717					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1779	90	26	26	34	40	13	17	23	32	33	17	18	13	109	14	13	16	11	12	9	13	8	4	13	30	73	20	68	25	1	18	65	115	18	65	57	195	111	61	62	40	57	29	35	11	19					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	32599	750	922	946	890	567	146	928	952	1011	927	1139	958	924	998	1121	1002	988	1016	818	1089	994	1176	590	494	287	485	211	566	108	39	67	413	891	661	221	789	182	423	909	102	120	91	1296	1208	822	1362					
9	Число недействительных избирательных бюллетеней	274	4	12	4	5	5	3	13	3	9	6	12	9	4	4	16	8	5	6	1	8	4	6	4	4	1	0	1	4	0	0	1	2	11	21	2	10	1	3	5	0	1	1	20	14	3	18					
10	Число действительных избирательных бюллетеней	34104	836	936	968	919	602	156	932	972	1034	954	1144	967	933	1103	1119	1007	999	1021	829	1090	1003	1178	590	503	316	558	230	630	133	40	84	476	995	658	284	836	376	531	965	164	159	147	1305	1229	830	1363					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1211	28	33	40	34	23	7	34	34	36	37	39	37	35	37	38	38	39	38	36	38	38	41	22	15	11	18	3	18	3	0	7	16	32	25	7	32	12	16	28	6	5	5	49	46	25	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	520	6	4	20	14	9	1	14	15	18	12	13	6	12	18	10	13	8	16	11	16	13	21	11	10	3	6	3	16	0	0	6	4	13	7	4	10	2	13	21	5	5	0	49	22	22	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	385	8	6	7	6	10	5	4	10	16	2	4	9	7	8	16	5	7	8	6	7	7	11	6	5	7	5	8	9	11	2	14	7	28	18	10	11	7	7	7	4	5	3	10	16	5	11					
14	Число погашенных неиспользованных открепительных удостоверений	690	22	29	19	20	14	6	20	19	18	25	26	31	23	19	28	25	31	22	25	22	25	20	11	5	8	12	0	2	3	0	1	12	19	18	3	22	10	3	7	1	0	5	0	24	3	32					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	47	0	1	1	3	1	0	0	0	0	0	0	1	0	1	4	2	4	6	3	4	5	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	4	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
