Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																		
Дата голосования: 04.12.2011																																																		
																																																		
Наименование Избирательной комиссии:    Волжская																																																		
																																																		
Сводная таблица результатов выборов																																																		
																																																		
		Сумма	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187					
1	"Число избирателей, внесенных в список избирателей"	59861	1615	1841	1699	335	2155	1537	1602	1250	907	1196	757	1869	1729	698	306	2499	604	425	733	1417	380	707	425	2193	1180	291	251	801	2298	2271	2444	3016	2562	2579	2312	1919	2066	995	1616	2031	279	1646	425					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	58060	1600	1800	1700	330	2000	1500	1600	1200	900	1200	750	1900	1600	670	300	2400	550	400	700	1400	350	700	400	2000	1000	300	250	800	2000	2500	2400	2700	2500	2600	2300	1900	2000	950	1600	2000	260	1650	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	28175	678	875	683	160	906	686	717	403	273	451	144	760	937	361	147	1448	420	266	357	630	215	426	196	1080	690	132	152	367	1117	1270	1100	2320	921	935	851	791	756	650	1049	893	130	639	193					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1592	22	52	25	5	21	30	25	27	18	31	40	48	66	43	6	105	7	8	27	23	34	17	17	45	47	15	5	57	9	59	8	119	82	40	43	14	40	39	108	42	37	69	17					
6	Число погашенных избирательных бюллетеней	28292	900	873	992	165	1073	784	858	770	609	718	566	1092	597	266	147	847	123	126	316	746	101	257	187	875	263	153	93	376	874	1171	1292	261	1497	1625	1406	1095	1204	261	443	1065	93	942	190					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1592	22	52	25	5	21	30	25	27	18	31	40	48	66	43	6	105	7	8	27	23	34	17	17	45	47	15	5	57	9	59	8	119	82	40	43	14	40	39	108	42	37	69	17					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	28174	678	875	683	160	906	686	717	403	273	451	144	760	937	361	147	1448	420	266	357	630	215	426	196	1079	690	132	152	367	1117	1270	1100	2320	921	935	851	791	756	650	1049	893	130	639	193					
9	Число недействительных избирательных бюллетеней	662	17	28	18	5	30	26	16	13	5	13	2	9	18	16	3	33	10	2	8	19	9	9	6	15	16	11	1	8	37	6	22	28	36	23	30	19	22	13	12	26	2	11	9					
10	Число действительных избирательных бюллетеней	29104	683	899	690	160	897	690	726	417	286	469	182	799	985	388	150	1520	417	272	376	634	240	434	207	1109	721	136	156	416	1089	1323	1086	2411	967	952	864	786	774	676	1145	909	165	697	201					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	766	20	20	25	5	25	20	20	15	13	25	19	20	20	5	5	25	5	5	10	15	5	14	5	25	10	5	5	10	30	30	45	30	30	30	30	25	25	10	30	25	5	20	5					
