Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																								
Дата голосования: 04.12.2011																																																								
																																																								
Наименование Избирательной комиссии:    Павловская																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
		Сумма	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749					
1	"Число избирателей, внесенных в список избирателей"	44458	1447	1514	1243	919	1104	2080	1493	1280	2207	362	1357	2427	1354	1574	518	313	1050	1032	872	980	1048	780	343	1516	677	508	1153	269	123	619	546	837	961	878	895	436	311	568	257	1391	429	297	679	293	1098	406	488	924	602					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	44270	1400	1500	1200	900	1100	2050	1300	1250	2200	370	1350	2350	1350	1600	530	340	1080	1050	880	1000	1050	800	340	1550	690	500	1150	290	120	620	550	860	950	890	900	430	310	570	250	1400	430	300	690	290	1130	400	480	900	630					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	26103	859	884	657	578	619	1231	762	808	1420	277	868	1480	790	920	304	170	567	516	437	527	481	424	249	894	336	338	727	153	58	391	293	354	637	589	623	260	191	247	140	764	237	184	442	193	746	254	273	571	380					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	5651	85	88	97	132	104	121	294	25	59	15	29	65	156	228	83	81	232	197	256	139	238	192	26	193	209	76	189	83	24	79	125	126	100	96	102	80	37	158	93	210	112	74	108	70	160	38	32	19	116					
6	Число погашенных избирательных бюллетеней	12516	456	528	446	190	377	698	244	417	721	78	453	805	404	452	143	89	281	337	187	334	331	184	65	463	145	86	234	54	38	150	132	380	213	205	175	90	82	165	17	426	81	42	140	27	224	108	175	310	134					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5650	85	88	97	132	104	121	294	25	59	15	29	65	156	228	83	81	232	197	256	139	237	192	26	193	209	76	189	83	24	79	125	126	100	96	102	80	37	158	93	210	112	74	108	70	160	38	32	19	116					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	26096	859	884	655	578	618	1231	762	808	1420	277	868	1480	790	920	304	170	567	516	437	527	478	424	249	894	336	338	727	153	58	391	293	354	637	589	623	260	191	247	140	764	236	184	442	193	746	254	273	571	380					
9	Число недействительных избирательных бюллетеней	488	22	11	15	13	15	32	7	23	24	10	22	34	12	22	5	0	15	10	8	11	13	5	6	13	3	5	6	4	3	11	4	5	14	3	7	4	1	3	1	12	9	2	9	3	7	1	8	7	8					
10	Число действительных избирательных бюллетеней	31258	922	961	737	697	707	1320	1049	810	1455	282	875	1511	934	1126	382	251	784	703	685	655	702	611	269	1074	542	409	910	232	79	459	414	475	723	682	718	336	227	402	232	962	339	256	541	260	899	291	297	583	488					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	681	10	10	20	10	15	20	15	25	21	10	16	35	15	33	28	25	18	14	3	28	12	19	3	35	9	8	15	23	3	9	6	11	16	8	13	3	3	3	3	32	10	3	5	3	15	17	5	8	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	621	10	10	16	5	13	18	15	17	21	10	13	29	15	33	28	25	18	14	3	28	12	17	3	35	9	8	15	23	0	6	6	7	16	7	13	0	1	0	2	32	10	1	5	0	15	16	4	7	10					
