Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																
Дата голосования: 04.12.2011																																																
																																																
Наименование Избирательной комиссии:    Ленинск-Кузнецкая																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195					
1	"Число избирателей, внесенных в список избирателей"	19799	798	283	663	320	1001	374	219	592	148	600	126	1029	278	341	1212	1081	613	188	218	924	244	161	555	194	613	134	292	638	334	270	945	112	1166	482	1100	207	502	164	437	110	131					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20500	806	282	683	323	1038	392	223	615	160	616	119	1069	284	337	1272	1130	652	188	227	975	256	162	570	191	631	135	300	661	347	287	999	113	1181	486	1145	216	515	178	465	115	156					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	13408	453	142	335	215	707	234	66	335	136	348	58	855	133	170	862	736	394	157	142	733	178	141	370	151	496	96	146	605	192	237	737	97	616	272	753	157	370	134	272	85	92					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1788	30	27	38	12	71	78	70	66	9	66	34	36	39	67	105	129	62	22	14	42	13	7	23	2	113	25	25	20	30	28	131	0	86	44	105	10	50	12	28	7	12					
6	Число погашенных избирательных бюллетеней	5304	323	113	310	96	260	80	87	214	15	202	27	178	112	100	305	265	196	9	71	200	65	14	177	38	22	14	129	36	125	22	131	16	479	170	287	49	95	32	165	23	52					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1788	30	27	38	12	71	78	70	66	9	66	34	36	39	67	105	129	62	22	14	42	13	7	23	2	113	25	25	20	30	28	131	0	86	44	105	10	50	12	28	7	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13408	453	142	335	215	707	234	66	335	136	348	58	855	133	170	862	736	394	157	142	733	178	141	370	151	496	96	146	605	192	237	737	97	616	272	753	157	370	134	272	85	92					
9	Число недействительных избирательных бюллетеней	287	7	2	2	0	9	0	5	7	7	8	0	11	4	5	7	9	9	3	8	18	3	2	29	0	0	1	5	0	3	10	5	9	18	3	60	2	4	0	10	0	2					
10	Число действительных избирательных бюллетеней	14909	476	167	371	227	769	312	131	394	138	406	92	880	168	232	960	856	447	176	148	757	188	146	364	153	609	120	166	625	219	255	863	88	684	313	798	165	416	146	290	92	102					
