Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Мещанский район																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №3613	УИК №3614									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	36649	3140	2556	2453	1860	2559	2497	2730	2511	2596	2739	2326	2074	2688	2572	893	455									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26200	2000	1800	1800	1300	1800	1700	1900	1800	1800	1900	1700	1500	1900	1800	1000	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13319	836	866	947	700	891	932	1026	959	893	897	859	762	1050	914	496	291									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	775	111	19	20	36	27	40	24	27	136	34	35	28	39	35	0	164									
6	Число погашенных избирательных бюллетеней	12106	1053	915	833	564	882	728	850	814	771	969	806	710	811	851	504	45									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	775	111	19	20	36	27	40	24	27	136	34	35	28	39	35	0	164									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13214	836	865	944	699	890	929	946	956	892	894	859	762	1046	909	496	291									
9	Число недействительных избирательных бюллетеней	213	16	14	14	12	16	13	12	14	13	14	10	11	21	14	13	6									
10	Число действительных избирательных бюллетеней	13776	931	870	950	723	901	956	958	969	1015	914	884	779	1064	930	483	449									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	145	10	10	10	10	10	10	15	10	10	10	10	10	10	10	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	105	9	6	7	10	7	8	12	7	7	5	6	10	3	8	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	657	160	48	17	43	47	75	40	22	69	22	19	17	37	15	4	22									
14	Число погашенных неиспользованных открепительных удостоверений	40	1	4	3	0	3	2	3	3	3	5	4	0	7	2	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	2	2	0	1	3	3	1	3	3	1	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	517	44	30	32	40	30	34	20	35	43	42	31	34	33	43	10	16									
		3.70%	4.65%	3.39%	3.32%	5.44%	3.27%	3.51%	2.06%	3.56%	4.18%	4.53%	3.47%	4.30%	3.04%	4.56%	2.02%	3.52%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	270	16	25	24	6	24	27	16	17	16	14	10	10	18	23	16	8									
		1.93%	1.69%	2.83%	2.49%	0.82%	2.62%	2.79%	1.65%	1.73%	1.56%	1.51%	1.12%	1.27%	1.66%	2.44%	3.23%	1.76%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	426	15	21	34	30	22	20	21	48	30	24	24	27	43	30	17	20									
		3.05%	1.58%	2.38%	3.53%	4.08%	2.40%	2.06%	2.16%	4.88%	2.92%	2.59%	2.68%	3.42%	3.96%	3.18%	3.43%	4.40%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4393	421	251	268	230	270	289	273	284	297	296	240	245	329	301	219	180									
		31.40%	44.46%	28.39%	27.80%	31.29%	29.44%	29.82%	28.14%	28.89%	28.89%	31.90%	26.85%	31.01%	30.32%	31.89%	44.15%	39.56%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	270	14	20	26	9	11	19	28	17	14	19	22	16	22	19	2	12									
		1.93%	1.48%	2.26%	2.70%	1.22%	1.20%	1.96%	2.89%	1.73%	1.36%	2.05%	2.46%	2.03%	2.03%	2.01%	0.40%	2.64%									
24	"6. Политическая партия ""Гражданская Платформа"""	49	5	3	5	4	5	5	4	0	0	3	5	3	2	2	1	2									
		0.35%	0.53%	0.34%	0.52%	0.54%	0.55%	0.52%	0.41%	0.00%	0.00%	0.32%	0.56%	0.38%	0.18%	0.21%	0.20%	0.44%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1384	113	74	90	71	87	84	97	72	72	114	94	53	116	81	96	70									
		9.89%	11.93%	8.37%	9.34%	9.66%	9.49%	8.67%	10.00%	7.32%	7.00%	12.28%	10.51%	6.71%	10.69%	8.58%	19.35%	15.38%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	543	26	53	29	32	41	44	42	39	32	36	45	33	54	28	2	7									
		3.88%	2.75%	5.99%	3.01%	4.35%	4.47%	4.54%	4.33%	3.97%	3.11%	3.88%	5.03%	4.18%	4.98%	2.97%	0.40%	1.54%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	705	39	53	48	46	48	80	65	50	61	44	36	41	43	34	5	12									
