Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    район Царицыно																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №1985	УИК №1986	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991	УИК №1992	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №3734	УИК №3735									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	73273	2416	2610	2370	2488	2533	1710	1773	2014	2090	2009	2443	2320	2185	2368	1994	2053	2130	1551	1928	2413	2296	2483	2051	2294	2362	2435	2372	1766	1625	2656	1948	2536	2223	635	193									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	59500	2000	2000	2000	2000	2000	1500	1500	1500	1500	1500	2000	2000	2000	2000	1500	1500	1600	1200	1500	2000	2000	2000	1500	2000	2000	2000	2000	1500	1200	2000	1500	2000	2000	800	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22900	733	781	834	775	720	494	578	647	628	597	741	660	574	799	781	593	650	547	617	744	750	731	744	700	715	793	743	567	443	649	599	748	580	466	179									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1068	28	25	38	13	25	14	8	18	15	26	24	25	37	21	90	28	35	10	40	35	20	43	19	37	20	27	47	7	16	36	20	36	16	169	0									
6	Число погашенных избирательных бюллетеней	35223	1239	1194	1128	1212	1255	992	605	835	857	877	1235	1315	1389	1180	629	879	915	643	843	1221	1230	1226	737	1263	1265	1180	1210	926	741	1315	881	1216	1404	165	21									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1068	28	25	38	13	25	14	8	18	15	26	24	25	37	21	90	28	35	10	40	35	20	43	19	37	20	27	47	7	16	36	20	36	16	169	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	22776	733	781	831	774	716	494	572	646	628	589	712	660	574	778	781	588	650	547	617	744	750	712	744	700	712	793	743	567	443	649	579	748	576	466	179									
9	Число недействительных избирательных бюллетеней	465	7	11	10	16	15	17	16	17	15	14	13	14	29	12	8	16	10	9	10	15	14	12	13	9	13	16	12	12	13	17	7	14	17	17	5									
10	Число действительных избирательных бюллетеней	23379	754	795	859	771	726	491	564	647	628	601	723	671	582	787	863	600	675	548	647	764	756	743	750	728	719	804	778	562	446	668	592	770	575	618	174									
