Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																														
Дата голосования: 02.12.2007																														
																														
Наименование Избирательной комиссии:    Шигонская																														
																														
Сводная таблица результатов выборов																														
																														
		Сумма	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514					
1	"Число избирателей, внесенных в списки избирателей"	17919	698	288	626	431	1113	682	297	1262	244	1136	403	233	765	559	448	260	1015	755	1832	311	216	2194	2151					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	18000	716	298	633	436	1128	660	300	1210	230	1154	410	240	780	560	448	254	1008	750	1922	290	230	2172	2171					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10449	352	136	327	275	617	492	201	692	169	777	221	156	465	301	275	150	615	510	977	230	140	1224	1147					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1529	59	52	104	84	71	45	27	167	32	108	88	32	106	53	32	36	107	56	42	27	39	82	80					
6	Число погашенных избирательных бюллетеней	6022	305	110	202	77	440	123	72	351	29	269	101	52	209	206	141	68	286	184	903	33	51	866	944					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1529	59	52	104	84	71	45	27	167	32	108	88	32	106	53	32	36	107	56	42	27	39	82	80					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10449	352	136	327	275	617	492	201	692	169	777	221	156	465	301	275	150	615	510	977	230	140	1224	1147					
9	Число недействительных избирательных бюллетеней	147	4	0	5	5	19	4	2	12	2	9	2	3	0	6	3	1	24	8	7	3	3	14	11					
10	Число действительных избирательных бюллетеней	11831	407	188	426	354	669	533	226	847	199	876	307	185	571	348	304	185	698	558	1012	254	176	1292	1216					
