Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																				
Дата голосования: 18.09.2016																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Кстовская																																																																																				
																																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																				
																																																																																				
		Сумма	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	93768	1651	1237	1510	2468	2207	2325	2477	2039	2139	1756	1624	1063	1515	1234	1381	1587	1302	1513	1631	1414	1754	1153	1710	2622	2194	1490	2518	1079	953	2290	1501	1974	361	471	1762	527	1418	465	449	1886	1012	1399	2062	1292	2181	1358	1716	545	695	380	511	305	165	2254	376	305	1887	1801	1492	300	131	401	967	1636	198	622	282	1225	258	183	997	89	2093									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	80357	1400	1100	1350	1900	1950	2100	2200	1800	1900	1550	1500	950	1350	1100	1250	1400	461	1350	1500	1300	1600	1230	1550	2350	2000	1350	2300	405	351	2000	1350	1800	350	400	1550	209	1250	640	400	1700	900	1250	1800	1100	1650	1200	1500	450	600	350	260	136	71	2000	102	80	1650	1600	1350	250	82	350	900	1450	150	600	250	1100	200	150	700	80	1850									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	31307	483	389	433	1323	847	920	870	651	877	647	710	296	539	431	502	496	460	418	573	449	590	478	539	894	901	511	728	391	345	928	513	504	59	144	405	157	374	139	103	587	179	426	471	495	579	402	488	139	247	96	227	106	71	735	91	72	599	607	703	183	40	133	386	483	35	253	51	393	60	53	273	21	606									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1918	78	23	3	12	4	3	10	8	0	5	3	8	15	7	8	7	1	1	14	13	11	5	11	2	4	11	11	14	6	3	5	8	17	1	3	52	18	3	33	3	14	4	0	44	334	33	21	68	31	51	33	30	0	8	11	8	74	46	19	23	42	47	34	76	37	14	24	25	53	25	226	18	1									
6	Число погашенных избирательных бюллетеней	47132	839	688	914	565	1099	1177	1320	1141	1023	898	787	646	796	662	740	897	0	931	913	838	999	747	1000	1454	1095	828	1561	0	0	1069	832	1288	274	255	1142	0	858	498	264	1110	707	820	1329	561	737	765	991	243	322	203	0	0	0	1257	0	0	977	947	628	44	0	170	480	891	78	333	175	682	87	72	201	41	1243									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1917	78	23	3	12	4	3	10	8	0	5	3	8	15	7	8	7	1	1	14	13	11	5	11	2	4	11	11	14	6	3	5	8	17	1	3	52	18	3	33	3	14	4	0	44	334	33	21	68	31	51	32	30	0	8	11	8	74	46	19	23	42	47	34	76	37	14	24	25	53	25	226	18	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	31287	483	389	433	1323	847	920	870	651	877	647	710	296	539	431	502	496	460	418	573	449	590	470	539	894	900	511	728	391	345	928	513	496	59	144	405	157	374	139	103	587	179	426	471	495	579	402	488	139	247	96	227	106	71	732	91	72	599	607	703	183	40	133	386	483	35	253	51	393	60	53	273	21	606									
9	Число недействительных избирательных бюллетеней	806	3	8	12	20	12	10	13	16	7	26	17	11	16	19	19	8	3	16	23	10	16	8	8	20	20	15	16	3	2	19	18	11	0	1	12	0	8	0	3	14	7	19	10	13	68	16	18	9	10	6	2	2	1	12	2	0	18	28	3	3	0	7	12	18	0	8	1	21	2	3	7	0	17									
10	Число действительных избирательных бюллетеней	32398	558	404	424	1315	839	913	867	643	870	626	696	293	538	419	491	495	458	403	564	452	585	467	542	876	884	507	723	402	349	912	500	493	76	144	396	209	384	142	133	576	186	411	461	526	845	419	491	198	268	141	257	134	70	728	100	80	655	625	719	203	82	173	408	541	72	259	74	397	111	75	492	39	590									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1097	15	15	20	50	20	20	20	20	20	20	20	15	15	15	15	20	15	15	20	15	20	15	20	20	27	20	20	15	15	20	20	20	5	5	20	5	20	5	5	20	10	20	15	50	20	15	10	5	10	5	5	5	5	20	5	5	20	20	20	5	5	5	10	20	5	10	5	20	5	5	10	5	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	395	4	3	4	6	11	20	12	8	11	9	6	4	5	7	6	9	7	5	12	5	8	0	5	15	19	8	3	4	4	3	5	6	1	4	7	1	8	0	1	6	4	3	7	23	9	0	5	1	3	5	0	0	0	12	4	0	1	8	10	0	0	2	3	9	0	6	0	1	0	0	8	0	9									
