Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Туруханская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976					
1	"Число избирателей, внесенных в списки"	8755	535	873	685	1066	94	39	177	458	205	19	130	109	28	43	1178	1948	590	102	70	89	33	182	102					
2	"Число бюллетеней, полученных участковыми комиссиями"	8507	531	877	667	995	91	40	175	447	208	20	130	142	28	45	1090	1880	572	98	71	90	34	184	92					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	189	0	73	0	0	0	0	0	34	0	0	0	0	0	0	9	0	0	0	0	0	19	24	30					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4495	332	350	294	590	51	28	107	246	134	13	111	96	24	30	491	938	307	79	55	82	0	95	42					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	249	1	30	7	34	0	0	9	0	7	0	0	0	0	0	105	42	14	0	0	0	0	0	0					
6	Число погашенных бюллетеней	3574	198	424	366	371	40	12	59	167	67	7	19	46	4	15	485	900	251	19	16	8	15	65	20					
7	Число бюллетеней в переносных ящиках для голосования	337	1	30	7	34	0	0	9	34	7	0	0	0	0	0	105	42	14	0	0	0	0	24	30					
8	Число бюллетеней в стационарных ящиках для голосования	4594	332	423	294	590	51	28	107	246	134	13	111	96	24	30	500	936	307	79	55	82	19	95	42					
9	Число недействительных бюллетеней	49	1	9	0	3	0	0	7	2	1	0	0	4	0	0	8	3	4	2	1	0	2	2	0					
10	Число действительных бюллетеней	4882	332	444	301	621	51	28	109	278	140	13	111	92	24	30	597	975	317	77	54	82	17	117	72					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	146	5	10	10	10	3	3	5	6	6	3	5	3	3	5	20	20	15	2	2	3	2	3	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	36	0	2	4	5	0	0	3	1	3	0	0	0	0	0	0	6	9	0	0	3	0	0	0					
