Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																															
Дата голосования: 07.12.2003 0:00:00																																															
																																															
Наименование Избирательной комиссии:    Прокопьевская																																															
																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																															
																																															
		Сумма	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412					
1	"Число избирателей, внесенных в списки"	21162	1101	912	884	212	413	210	324	1186	707	113	957	367	732	357	408	147	394	158	140	518	355	725	498	185	1016	220	326	1078	780	204	466	374	221	914	385	218	659	1199	99	1000					
2	"Число бюллетеней, полученных участковыми комиссиями"	21680	1130	920	900	220	440	210	310	1200	680	120	980	370	700	350	400	160	390	170	150	550	360	720	490	190	1010	220	330	1100	780	200	460	420	220	940	400	230	1070	1100	90	1000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13506	731	469	570	114	186	147	265	769	385	94	464	196	393	149	260	142	289	83	84	382	282	398	376	140	662	147	187	667	545	165	321	352	164	553	248	153	510	759	82	623					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2800	124	135	83	46	183	15	15	112	215	2	246	71	113	61	94	3	24	50	22	55	18	133	22	25	29	57	43	143	46	5	16	22	23	121	27	24	149	70	5	153					
6	Число погашенных бюллетеней	5374	275	316	247	60	71	48	30	319	80	24	270	103	194	140	46	15	77	37	44	113	60	189	92	25	319	16	100	290	189	30	123	46	33	266	125	53	411	271	3	224					
7	Число бюллетеней в переносных ящиках для голосования	2800	124	135	83	46	183	15	15	112	215	2	246	71	113	61	94	3	24	50	22	55	18	133	22	25	29	57	43	143	46	5	16	22	23	121	27	24	149	70	5	153					
8	Число бюллетеней в стационарных ящиках для голосования	13504	731	469	570	114	186	147	265	769	385	94	464	196	393	149	260	142	289	83	84	382	282	398	376	140	662	147	187	667	543	165	321	352	164	553	248	153	510	759	82	623					
9	Число недействительных бюллетеней	135	5	3	25	0	1	1	0	2	1	0	6	2	13	3	1	0	1	1	5	9	1	3	0	0	9	1	3	5	2	0	2	6	0	8	7	1	4	1	0	3					
10	Число действительных бюллетеней	16169	850	601	628	160	368	161	280	879	599	96	704	265	493	207	353	145	312	132	101	428	299	528	398	165	682	203	227	805	587	170	335	368	187	666	268	176	655	828	87	773					
