Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																					
Дата голосования: 07.12.2003 0:00:00																					
																					
Наименование Избирательной комиссии:    Тегульдетская																					
																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																					
																					
		Сумма	УИК №526	УИК №527	УИК №528	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599					
1	"Число избирателей, внесенных в списки"	5929	60	46	34	68	703	1218	1561	811	217	491	164	88	387	81					
2	"Число бюллетеней, полученных участковыми комиссиями"	5731	60	49	35	72	690	1200	1400	800	215	490	165	90	385	80					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3527	45	38	26	50	413	718	905	383	175	299	111	61	246	57					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	348	0	4	0	3	22	65	34	124	12	16	8	6	51	3					
6	Число погашенных бюллетеней	1856	15	7	9	19	255	417	461	293	28	175	46	23	88	20					
7	Число бюллетеней в переносных ящиках для голосования	348	0	4	0	3	22	65	34	124	12	16	8	6	51	3					
8	Число бюллетеней в стационарных ящиках для голосования	3526	45	38	26	50	413	718	905	382	175	299	111	61	246	57					
9	Число недействительных бюллетеней	53	1	0	0	1	3	13	9	7	3	9	3	1	2	1					
10	Число действительных бюллетеней	3821	44	42	26	52	432	770	930	499	184	306	116	66	295	59					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	151	5	6	5	5	20	20	20	20	10	10	10	5	10	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	35	0	6	0	3	2	7	6	6	1	3	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	14	1	1	1	1	0	2	0	0	1	0	2	2	2	1					
14	Число погашенных открепительных удостоверений	116	5	0	5	2	18	13	14	14	9	7	10	5	10	4					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	"1. ""ЕДИНЕНИЕ"""	70	2	0	0	1	5	15	17	8	0	10	0	1	11	0					
		1.80%	4.44%	0.0%	0.0%	1.88%	1.14%	1.91%	1.81%	1.58%	0.0%	3.17%	0.0%	1.49%	3.70%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	70	0	0	0	0	13	14	22	9	1	3	0	6	2	0					
		1.80%	0.0%	0.0%	0.0%	0.0%	2.98%	1.78%	2.34%	1.77%	0.53%	0.95%	0.0%	8.95%	0.67%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	144	1	1	1	2	17	22	25	22	8	13	17	3	10	2					
		3.71%	2.22%	2.38%	3.84%	3.77%	3.90%	2.80%	2.66%	4.34%	4.27%	4.12%	14.28%	4.47%	3.36%	3.33%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	97	0	0	0	0	12	37	20	13	2	6	1	1	5	0					
		2.50%	0.0%	0.0%	0.0%	0.0%	2.75%	4.72%	2.12%	2.56%	1.06%	1.90%	0.84%	1.49%	1.68%	0.0%					
22	"5. ""За Русь Святую"""	13	0	0	0	0	0	4	3	4	0	1	0	0	1	0					
		0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.31%	0.79%	0.0%	0.31%	0.0%	0.0%	0.33%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	18	0	0	0	0	2	6	6	0	0	1	0	0	3	0					
		0.46%	0.0%	0.0%	0.0%	0.0%	0.45%	0.76%	0.63%	0.0%	0.0%	0.31%	0.0%	0.0%	1.01%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	21	0	0	0	0	2	5	12	0	0	1	0	0	1	0					
		0.54%	0.0%	0.0%	0.0%	0.0%	0.45%	0.63%	1.27%	0.0%	0.0%	0.31%	0.0%	0.0%	0.33%	0.0%					
25	"8. ""Народно-республиканская партия России"""	7	1	0	0	1	0	1	0	2	0	0	0	0	2	0					
		0.18%	2.22%	0.0%	0.0%	1.88%	0.0%	0.12%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.67%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	4	0	0	0	0	0	1	1	0	0	1	0	0	1	0					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.10%	0.0%	0.0%	0.31%	0.0%	0.0%	0.33%	0.0%					
27	"10. ""Аграрная партия России"""	105	0	0	0	1	10	20	16	6	29	2	0	0	19	2					
		2.71%	0.0%	0.0%	0.0%	1.88%	2.29%	2.55%	1.70%	1.18%	15.50%	0.63%	0.0%	0.0%	6.39%	3.33%					
28	"11. ""Истинные патриоты России"""	9	0	0	0	0	0	1	3	0	1	1	0	2	1	0					
		0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.31%	0.0%	0.53%	0.31%	0.0%	2.98%	0.33%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	28	0	0	0	1	3	8	3	5	0	3	2	0	3	0					
		0.72%	0.0%	0.0%	0.0%	1.88%	0.68%	1.02%	0.31%	0.98%	0.0%	0.95%	1.68%	0.0%	1.01%	0.0%					
30	"13. ""Демократическая партия России"""	16	0	0	0	0	1	6	5	0	0	1	0	0	3	0					
		0.41%	0.0%	0.0%	0.0%	0.0%	0.22%	0.76%	0.53%	0.0%	0.0%	0.31%	0.0%	0.0%	1.01%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	17	0	0	0	0	4	8	0	2	1	1	1	0	0	0					
		0.43%	0.0%	0.0%	0.0%	0.0%	0.91%	1.02%	0.0%	0.39%	0.53%	0.31%	0.84%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	4	0	0	0	0	0	1	2	1	0	0	0	0	0	0					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.21%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
