Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    район Аэропорт																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №3633	УИК №3634	УИК №3635									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	43150	2782	1460	2406	2239	2352	2348	2899	2336	1944	2363	2451	2459	2060	2053	1439	2246	2167	2407	2447	43	86	163									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30900	1800	1000	1700	1600	1700	1600	2000	1700	1200	1700	1800	1800	1500	1500	1000	1600	1600	1700	1800	100	200	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15347	1085	626	906	682	904	892	970	914	681	787	857	886	691	639	492	852	730	809	885	43	16	0									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	752	41	8	35	41	31	56	30	33	14	19	25	46	23	16	0	22	21	26	32	0	70	163									
6	Число погашенных избирательных бюллетеней	14801	674	366	759	877	765	652	1000	753	505	894	918	868	786	845	508	726	849	865	883	57	114	137									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	752	41	8	35	41	31	56	30	33	14	19	25	46	23	16	0	22	21	26	32	0	70	163									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15327	1083	626	904	682	903	892	970	914	680	787	852	885	690	638	492	850	727	809	884	43	16	0									
9	Число недействительных избирательных бюллетеней	238	11	6	13	10	11	8	15	14	15	13	10	13	10	19	7	13	11	19	16	0	1	3									
10	Число действительных избирательных бюллетеней	15841	1113	628	926	713	923	940	985	933	679	793	867	918	703	635	485	859	737	816	900	43	85	160									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	370	30	20	10	20	25	10	20	30	15	20	30	20	20	20	10	15	20	15	20	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	279	17	17	7	14	23	10	17	23	7	13	19	14	19	17	9	10	15	11	17	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	684	210	54	66	14	23	29	23	62	58	15	14	19	20	15	11	18	11	8	12	2	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	91	13	3	3	6	2	0	3	7	8	7	11	6	1	3	1	5	5	4	3	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	43	8	1	5	2	1	4	3	0	5	0	4	3	2	1	1	1	1	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	642	40	30	31	34	36	30	45	46	15	31	41	48	31	28	12	39	29	37	36	0	1	2									
		3.99%	3.56%	4.73%	3.30%	4.70%	3.85%	3.16%	4.50%	4.86%	2.16%	3.85%	4.68%	5.16%	4.35%	4.28%	2.44%	4.47%	3.88%	4.43%	3.93%	0.00%	1.16%	1.23%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	274	13	14	19	14	20	12	15	22	15	15	14	13	13	11	4	17	8	11	16	2	1	5									
		1.70%	1.16%	2.21%	2.02%	1.94%	2.14%	1.27%	1.50%	2.32%	2.16%	1.86%	1.60%	1.40%	1.82%	1.68%	0.81%	1.95%	1.07%	1.32%	1.75%	4.65%	1.16%	3.07%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	409	22	9	23	20	37	7	25	27	17	23	21	24	24	15	14	16	26	20	22	3	4	10									
		2.54%	1.96%	1.42%	2.45%	2.77%	3.96%	0.74%	2.50%	2.85%	2.45%	2.85%	2.39%	2.58%	3.37%	2.29%	2.85%	1.83%	3.48%	2.40%	2.40%	6.98%	4.65%	6.13%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4726	343	184	250	218	214	284	286	275	242	253	285	234	222	210	121	222	231	259	261	12	44	76									
		29.39%	30.52%	29.02%	26.62%	30.15%	22.91%	29.96%	28.60%	29.04%	34.87%	31.39%	32.50%	25.13%	31.14%	32.11%	24.59%	25.46%	30.88%	31.02%	28.49%	27.91%	51.16%	46.63%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	279	20	11	17	15	17	6	11	17	15	12	20	25	14	15	9	10	10	14	15	0	2	4									
		1.74%	1.78%	1.74%	1.81%	2.07%	1.82%	0.63%	1.10%	1.80%	2.16%	1.49%	2.28%	2.69%	1.96%	2.29%	1.83%	1.15%	1.34%	1.68%	1.64%	0.00%	2.33%	2.45%									
24	"6. Политическая партия ""Гражданская Платформа"""	62	5	3	5	5	4	2	6	4	3	0	3	4	4	0	1	2	2	4	5	0	0	0									
		0.39%	0.44%	0.47%	0.53%	0.69%	0.43%	0.21%	0.60%	0.42%	0.43%	0.00%	0.34%	0.43%	0.56%	0.00%	0.20%	0.23%	0.27%	0.48%	0.55%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1560	150	81	102	53	50	61	90	94	54	84	71	91	92	76	33	71	65	101	85	12	12	32									
		9.70%	13.35%	12.78%	10.86%	7.33%	5.35%	6.43%	9.00%	9.93%	7.78%	10.42%	8.10%	9.77%	12.90%	11.62%	6.71%	8.14%	8.69%	12.10%	9.28%	27.91%	13.95%	19.63%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	554	45	32	27	21	42	42	35	20	24	19	27	41	23	18	40	29	13	33	21	0	1	1									
