Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																			
																																																																			
"Наименование Избирательной комиссии:    г.Ростов-на-Дону, Первомайская "																																																																			
																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																			
																																																																			
		Сумма	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1490	УИК №1491	УИК №1492	УИК №2485					
1	"Число избирателей, внесенных в списки"	119944	2153	2662	2315	2765	1929	1866	1876	2050	2108	1012	2363	1906	2200	2119	1514	1418	1925	2147	2084	1960	1871	1629	2344	2258	1613	2239	2234	2632	1706	1602	2133	2745	2562	2643	1956	1374	2506	2628	1567	2211	1758	1773	1955	1376	1583	1541	1788	1600	1913	1831	2267	922	1237	2119	2347	1672	2725	2009	2164	2539					
2	"Число бюллетеней, полученных участковыми комиссиями"	113210	2026	2534	2176	2649	1851	1795	1797	1953	1902	2006	2293	1740	2130	2031	1415	1249	1766	2001	2032	1939	1687	1520	2248	2161	1547	2092	2155	2494	1586	1523	2047	2598	2437	2430	1852	1283	2291	2519	1465	2104	1632	1646	1667	1293	1456	1425	1696	1539	1810	1709	2091	652	1108	2007	1905	1346	2504	1922	2067	2411					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	60095	1084	1518	1006	1466	842	750	835	890	1152	988	1182	842	986	1036	620	665	926	1002	1051	1038	1104	739	1009	1284	814	931	1284	1508	693	1051	1167	1294	1374	1165	1147	525	1277	1240	658	1165	874	864	1178	710	849	594	774	765	964	985	1140	610	517	1033	1452	1024	1096	1050	972	1336					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3963	12	18	19	42	7	49	116	46	14	24	22	95	96	47	280	109	94	87	47	59	86	72	56	34	13	221	28	30	71	150	46	45	62	44	65	224	69	31	23	35	318	25	40	24	52	59	44	58	52	36	51	12	144	76	84	33	33	52	61	21					
6	Число погашенных бюллетеней	49136	930	998	1151	1141	1002	996	846	1017	736	994	1089	787	1048	948	515	475	746	912	934	842	497	709	1183	843	720	940	843	956	822	322	834	1259	1001	1221	640	534	945	1248	784	904	440	757	449	559	555	772	878	716	794	688	900	30	447	898	369	289	1375	820	1034	1054					
7	Число бюллетеней в переносных ящиках для голосования	3963	12	18	19	42	7	49	116	46	14	24	22	95	96	47	280	109	94	87	47	59	86	72	56	34	13	221	28	30	71	150	46	45	62	44	65	224	69	31	23	35	318	25	40	24	52	59	44	58	52	36	51	12	144	76	84	33	33	52	61	21					
8	Число бюллетеней в стационарных ящиках для голосования	60042	1084	1518	1006	1466	842	749	835	890	1148	987	1182	842	980	1034	620	665	926	1002	1051	1038	1104	739	1009	1284	814	908	1284	1508	693	1051	1167	1294	1374	1165	1147	524	1277	1240	658	1160	874	864	1178	710	848	594	774	765	964	985	1140	610	517	1033	1443	1024	1096	1050	972	1336					
9	Число недействительных бюллетеней	947	9	22	20	23	16	1	15	8	16	20	12	12	9	22	12	13	10	10	0	0	0	0	19	17	14	27	36	27	7	37	37	0	45	50	20	23	20	26	5	30	13	16	11	5	19	6	17	8	16	13	7	21	3	12	17	20	11	12	12	18					
10	Число действительных бюллетеней	63058	1087	1514	1005	1485	833	797	936	928	1146	991	1192	925	1067	1059	888	761	1010	1079	1098	1097	1190	811	1046	1301	813	1102	1276	1511	757	1164	1176	1339	1391	1159	1192	725	1326	1245	676	1165	1179	873	1207	729	881	647	801	815	1000	1008	1184	601	658	1097	1510	1037	1118	1090	1021	1339					
