Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Пушкиногорская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8086	526	620	555	575	425	557	483	548	479	436	278	366	510	325	289	316	270	275	253									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7550	500	600	500	550	400	500	450	500	450	400	250	350	500	300	250	300	250	250	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2377	233	264	193	202	106	179	146	154	84	71	81	87	105	54	94	89	96	78	61									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	809	21	5	9	2	26	27	11	45	89	88	36	37	97	58	29	53	53	63	60									
6	Число погашенных избирательных бюллетеней	4364	246	331	298	346	268	294	293	301	277	241	133	226	298	188	127	158	101	109	129									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	809	21	5	9	2	26	27	11	45	89	88	36	37	97	58	29	53	53	63	60									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2377	233	264	193	202	106	179	146	154	84	71	81	87	105	54	94	89	96	78	61									
9	Число недействительных избирательных бюллетеней	50	3	7	4	5	0	0	4	9	0	3	4	1	4	1	0	3	1	0	1									
10	Число действительных избирательных бюллетеней	3136	251	262	198	199	132	206	153	190	173	156	113	123	198	111	123	139	148	141	120									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	142	6	8	8	8	8	8	8	8	8	8	8	8	6	8	8	4	8	8	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	34	1	2	0	2	0	3	4	4	2	5	0	1	3	1	2	0	3	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	60	5	7	0	3	0	4	4	3	2	6	2	2	1	7	4	4	2	1	3									
14	Число погашенных неиспользованных открепительных удостоверений	108	5	6	8	6	8	5	4	4	6	3	8	7	3	7	6	4	5	8	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	4	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	57	3	2	2	3	0	6	10	3	6	0	2	6	1	2	2	2	2	1	4									
		1.79%	1.18%	0.74%	0.99%	1.47%	0.00%	2.91%	6.37%	1.51%	3.47%	0.00%	1.71%	4.84%	0.50%	1.79%	1.63%	1.41%	1.34%	0.71%	3.31%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	99	8	7	8	3	6	10	3	9	3	4	4	5	8	3	3	2	6	3	4									
		3.11%	3.15%	2.60%	3.96%	1.47%	4.55%	4.85%	1.91%	4.52%	1.73%	2.52%	3.42%	4.03%	3.96%	2.68%	2.44%	1.41%	4.03%	2.13%	3.31%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	69	5	7	3	2	5	3	1	7	5	8	0	1	6	1	2	4	2	6	1									
		2.17%	1.97%	2.60%	1.49%	0.98%	3.79%	1.46%	0.64%	3.52%	2.89%	5.03%	0.00%	0.81%	2.97%	0.89%	1.63%	2.82%	1.34%	4.26%	0.83%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1511	120	116	98	73	66	94	67	99	90	58	62	64	105	48	64	66	81	71	69									
		47.43%	47.24%	43.12%	48.51%	35.78%	50.00%	45.63%	42.68%	49.75%	52.02%	36.48%	52.99%	51.61%	51.98%	42.86%	52.03%	46.48%	54.36%	50.35%	57.02%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	19	1	0	2	1	3	1	1	0	1	2	1	0	1	3	0	0	1	1	0									
		0.60%	0.39%	0.00%	0.99%	0.49%	2.27%	0.49%	0.64%	0.00%	0.58%	1.26%	0.85%	0.00%	0.50%	2.68%	0.00%	0.00%	0.67%	0.71%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	1	0									
		0.22%	0.39%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	1.34%	0.71%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	360	23	26	17	37	14	26	21	9	20	12	14	21	22	11	16	26	18	16	11									
		11.30%	9.06%	9.67%	8.42%	18.14%	10.61%	12.62%	13.38%	4.52%	11.56%	7.55%	11.97%	16.94%	10.89%	9.82%	13.01%	18.31%	12.08%	11.35%	9.09%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	10	1	3	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1									
		0.31%	0.39%	1.12%	0.99%	0.49%	0.00%	0.00%	0.64%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.83%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	24	2	4	1	0	2	2	4	2	2	2	1	0	0	0	0	1	1	0	0									
		0.75%	0.79%	1.49%	0.50%	0.00%	1.52%	0.97%	2.55%	1.01%	1.16%	1.26%	0.85%	0.00%	0.00%	0.00%	0.00%	0.70%	0.67%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0									
		0.13%	0.00%	0.74%	0.00%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	109	7	10	7	7	2	9	6	2	3	6	1	0	7	9	9	10	4	9	1									
		3.42%	2.76%	3.72%	3.47%	3.43%	1.52%	4.37%	3.82%	1.01%	1.73%	3.77%	0.85%	0.00%	3.47%	8.04%	7.32%	7.04%	2.68%	6.38%	0.83%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	582	59	71	40	46	23	38	23	32	27	42	19	18	26	22	17	18	20	22	19									
		18.27%	23.23%	26.39%	19.80%	22.55%	17.42%	18.45%	14.65%	16.08%	15.61%	26.42%	16.24%	14.52%	12.87%	19.64%	13.82%	12.68%	13.42%	15.60%	15.70%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	17	1	2	3	1	0	0	2	1	1	1	0	0	1	0	1	0	1	1	1									
		0.53%	0.39%	0.74%	1.49%	0.49%	0.00%	0.00%	1.27%	0.50%	0.58%	0.63%	0.00%	0.00%	0.50%	0.00%	0.81%	0.00%	0.67%	0.71%	0.83%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	268	20	11	15	25	10	17	14	25	15	20	9	8	20	12	9	10	9	10	9									
		8.41%	7.87%	4.09%	7.43%	12.25%	7.58%	8.25%	8.92%	12.56%	8.67%	12.58%	7.69%	6.45%	9.90%	10.71%	7.32%	7.04%	6.04%	7.09%	7.44%									
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
