Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																										
Дата голосования: 02.12.2007																																																										
																																																										
Наименование Избирательной комиссии:    Москаленская																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045					
1	"Число избирателей, внесенных в списки избирателей"	22381	1377	872	1074	1276	803	648	1248	573	906	88	85	706	162	54	179	63	600	410	289	113	287	363	227	227	116	758	179	539	245	176	596	194	1026	189	116	143	184	166	586	307	128	335	376	173	763	590	26	322	177	146	1195					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	22536	1350	850	1050	1303	820	640	1200	527	927	96	86	720	159	53	186	64	600	404	302	108	281	358	235	226	112	767	188	527	250	173	620	192	1057	211	115	143	213	175	579	320	130	341	378	173	769	608	33	327	179	144	1267					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	16650	794	516	723	869	574	432	825	314	735	88	85	603	128	50	157	54	455	373	219	107	247	297	184	192	92	556	157	438	210	170	445	180	710	174	113	142	166	152	496	277	121	300	159	149	657	460	26	222	129	89	839					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1178	28	39	38	96	59	55	42	91	37	0	0	40	18	3	9	3	44	17	12	1	6	16	8	0	8	52	13	24	0	0	27	0	74	2	0	0	16	12	39	0	0	0	29	0	15	71	0	37	21	27	49					
6	Число погашенных избирательных бюллетеней	4708	528	295	289	338	187	153	333	122	155	8	1	77	13	0	20	7	101	14	71	0	28	45	43	34	12	159	18	65	40	3	148	12	273	35	2	1	31	11	44	43	9	41	190	24	97	77	7	68	29	28	379					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1178	28	39	38	96	59	55	42	91	37	0	0	40	18	3	9	3	44	17	12	1	6	16	8	0	8	52	13	24	0	0	27	0	74	2	0	0	16	12	39	0	0	0	29	0	15	71	0	37	21	27	49					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16649	794	516	722	869	574	432	825	314	735	88	85	603	128	50	157	54	455	373	219	107	247	297	184	192	92	556	157	438	210	170	445	180	710	174	113	142	166	152	496	277	121	300	159	149	657	460	26	222	129	89	839					
9	Число недействительных избирательных бюллетеней	202	9	3	14	12	3	8	7	6	4	0	0	14	1	2	0	0	11	6	0	1	3	1	1	0	1	3	2	5	3	2	0	0	20	0	0	3	3	0	1	0	0	1	9	3	16	3	0	6	0	2	13					
10	Число действительных избирательных бюллетеней	17625	813	552	746	953	630	479	860	399	768	88	85	629	145	51	166	57	488	384	231	107	250	312	191	192	99	605	168	457	207	168	472	180	764	176	113	139	179	164	534	277	121	299	179	146	656	528	26	253	150	114	875					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	645	30	20	24	30	48	15	20	8	30	5	5	10	5	3	2	0	30	20	5	5	5	6	5	5	5	20	5	10	10	5	25	5	30	20	5	5	35	5	10	10	5	10	5	5	10	20	7	12	5	5	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	510	25	16	20	29	42	15	20	8	30	4	1	10	0	0	2	0	30	3	5	0	2	6	5	0	0	20	2	4	3	4	25	1	30	20	1	1	30	2	10	9	1	8	0	1	5	20	4	12	1	3	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	221	11	8	25	14	7	4	10	1	6	1	1	6	1	1	1	1	6	5	1	3	4	10	2	1	1	6	1	8	3	4	3	1	9	2	2	2	1	1	4	2	8	6	1	1	1	4	1	4	1	5	9					
14	Число погашенных неиспользованных открепительных удостоверений	135	5	4	4	1	6	0	0	0	0	1	4	0	5	3	0	0	0	17	0	5	3	0	0	5	5	0	3	6	7	1	0	4	0	0	4	4	5	3	0	1	4	2	5	4	5	0	3	0	4	2	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	105	3	0	0	2	0	0	0	1	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	6	4	0	0	0	68					
