Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																							
Дата голосования: 04.12.2011																																																							
																																																							
Наименование Избирательной комиссии:    Москаленская																																																							
																																																							
Сводная таблица результатов выборов																																																							
																																																							
		Сумма	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032					
1	"Число избирателей, внесенных в список избирателей"	22815	1394	876	1204	1235	729	720	1231	499	975	90	87	709	177	58	175	660	423	283	109	293	371	880	212	201	187	625	214	608	252	167	1063	135	167	203	177	113	544	447	349	156	398	779	660	22	1288	136	350	184					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23150	1400	900	1200	1250	720	670	1270	530	980	98	95	700	175	60	183	650	420	296	114	300	370	860	225	205	191	650	215	600	265	200	1105	139	166	233	196	115	600	440	360	170	380	798	660	27	1300	145	340	184					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	13627	691	457	642	735	387	329	623	279	675	90	84	521	133	56	126	365	262	170	95	200	234	503	144	150	122	306	122	371	183	135	560	130	103	179	177	98	405	276	240	128	157	473	406	22	718	56	184	125					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1170	48	35	23	83	39	118	51	17	18	0	0	36	18	2	8	41	17	11	3	9	17	52	5	3	12	35	12	39	6	0	65	0	9	16	0	10	35	19	13	9	27	38	59	0	38	30	29	15					
6	Число погашенных избирательных бюллетеней	8353	661	408	535	432	294	223	596	234	287	8	11	143	24	2	49	244	141	115	16	91	119	305	76	52	57	309	81	190	76	65	480	9	54	38	19	7	160	145	107	33	196	287	195	5	544	59	127	44					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1170	48	35	23	83	39	118	51	17	18	0	0	36	18	2	8	41	17	11	3	9	17	52	5	3	12	35	12	39	6	0	65	0	9	16	0	10	35	19	13	9	27	38	59	0	38	30	29	15					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13627	691	457	642	735	387	329	623	279	675	90	84	521	133	56	126	365	262	170	95	200	234	503	144	150	122	306	122	371	183	135	560	130	103	179	177	98	405	276	240	128	157	473	406	22	718	56	184	125					
9	Число недействительных избирательных бюллетеней	227	15	8	9	10	11	10	8	3	7	0	0	6	1	0	1	7	4	6	0	1	11	8	2	1	1	1	1	8	3	3	10	0	1	1	3	0	0	4	8	5	18	7	6	0	9	5	3	1					
10	Число действительных избирательных бюллетеней	14570	724	484	656	808	415	437	666	293	686	90	84	551	150	58	133	399	275	175	98	208	240	547	147	152	133	340	133	402	186	132	615	130	111	194	174	108	440	291	245	132	166	504	459	22	747	81	210	139					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	654	24	20	15	15	20	25	45	30	10	5	2	20	5	2	3	15	5	5	3	5	10	15	5	2	5	40	2	5	13	25	45	2	2	30	15	2	45	5	5	12	2	10	15	10	35	5	15	3					
