Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:    Советская																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	50249	1064	391	2049	191	1383	1573	1591	1539	1544	1496	1480	1588	1380	1519	1297	1387	1298	1444	1439	753	825	1289	1363	1337	984	309	2085	1417	588	2659	1248	649	1301	1551	1667	2088	1133	593	757									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	49000	1000	350	2000	150	1350	1550	1550	1550	1450	1450	1450	1600	1350	1500	1250	1400	1300	1400	1400	750	700	1250	1350	1300	950	300	2050	1400	550	2650	1200	600	1300	1550	1650	2050	1100	550	700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15476	362	126	763	51	369	429	464	485	469	520	414	463	400	403	434	358	391	384	384	139	445	333	399	462	322	110	620	342	241	804	574	190	344	432	551	635	311	173	380									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3844	37	57	57	15	49	100	105	58	314	66	177	93	48	131	155	203	58	100	150	53	3	161	90	148	75	18	109	83	22	429	151	55	133	60	62	71	38	64	46									
6	Число погашенных избирательных бюллетеней	29680	601	167	1180	84	932	1021	981	1007	667	864	859	1044	902	966	661	839	851	916	866	558	252	756	861	690	553	172	1321	975	287	1417	475	355	823	1058	1037	1344	751	313	274									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3844	37	57	57	15	49	100	105	58	314	66	177	93	48	131	155	203	58	100	150	53	3	161	90	148	75	18	109	83	22	429	151	55	133	60	62	71	38	64	46									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15466	362	126	763	51	369	429	464	484	466	520	414	463	400	403	434	358	391	384	384	139	442	333	399	459	322	110	620	342	241	804	574	190	344	432	551	635	311	173	380									
9	Число недействительных избирательных бюллетеней	610	42	8	16	3	11	22	14	20	29	13	14	13	12	15	18	20	21	9	12	5	11	22	1	12	7	3	23	17	8	26	21	19	19	27	24	31	5	10	7									
10	Число действительных избирательных бюллетеней	18700	357	175	804	63	407	507	555	522	751	573	577	543	436	519	571	541	428	475	522	187	434	472	488	595	390	125	706	408	255	1207	704	226	458	465	589	675	344	227	419									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	295	10	5	15	2	5	5	5	15	15	5	5	5	5	20	5	5	10	5	5	3	3	5	5	10	5	2	10	10	5	15	10	5	10	10	10	10	10	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	152	2	0	4	1	3	4	4	12	9	4	5	4	3	14	3	5	8	2	2	0	0	5	3	5	4	0	2	2	3	12	2	0	3	5	7	4	3	0	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	75	0	0	1	2	4	3	4	3	4	2	4	3	3	4	1	1	4	4	3	1	1	0	0	1	0	0	2	1	2	5	2	1	1	2	1	1	2	1	1									
