Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
Наименование Избирательной комиссии:    Троицкая																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №2358	УИК №2359									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22281	666	84	210	193	1012	239	485	111	65	211	197	130	451	454	129	1002	510	1239	1615	603	194	972	137	275	369	813	196	435	1306	677	879	111	457	160	187	77	971	191	190	79	184	893	76	144	202	235	133	71	819	151	204	81	104	353	124	106	119									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20450	610	80	190	190	930	220	450	100	70	200	180	90	410	420	120	910	460	1120	1470	550	190	880	130	250	330	760	180	410	1190	620	810	100	410	150	170	70	880	170	180	70	170	830	70	130	200	220	120	70	760	140	190	70	100	330	120	100	110									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9930	357	56	77	126	500	95	257	56	25	98	70	65	165	187	82	361	188	297	589	210	91	366	85	188	144	466	74	133	490	300	314	58	195	78	92	37	437	100	111	39	83	586	48	86	109	101	65	47	430	119	112	58	73	191	75	43	45									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1689	62	8	14	16	62	28	98	7	19	15	17	11	65	49	9	93	42	44	63	61	29	31	8	26	9	44	45	41	71	85	29	6	20	32	26	3	57	8	18	2	5	61	8	5	28	33	15	1	40	17	11	8	12	39	20	5	8									
6	Число погашенных избирательных бюллетеней	8831	191	16	99	48	368	97	95	37	26	87	93	14	180	184	29	456	230	779	818	279	70	483	37	36	177	250	61	236	629	235	467	36	195	40	52	30	386	62	51	29	82	183	14	39	63	86	40	22	290	4	67	4	15	100	25	52	57									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1689	62	8	14	16	62	28	98	7	19	15	17	11	65	49	9	93	42	44	63	61	29	31	8	26	9	44	45	41	71	85	29	6	20	32	26	3	57	8	18	2	5	61	8	5	28	33	15	1	40	17	11	8	12	39	20	5	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9927	357	56	77	126	500	95	257	56	25	98	70	65	165	187	82	361	188	297	589	210	91	366	85	188	144	465	74	133	490	300	313	58	195	78	92	37	437	100	111	39	83	586	48	86	109	101	65	47	430	118	112	58	73	191	75	43	45									
9	Число недействительных избирательных бюллетеней	257	3	0	2	3	12	5	0	1	0	1	4	2	8	6	3	6	5	15	24	9	2	12	1	5	3	10	2	5	8	3	12	6	6	0	4	1	14	4	4	0	6	13	0	1	1	0	0	0	14	2	2	0	0	3	2	1	1									
10	Число действительных избирательных бюллетеней	11359	416	64	89	139	550	118	355	62	44	112	83	74	222	230	88	448	225	326	628	262	118	385	92	209	150	499	117	169	553	382	330	58	209	110	114	39	480	104	125	41	82	634	56	90	136	134	80	48	456	133	121	66	85	227	93	47	52									
