Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Краснинская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667					
1	"Число избирателей, внесенных в списки"	11449	1791	309	179	324	377	707	106	520	177	1953	1138	516	375	333	309	338	278	301	303	414	73	628					
2	"Число бюллетеней, полученных участковыми комиссиями"	11329	1742	298	174	345	378	723	108	519	181	1906	1125	503	367	332	308	337	276	301	305	403	86	612					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6211	1110	107	80	195	143	389	70	316	127	1121	625	171	62	168	202	201	127	161	168	276	59	333					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1573	88	125	28	59	99	89	10	51	15	63	69	145	204	87	34	60	79	92	55	39	7	75					
6	Число погашенных бюллетеней	3545	544	66	66	91	136	245	28	152	39	722	431	187	101	77	72	76	70	48	82	88	20	204					
7	Число бюллетеней в переносных ящиках для голосования	1572	88	125	28	59	99	89	10	51	15	62	69	145	204	87	34	60	79	92	55	39	7	75					
8	Число бюллетеней в стационарных ящиках для голосования	6207	1110	107	80	195	143	389	70	316	127	1121	621	171	62	168	202	201	127	161	168	276	59	333					
9	Число недействительных бюллетеней	240	11	7	5	10	5	22	9	23	11	33	16	6	0	10	8	13	9	8	12	14	0	8					
10	Число действительных бюллетеней	7539	1187	225	103	244	237	456	71	344	131	1150	674	310	266	245	228	248	197	245	211	301	66	400					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	44	9	5	10	10	18	4	14	5	48	28	14	10	9	9	9	8	8	8	11	3	16					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	40	9	1	1	8	0	0	0	0	0	8	10	0	0	1	2	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	35	3	0	0	1	0	4	2	1	0	6	1	4	3	1	1	1	3	2	0	0	0	2					
14	Число погашенных открепительных удостоверений	260	35	8	4	2	10	18	4	14	5	40	18	14	10	8	7	9	8	8	8	11	3	16					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	"1. ""ЕДИНЕНИЕ"""	164	13	10	5	9	6	17	3	11	6	13	16	11	4	6	2	5	4	5	2	1	4	11					
		2.10%	1.08%	4.31%	4.62%	3.54%	2.47%	3.55%	3.75%	2.99%	4.22%	1.09%	2.31%	3.48%	1.50%	2.35%	0.84%	1.91%	1.94%	1.97%	0.89%	0.31%	6.06%	2.69%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	122	19	2	0	3	7	3	2	4	2	22	17	4	1	2	4	5	10	4	3	4	0	4					
