Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																
Дата голосования: 07.12.2003 0:00:00																																																																
																																																																
Наименование Избирательной комиссии:    Апастовская																																																																
																																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																
																																																																
		Сумма	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922					
1	"Число избирателей, внесенных в списки"	16268	905	848	839	631	318	308	153	420	126	343	133	256	222	104	237	202	136	240	230	199	107	191	210	123	174	307	233	234	325	232	181	195	115	111	129	164	200	571	590	299	373	460	245	130	307	292	92	410	135	311	441	217	344	283	125	344	218					
2	"Число бюллетеней, полученных участковыми комиссиями"	16730	920	950	900	700	330	310	155	425	130	350	135	255	230	105	240	205	140	240	230	200	110	195	210	125	180	305	235	240	335	235	185	200	115	120	130	170	200	580	595	305	390	470	250	130	315	305	95	410	140	315	445	220	345	285	130	345	220					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15206	836	763	801	609	296	289	148	385	117	295	131	244	192	95	233	188	134	226	224	188	91	191	205	116	164	291	175	217	287	221	169	179	111	107	115	157	187	547	560	288	366	428	218	117	276	278	63	398	134	310	436	201	340	283	117	275	194					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	953	44	38	35	11	22	19	5	35	9	48	2	10	30	9	4	14	2	14	6	11	16	0	5	7	9	14	58	17	38	11	12	16	4	4	14	7	13	8	30	11	7	32	27	13	31	14	29	12	1	0	5	16	4	0	8	68	24					
6	Число погашенных бюллетеней	571	40	149	64	80	12	2	2	5	4	7	2	1	8	1	3	3	4	0	0	1	3	4	0	2	7	0	2	6	10	3	4	5	0	9	1	6	0	25	5	6	17	10	5	0	8	13	3	0	5	5	4	3	1	2	5	2	2					
7	Число бюллетеней в переносных ящиках для голосования	953	44	38	35	11	22	19	5	35	9	48	2	10	30	9	4	14	2	14	6	11	16	0	5	7	9	14	58	17	38	11	12	16	4	4	14	7	13	8	30	11	7	32	27	13	31	14	29	12	1	0	5	16	4	0	8	68	24					
8	Число бюллетеней в стационарных ящиках для голосования	15205	836	763	801	609	296	289	148	385	117	295	131	244	192	95	233	188	134	226	224	188	91	191	205	116	164	291	175	217	287	221	169	178	111	107	115	157	187	547	560	288	366	428	218	117	276	278	63	398	134	310	436	201	340	283	117	275	194					
9	Число недействительных бюллетеней	206	29	11	29	9	0	1	0	12	0	0	0	16	0	0	0	0	1	5	0	12	0	6	0	0	0	1	1	0	4	0	0	0	0	0	0	0	0	13	17	0	7	5	0	0	0	0	0	9	1	0	5	0	4	7	0	1	0					
10	Число действительных бюллетеней	15952	851	790	807	611	318	307	153	408	126	343	133	238	222	104	237	202	135	235	230	187	107	185	210	123	173	304	232	234	321	232	181	194	115	111	129	164	200	542	573	299	366	455	245	130	307	292	92	401	134	310	436	217	340	276	125	342	218					
