Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																	
Дата голосования: 04.12.2011																																																																	
																																																																	
Наименование Избирательной комиссии:    Рубцовская городская																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896					
1	"Число избирателей, внесенных в список избирателей"	112738	2390	2440	2398	2200	2346	1928	2077	2182	2105	2308	2037	1940	2229	1950	2312	1860	1719	1712	1849	2143	1956	2405	2469	1756	2080	2057	2361	2146	2154	2241	2081	2152	2002	2108	1958	2215	1576	2375	2620	1974	1770	1613	2644	1743	1712	2096	1429	1414	2337	1195	125	103	53	1781	1851	2505	1829	1727					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	110897	2400	2400	2400	2200	2300	1900	2100	2200	2100	2300	2000	1900	2200	1900	2300	1800	1700	1600	1700	2100	2000	2400	2500	1700	2100	2000	2300	2100	2200	2100	2000	2100	2000	2100	1900	2200	1500	2100	2600	1900	1700	1600	2600	1700	1700	2100	1400	1400	2300	1200	132	109	56	1800	1800	2500	1800	1700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	54799	1431	1291	996	931	1116	1136	1092	907	1048	1144	1141	1079	1284	1181	994	1034	839	963	926	1132	895	1148	1353	1026	1162	998	1119	1068	1150	898	1207	1206	1109	1116	899	1166	908	1200	1350	703	633	573	711	702	609	803	676	606	957	708	0	0	0	872	1029	1334	661	579					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2493	32	44	48	27	36	40	75	40	28	26	44	25	42	30	28	54	30	30	25	45	41	42	69	27	71	43	55	52	36	163	26	42	40	25	55	22	22	19	37	14	24	22	24	28	36	37	29	34	81	83	119	75	43	49	72	32	35	20					
6	Число погашенных избирательных бюллетеней	53603	937	1065	1356	1242	1148	724	933	1253	1024	1130	815	796	874	689	1277	712	831	607	749	923	1064	1210	1078	647	866	959	1126	980	1014	1039	767	852	851	959	946	1012	570	881	1213	1183	1043	1005	1865	970	1055	1260	695	760	1262	409	13	34	13	879	699	1134	1104	1101					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2495	32	44	48	27	36	40	75	40	28	26	44	25	42	30	29	54	30	30	25	45	41	42	69	27	71	43	55	53	36	163	26	42	40	25	55	22	22	19	37	14	24	22	24	28	36	37	29	34	81	83	119	75	43	49	72	32	35	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	54725	1431	1290	995	931	1116	1135	1092	907	1047	1144	1141	1078	1280	1181	993	1032	839	963	901	1121	894	1144	1352	1026	1162	998	1119	1066	1150	896	1205	1205	1108	1116	898	1166	908	1200	1350	703	633	572	711	700	607	803	675	606	956	707	0	0	0	872	1029	1333	659	579					
9	Число недействительных избирательных бюллетеней	1016	11	22	19	14	18	27	19	20	17	19	18	10	16	25	33	23	14	12	11	19	13	11	17	14	21	18	21	43	28	31	24	17	15	23	18	13	14	24	20	15	8	9	13	18	5	17	12	8	14	58	3	0	4	8	16	40	8	8					
10	Число действительных избирательных бюллетеней	56204	1452	1312	1024	944	1134	1148	1148	927	1058	1151	1167	1093	1306	1186	989	1063	855	981	915	1147	922	1175	1404	1039	1212	1023	1153	1076	1158	1028	1207	1230	1133	1118	935	1175	916	1195	1367	702	649	585	722	710	638	823	692	632	1023	732	116	75	39	913	1085	1325	686	591					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	915	40	30	20	30	20	20	30	20	20	30	20	20	30	20	20	10	10	10	20	20	10	10	20	10	30	10	10	10	30	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	20	20	10	10	0	0	0	20	20	25	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	692	39	27	20	21	19	19	23	11	19	30	14	19	28	18	20	7	6	8	11	12	9	8	10	9	21	6	6	4	19	6	13	5	10	5	8	10	2	6	8	4	5	5	7	9	10	12	10	12	8	7	0	0	0	15	20	17	8	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	227	2	3	3	3	3	5	5	4	3	8	2	1	7	6	5	9	3	9	4	2	4	2	7	5	8	7	2	6	4	8	4	4	4	7	5	2	1	5	2	0	4	0	0	1	2	1	1	0	6	5	3	3	7	5	7	2	4	2					
14	Число погашенных неиспользованных открепительных удостоверений	223	1	3	0	9	1	1	7	9	1	0	6	1	2	2	0	3	4	2	9	8	1	2	10	1	9	4	4	6	11	4	7	5	0	5	2	0	8	4	2	6	5	5	3	1	0	8	10	8	2	3	0	0	0	5	0	8	2	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	10661	278	261	196	156	204	211	208	141	214	223	232	216	265	245	164	228	178	182	174	207	157	242	284	212	222	204	232	211	246	173	234	276	223	231	201	244	227	201	243	137	155	131	126	121	115	121	122	102	141	50	13	15	3	167	193	290	114	99					
		18.63%	19.00%	19.57%	18.79%	16.28%	17.71%	17.96%	17.82%	14.89%	19.91%	19.06%	19.58%	19.58%	20.05%	20.23%	16.05%	20.99%	20.48%	18.33%	18.79%	17.75%	16.79%	20.40%	19.99%	20.13%	18.00%	19.60%	19.76%	18.86%	20.74%	16.34%	19.01%	22.13%	19.43%	20.25%	21.09%	20.54%	24.41%	16.49%	17.52%	19.11%	23.59%	22.05%	17.14%	16.62%	17.88%	14.40%	17.33%	15.94%	13.60%	6.33%	10.92%	20.00%	6.98%	18.13%	17.53%	21.25%	16.43%	16.53%					
