Выборы Президента Российской Федерации																																																																				
																																																																				
"Наименование Избирательной комиссии:    Астрахань, Кировская"																																																																				
																																																																				
Итоги голосования 																																																																				
																																																																				
		Сумма	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444					
1	"Число избирателей, внесенных в список"	77830	1419	1363	1357	1128	1128	1395	1006	980	536	1531	1174	1131	920	711	1369	1100	958	970	1026	870	992	1127	1109	1580	816	1332	1210	1226	943	1218	1240	1054	1423	1370	1104	1370	1291	2214	1682	1511	1822	1916	1304	1490	1105	1138	1843	2043	1699	1581	1834	1876	1123	1039	160	1809	1232	1502	1319	627	1484					
2	Число полученных избирательных бюллетеней	77651	1140	1350	1400	1090	1135	1470	1035	990	600	1530	1100	990	950	700	1350	1100	691	1100	1050	900	859	1098	1130	1500	830	1330	1165	1270	1045	1330	1320	1000	1440	1370	1100	1420	1330	2200	1690	1490	1840	1930	1200	1500	1140	1130	1850	1910	1690	1620	1860	1920	1110	1040	169	1850	1330	1520	1340	584	1530					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	44427	807	782	884	584	646	659	509	506	526	919	598	551	582	350	801	576	537	538	495	503	647	712	712	989	429	635	597	706	458	529	710	755	856	698	523	824	824	1201	1051	906	1057	1132	832	974	722	650	985	1036	1022	932	1059	1125	589	560	147	1099	735	777	809	283	787					
5	"Число избирательных бюллетеней, выданных вне помещения"	3154	44	15	35	51	43	53	90	54	0	55	143	157	30	59	56	44	121	81	39	48	30	21	46	50	22	64	45	46	19	38	46	25	16	25	30	48	29	34	51	16	56	17	21	25	12	34	52	230	13	22	67	14	17	48	13	85	100	82	52	159	116					
6	Число погашенных избирательных бюллетеней	30070	289	553	481	455	446	758	436	430	74	556	359	282	338	291	493	480	33	481	516	349	182	365	372	461	379	631	523	518	568	763	564	220	568	647	547	548	477	965	588	568	727	781	347	501	406	446	813	644	655	666	734	781	504	432	9	666	495	661	479	142	627					
7	Число избирательных бюллетеней в переносных ящиках	3154	44	15	35	51	43	53	90	54	0	55	143	157	30	59	56	44	121	81	39	48	30	21	46	50	22	64	45	46	19	38	46	25	16	25	30	48	29	34	51	16	56	17	21	25	12	34	52	230	13	22	67	14	17	48	13	85	100	82	52	159	116					
8	Число бюллетеней в стационарных ящиках для голосования	44368	807	782	884	584	646	659	460	506	526	919	597	551	582	350	798	576	537	538	495	503	647	711	712	989	429	635	597	706	458	529	710	755	856	698	523	824	824	1201	1051	904	1057	1132	832	974	722	650	985	1036	1022	932	1059	1125	589	560	147	1099	735	777	806	283	787					
9	Число недействительных избирательных бюллетеней	340	9	6	2	5	4	5	8	8	6	5	9	11	7	4	9	7	8	6	9	0	4	3	4	5	4	5	0	10	3	4	5	2	8	13	7	2	4	10	4	3	7	8	2	6	1	0	11	8	5	0	8	10	1	2	9	3	5	10	9	4	3					
10	Число действительных избирательных бюллетеней	47182	842	791	917	630	685	707	542	552	520	969	731	697	605	405	845	613	650	613	525	551	673	729	754	1034	447	694	642	742	474	563	751	778	864	710	546	870	849	1225	1098	917	1106	1141	851	993	733	684	1026	1258	1030	954	1118	1129	605	606	151	1181	830	849	849	438	900					
11	Число полученных открепительных  удостоверений	2065	50	30	40	30	40	40	30	30	0	40	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	60	30	30	40	30	30	50	40	60	30	30	30	30	40	40	70	50	30	30	10	50	30	30	55	30	30					
12	Число выданных открепительных удостоверений	1146	29	19	21	12	15	25	3	16	0	16	7	6	8	10	15	10	7	16	15	13	8	12	25	27	10	24	9	29	6	7	23	18	23	14	16	45	21	26	30	14	25	33	17	51	17	16	19	18	28	34	53	36	13	12	0	33	24	12	35	7	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1017	19	12	11	12	15	18	11	20	18	17	23	19	13	8	16	23	32	20	15	16	19	18	17	23	9	11	20	34	15	13	17	12	15	16	14	12	11	17	25	16	19	15	14	17	12	18	14	20	26	15	40	15	6	13	14	12	22	16	12	17	8					
14	Число неиспользованных открепительных удостоверений	919	21	11	19	18	25	15	27	14	0	24	23	24	22	20	15	20	23	14	15	17	22	18	5	3	20	6	21	1	24	23	7	12	7	16	14	15	9	4	10	16	5	17	23	9	13	14	11	12	12	6	17	14	17	18	10	17	6	18	20	23	17					
15	"Число открепительных удостоверений, выданных в ТИК"	109	5	0	10	0	0	1	5	0	0	2	0	0	1	0	3	5	0	1	0	0	1	0	0	4	0	0	0	1	3	2	0	2	2	2	2	3	5	3	11	6	0	1	4	2	2	2	3	0	0	1	1	3	0	0	0	5	1	2	1	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																				
18	. Глазьев Сергей Юрьевич	3083	43	62	75	34	46	34	25	42	9	81	48	40	40	25	63	25	25	25	11	35	66	61	53	93	22	67	33	41	27	23	69	62	70	35	14	64	67	69	71	56	75	86	28	72	58	64	80	97	93	67	79	81	29	41	4	67	39	55	62	11	44					
		6.49%	5.05%	7.78%	8.16%	5.35%	6.68%	4.78%	4.55%	7.50%	1.71%	8.32%	6.49%	5.65%	6.54%	6.11%	7.38%	4.03%	3.80%	4.04%	2.06%	6.35%	9.75%	8.33%	6.99%	8.95%	4.88%	9.59%	5.14%	5.45%	5.66%	4.06%	9.13%	7.95%	8.03%	4.84%	2.53%	7.34%	7.85%	5.59%	6.44%	6.09%	6.74%	7.48%	3.28%	7.21%	7.90%	9.36%	7.71%	7.66%	8.99%	7.02%	7.02%	7.11%	4.79%	6.74%	2.50%	5.66%	4.67%	6.40%	7.23%	2.49%	4.87%					
19	. Малышкин Олег Александрович	942	16	14	10	17	20	11	9	16	27	18	14	23	6	7	7	13	8	16	10	8	13	13	6	13	6	17	13	19	13	14	19	10	13	22	15	17	20	26	21	16	40	15	16	17	14	12	26	24	13	17	18	22	13	11	7	26	9	9	15	9	33					
		1.98%	1.88%	1.76%	1.09%	2.68%	2.90%	1.54%	1.64%	2.86%	5.13%	1.85%	1.89%	3.25%	0.98%	1.71%	0.82%	2.10%	1.22%	2.58%	1.87%	1.45%	1.92%	1.78%	0.79%	1.25%	1.33%	2.43%	2.02%	2.53%	2.73%	2.47%	2.51%	1.28%	1.49%	3.04%	2.71%	1.95%	2.34%	2.11%	1.91%	1.74%	3.59%	1.31%	1.88%	1.70%	1.91%	1.75%	2.51%	1.90%	1.26%	1.78%	1.60%	1.93%	2.15%	1.81%	4.38%	2.20%	1.08%	1.05%	1.75%	2.04%	3.65%					
20	. Миронов Сергей Михайлович	328	8	2	15	5	6	5	5	7	4	11	4	7	4	3	11	3	4	5	4	4	3	6	1	3	4	2	4	7	3	9	3	2	9	3	3	2	4	12	10	3	3	7	5	6	7	7	6	11	3	5	7	1	5	8	1	10	6	9	5	2	4					
		0.69%	0.94%	0.25%	1.63%	0.79%	0.87%	0.70%	0.91%	1.25%	0.76%	1.13%	0.54%	0.99%	0.65%	0.73%	1.29%	0.48%	0.61%	0.81%	0.75%	0.73%	0.44%	0.82%	0.13%	0.29%	0.89%	0.29%	0.62%	0.93%	0.63%	1.59%	0.40%	0.26%	1.03%	0.41%	0.54%	0.23%	0.47%	0.97%	0.91%	0.33%	0.27%	0.61%	0.59%	0.60%	0.95%	1.02%	0.58%	0.87%	0.29%	0.52%	0.62%	0.09%	0.83%	1.32%	0.62%	0.84%	0.72%	1.05%	0.58%	0.45%	0.44%					
21	. Путин Владимир Владимирович	31827	575	523	602	423	448	507	391	357	344	608	508	508	383	271	555	441	460	430	374	352	457	446	468	662	324	471	461	505	323	401	476	506	566	465	391	571	563	821	768	640	747	802	584	655	493	438	688	812	675	651	780	767	400	414	118	824	583	539	577	335	600					
		66.97%	67.57%	65.62%	65.51%	66.61%	65.02%	71.21%	71.09%	63.75%	65.40%	62.42%	68.65%	71.75%	62.58%	66.26%	64.99%	71.13%	69.91%	69.47%	70.04%	63.88%	67.50%	60.93%	61.74%	63.72%	71.84%	67.38%	71.81%	67.15%	67.71%	70.72%	62.96%	64.87%	64.91%	64.32%	70.71%	65.48%	66.00%	66.48%	69.69%	69.57%	67.12%	69.80%	68.46%	65.57%	67.17%	64.04%	66.35%	64.14%	65.22%	68.24%	69.27%	67.34%	66.01%	68.09%	73.75%	69.59%	69.82%	62.75%	67.25%	75.79%	66.45%					
22	. Хакамада Ирина Муцуовна	2633	43	40	61	28	46	29	27	30	25	75	40	29	50	30	38	32	38	26	30	46	29	58	72	91	26	29	38	24	25	25	44	45	49	21	36	51	58	72	58	59	51	66	57	76	44	42	47	57	52	44	51	60	33	19	6	58	45	49	44	32	27					
		5.54%	5.05%	5.02%	6.64%	4.41%	6.68%	4.07%	4.91%	5.36%	4.75%	7.70%	5.41%	4.10%	8.17%	7.33%	4.45%	5.16%	5.78%	4.20%	5.62%	8.35%	4.28%	7.92%	9.50%	8.76%	5.76%	4.15%	5.92%	3.19%	5.24%	4.41%	5.82%	5.77%	5.62%	2.90%	6.51%	5.85%	6.80%	5.83%	5.26%	6.41%	4.58%	5.74%	6.68%	7.61%	5.99%	6.14%	4.53%	4.50%	5.02%	4.61%	4.53%	5.27%	5.45%	3.12%	3.75%	4.90%	5.39%	5.70%	5.13%	7.24%	2.99%					
23	. Харитонов Николай Михайлович	5771	109	119	117	85	91	92	61	86	5	127	91	59	94	47	129	62	84	84	71	79	72	111	103	116	49	74	50	105	57	72	98	115	111	121	73	106	73	124	109	97	145	110	97	108	68	84	136	171	132	93	115	118	89	76	8	143	92	150	115	35	158					
		12.14%	12.81%	14.93%	12.73%	13.39%	13.21%	12.92%	11.09%	15.36%	0.95%	13.04%	12.30%	8.33%	15.36%	11.49%	15.11%	10.00%	12.77%	13.57%	13.30%	14.34%	10.64%	15.16%	13.59%	11.16%	10.86%	10.59%	7.79%	13.96%	11.95%	12.70%	12.96%	14.74%	12.73%	16.74%	13.20%	12.16%	8.56%	10.04%	9.89%	10.54%	13.03%	9.57%	11.37%	10.81%	9.26%	12.28%	13.11%	13.51%	12.75%	9.75%	10.21%	10.36%	14.69%	12.50%	5.00%	12.08%	11.02%	17.46%	13.40%	7.92%	17.50%					
																																																																				
24	Против всех	2598	48	31	37	38	28	29	24	14	106	49	26	31	28	22	42	37	31	27	25	27	33	34	51	56	16	34	43	41	26	19	42	38	46	43	14	59	64	101	61	46	45	55	64	59	49	37	43	86	62	77	68	80	36	37	7	53	56	38	31	14	34					
