Выборы Президента Российской Федерации																																																																																																																																									
																																																																																																																																									
Наименование Избирательной комиссии:    Петропавловск-Камчатская городская (судовая)																																																																																																																																									
																																																																																																																																									
Итоги голосования 																																																																																																																																									
																																																																																																																																									
		Сумма	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №189	УИК №190	УИК №194	УИК №195	УИК №196	УИК №197	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №246	УИК №247	УИК №249	УИК №250	УИК №252	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №270	УИК №271	УИК №272	УИК №273	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №290	УИК №291	УИК №292	УИК №294	УИК №300	УИК №301	УИК №302	УИК №304	УИК №306	УИК №307	УИК №311	УИК №312	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337					
1	"Число избирателей, внесенных в список"	5878	63	65	64	68	67	65	81	30	22	20	21	30	32	20	85	15	13	72	19	19	15	89	16	23	24	23	20	20	41	27	26	27	25	27	27	27	27	26	28	28	27	17	17	16	20	18	106	54	41	13	18	88	60	17	92	96	97	26	30	36	50	17	17	20	45	83	97	100	95	96	98	96	96	96	96	96	96	98	98	20	88	79	75	96	97	29	15	15	14	16	62	21	22	30	30	29	16	23	38	84	13	13	5	29	28	30	28	18	33	91	29	30	56	14	22	17	15	49	71	21	23	139	105	138	20	27	33	25	26	15					
2	Число полученных избирательных бюллетеней	6006	68	68	65	68	68	65	81	30	22	20	21	30	32	20	85	15	13	72	19	19	15	89	18	23	24	23	20	20	54	27	27	27	27	27	27	27	27	26	28	28	27	17	17	16	20	18	106	54	44	13	24	88	60	17	95	96	97	26	30	36	50	17	20	22	45	83	98	99	98	98	98	96	98	98	98	98	98	98	98	20	88	79	75	98	97	29	15	15	14	16	65	21	22	30	30	29	24	24	38	84	16	14	5	29	30	30	28	18	35	91	29	32	58	14	22	17	15	57	92	24	23	139	105	138	21	28	35	26	29	17					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5810	63	65	64	67	67	65	81	30	22	20	21	30	32	20	85	15	13	68	19	19	15	83	16	23	24	23	20	20	39	27	26	27	25	27	27	27	27	26	28	28	27	17	17	16	20	18	105	54	41	13	18	78	60	17	92	96	97	25	30	36	48	17	17	20	45	82	97	99	95	96	98	96	96	96	96	96	96	96	96	20	86	73	71	96	97	29	15	15	14	16	62	21	22	28	30	29	16	23	38	84	13	13	5	29	28	30	27	18	33	91	29	30	54	14	22	17	15	49	71	21	23	139	96	129	20	27	33	25	26	15					
5	"Число избирательных бюллетеней, выданных вне помещения"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	196	5	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	6	2	0	0	0	0	0	15	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	6	10	0	0	3	0	0	1	0	0	2	0	3	2	0	1	1	0	3	2	0	0	2	2	2	2	2	2	2	0	2	6	4	2	0	0	0	0	0	0	3	0	0	2	0	0	8	1	0	0	3	1	0	0	2	0	1	0	2	0	0	2	4	0	0	0	0	8	21	3	0	0	9	9	1	1	2	1	3	2					
7	Число избирательных бюллетеней в переносных ящиках	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	5809	63	65	64	67	67	65	81	30	22	20	21	30	32	20	85	15	13	68	19	19	15	83	16	23	24	23	20	20	39	27	26	27	25	27	27	27	27	26	28	28	27	17	17	16	20	18	105	54	41	13	18	78	60	17	92	96	97	25	30	36	48	17	17	20	45	82	97	99	95	96	98	96	96	96	96	96	96	96	96	20	86	73	71	96	97	29	15	15	14	16	62	21	22	28	30	29	16	23	38	84	13	13	5	29	28	30	26	18	33	91	29	30	54	14	22	17	15	49	71	21	23	139	96	129	20	27	33	25	26	15					
9	Число недействительных избирательных бюллетеней	29	0	1	1	0	2	0	0	1	0	0	1	1	0	0	3	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	5780	63	64	63	67	65	65	81	29	22	20	20	29	32	20	82	15	13	66	19	19	15	83	16	23	24	23	19	20	39	27	26	27	25	27	27	27	27	26	28	28	27	17	17	16	20	18	104	53	41	13	18	78	60	17	92	95	97	25	30	36	48	17	17	20	45	82	97	99	95	96	98	96	96	95	96	96	95	95	96	20	83	73	71	96	97	29	15	15	13	16	62	21	22	28	30	29	16	23	38	84	13	13	5	28	28	30	26	18	33	90	29	30	54	14	22	17	15	49	70	21	23	138	95	128	20	27	33	25	26	15					
11	Число полученных открепительных  удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
