Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																										
Дата голосования: 07.12.2003 0:00:00																																																										
																																																										
Наименование Избирательной комиссии:    Среднеахтубинская																																																										
																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																										
																																																										
		Сумма	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519					
1	"Число избирателей, внесенных в списки"	40250	1377	978	1264	1508	989	966	1092	989	1287	172	407	352	1363	1629	1610	1488	1322	1645	1071	378	505	249	276	140	296	959	1758	602	190	137	169	756	408	553	376	236	226	452	562	1557	528	383	1000	837	757	314	132	1180	1745	836	244					
2	"Число бюллетеней, полученных участковыми комиссиями"	39908	1400	1000	1200	1400	1000	1000	1000	1000	1200	200	400	350	1300	1600	1600	1500	1200	1600	1000	900	500	250	280	152	290	950	1700	600	200	147	170	700	400	500	350	230	230	450	550	1500	500	390	900	800	700	300	139	1200	1800	900	280					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16271	549	356	431	584	371	331	309	451	513	76	187	146	648	699	590	640	446	739	411	378	250	107	122	45	121	402	690	264	96	70	76	359	148	240	164	91	82	202	198	578	167	132	402	246	341	160	73	460	723	281	126					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	728	10	10	14	15	11	17	27	7	0	0	9	18	14	27	22	28	27	24	8	0	12	9	0	25	38	39	50	22	0	0	9	20	8	13	7	12	23	13	23	13	3	17	10	12	13	1	1	11	14	22	0					
6	Число погашенных бюллетеней	22908	841	634	755	801	618	652	663	542	687	124	204	186	638	874	988	832	727	837	581	522	238	134	158	82	131	509	960	314	104	77	85	321	244	247	179	127	125	235	329	909	330	241	488	542	346	139	65	729	1063	597	154					
7	Число бюллетеней в переносных ящиках для голосования	728	10	10	14	15	11	17	27	7	0	0	9	18	14	27	22	28	27	24	8	0	12	9	0	25	38	39	50	22	0	0	9	20	8	13	7	12	23	13	23	13	3	17	10	12	13	1	1	11	14	22	0					
8	Число бюллетеней в стационарных ящиках для голосования	16265	549	356	430	584	371	331	308	451	513	76	187	146	648	699	590	640	446	739	411	378	250	107	122	45	121	402	690	262	96	70	76	359	148	240	164	91	82	202	198	576	167	132	402	246	341	160	73	460	723	281	126					
9	Число недействительных бюллетеней	593	32	20	13	38	15	17	13	10	5	8	12	9	8	10	8	27	17	24	12	15	5	6	10	1	4	8	11	19	0	5	7	10	7	11	7	5	2	15	3	14	7	14	24	14	5	16	3	21	20	5	1					
10	Число действительных бюллетеней	16400	527	346	431	561	367	331	322	448	508	68	184	155	654	716	604	641	456	739	407	363	257	110	112	69	155	433	729	265	96	65	78	369	149	242	164	98	103	200	218	575	163	135	388	244	349	145	71	450	717	298	125					
