Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																											
Дата голосования: 07.12.2003 0:00:00																											
																											
Наименование Избирательной комиссии:    Чкаловская																											
																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																											
																											
		Сумма	УИК  2369	УИК  2370	УИК  2371	УИК  2372	УИК  2373	УИК  2374	УИК  2375	УИК  2376	УИК  2377	УИК  2378	УИК  2379	УИК  2380	УИК  2381	УИК  2382	УИК  2383	УИК  2384	УИК  2385	УИК  2386	УИК  2387	УИК  2388					
1	"Число избирателей, внесенных в списки"	20924	1092	1527	2388	880	2874	2783	737	881	461	723	936	205	1390	562	241	427	1734	201	500	382					
2	"Число бюллетеней, полученных участковыми комиссиями"	17274	902	1222	1956	709	2366	2291	621	731	385	600	785	168	1195	466	200	353	1429	164	415	316					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8286	353	587	1003	291	1377	1417	364	367	175	175	195	67	546	146	112	167	615	67	160	102					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1111	11	97	14	43	6	24	18	22	103	125	156	39	19	57	46	36	96	59	59	81					
6	Число погашенных бюллетеней	7877	538	538	939	375	983	850	239	342	107	300	434	62	630	263	42	150	718	38	196	133					
7	Число бюллетеней в переносных ящиках для голосования	1111	11	97	14	43	6	24	18	22	103	125	156	39	19	57	46	36	96	59	59	81					
8	Число бюллетеней в стационарных ящиках для голосования	8282	353	587	1003	291	1376	1414	364	367	175	175	195	67	546	146	112	167	615	67	160	102					
9	Число недействительных бюллетеней	232	10	22	25	14	20	16	13	20	11	8	6	5	17	7	3	7	14	2	9	3					
10	Число действительных бюллетеней	9161	354	662	992	320	1362	1422	369	369	267	292	345	101	548	196	155	196	697	124	210	180					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	400	30	30	30	30	30	30	30	30	10	25	15	5	30	15	10	10	20	5	10	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	77	4	3	9	3	15	17	2	2	3	0	2	0	9	0	1	1	3	0	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	46	1	2	2	0	3	3	0	5	3	2	2	0	3	3	4	4	2	3	3	1					
14	Число погашенных открепительных удостоверений	323	26	27	21	27	15	13	28	28	7	25	13	5	21	15	9	9	17	5	9	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
18	"1. ""ЕДИНЕНИЕ"""	134	8	9	13	5	15	23	6	4	3	9	5	2	5	4	4	3	10	0	4	2					
		1.42%	2.19%	1.31%	1.27%	1.49%	1.08%	1.59%	1.57%	1.02%	1.07%	3.0%	1.42%	1.88%	0.88%	1.97%	2.53%	1.47%	1.40%	0.0%	1.82%	1.09%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	325	16	23	32	18	76	68	16	9	2	5	7	1	22	4	2	8	5	3	5	3					
		3.46%	4.39%	3.36%	3.14%	5.38%	5.49%	4.72%	4.18%	2.31%	0.71%	1.66%	1.99%	0.94%	3.89%	1.97%	1.26%	3.94%	0.70%	2.38%	2.28%	1.63%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	518	14	56	69	21	80	105	11	14	15	3	11	2	37	8	1	2	45	7	8	9					
		5.51%	3.84%	8.18%	6.78%	6.28%	5.78%	7.30%	2.87%	3.59%	5.39%	1.0%	3.13%	1.88%	6.54%	3.94%	0.63%	0.98%	6.32%	5.55%	3.65%	4.91%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	189	5	6	19	3	28	29	21	7	3	2	4	2	38	4	1	3	7	2	5	0					
		2.01%	1.37%	0.87%	1.86%	0.89%	2.02%	2.01%	5.49%	1.79%	1.07%	0.66%	1.13%	1.88%	6.72%	1.97%	0.63%	1.47%	0.98%	1.58%	2.28%	0.0%					
22	"5. ""За Русь Святую"""	85	2	5	13	1	7	7	3	2	6	4	3	1	3	3	3	2	13	2	3	2					
		0.90%	0.54%	0.73%	1.27%	0.29%	0.50%	0.48%	0.78%	0.51%	2.15%	1.33%	0.85%	0.94%	0.53%	1.47%	1.89%	0.98%	1.82%	1.58%	1.36%	1.09%					
23	"6. ""Объединенная Российская партия ""Русь"""	20	0	1	3	1	0	6	1	1	1	1	0	0	1	1	1	0	0	1	1	0					
		0.21%	0.0%	0.14%	0.29%	0.29%	0.0%	0.41%	0.26%	0.25%	0.35%	0.33%	0.0%	0.0%	0.17%	0.49%	0.63%	0.0%	0.0%	0.79%	0.45%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	58	0	5	11	1	7	8	2	1	3	0	4	0	7	1	1	2	2	1	0	2					
		0.61%	0.0%	0.73%	1.08%	0.29%	0.50%	0.55%	0.52%	0.25%	1.07%	0.0%	1.13%	0.0%	1.23%	0.49%	0.63%	0.98%	0.28%	0.79%	0.0%	1.09%					
25	"8. ""Народно-республиканская партия России"""	16	3	2	0	2	0	3	2	0	0	1	0	0	0	0	0	1	1	0	0	1					
		0.17%	0.82%	0.29%	0.0%	0.59%	0.0%	0.20%	0.52%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%	0.14%	0.0%	0.0%	0.54%					
26	"9. ""Российская экологическая партия ""Зеленые"""	30	0	2	3	1	4	4	1	1	0	1	1	1	1	2	0	0	4	1	2	1					
