Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																
Дата голосования: 02.12.2007																																																																																
																																																																																
Наименование Избирательной комиссии:    Фрунзенская N29																																																																																
																																																																																
Сводная таблица результатов выборов																																																																																
																																																																																
		Сумма	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714					
1	"Число избирателей, внесенных в списки избирателей"	165727	2688	2416	1874	2482	1828	2358	2092	2121	2562	2372	2579	2244	2391	2526	2216	2536	2037	2576	2487	2553	2530	2321	2171	2315	1038	2435	2248	2844	2782	2704	1894	2468	1783	2049	2126	1559	1964	1934	1918	2448	2395	2492	2381	2585	2283	2814	2424	2620	2049	2106	1824	1946	2016	2556	1901	2027	1856	2205	2180	2089	2014	2511	2010	2281	2501	2534	2370	2624	2465	2243	2380	2187	2389					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	134000	2000	2000	1500	2000	1500	2000	1500	1500	2000	2000	2000	2000	2000	2000	2000	2000	1500	2000	2000	2000	2000	2000	2000	2000	1000	2000	2000	2500	2000	2000	1500	2000	1500	1500	1500	1500	1500	1500	1500	2000	2000	2000	2000	2000	2000	2000	2000	2000	1500	1500	1500	1500	1500	2000	1500	1500	1500	2000	2000	1500	2000	2000	1500	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	84202	1399	1158	969	1187	1059	1277	1038	1012	1170	1190	1253	1140	1140	1336	1153	1186	994	1455	1295	1338	1391	1096	1176	1217	494	1298	1031	1420	1440	1339	874	1303	903	1101	1060	854	955	929	1023	1172	1249	1100	1220	1145	1280	1498	1320	1331	1032	1061	906	938	1084	1306	1026	1057	945	1168	1016	1095	1176	1282	1098	1149	1140	1349	1270	1230	1191	1102	1229	1185	1199					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1063	26	18	19	15	10	11	39	9	31	7	20	24	15	29	12	12	20	22	23	17	11	13	12	11	0	12	12	33	25	23	19	9	23	11	20	6	6	10	7	12	6	19	12	11	10	9	15	19	8	16	11	12	10	12	9	18	17	12	17	15	10	13	8	13	17	0	6	32	15	9	12	10	6					
6	Число погашенных избирательных бюллетеней	48735	575	824	512	798	431	712	423	479	799	803	727	836	845	635	835	802	486	523	682	645	598	891	812	772	506	690	957	1047	535	638	607	688	574	388	420	640	539	561	470	816	745	881	768	844	710	493	665	650	460	423	583	550	406	682	465	425	538	820	967	390	814	705	394	838	843	651	724	738	794	889	759	805	795					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1059	26	18	19	15	10	11	39	9	31	7	20	24	15	29	12	12	20	22	23	17	11	13	12	11	0	12	12	33	25	23	19	9	23	11	20	6	6	10	7	12	6	19	12	11	10	9	15	19	8	16	11	12	10	12	9	18	17	12	17	15	10	13	8	13	17	0	6	28	15	9	12	10	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	84062	1399	1153	969	1186	1058	1277	1038	1012	1170	1190	1246	1137	1140	1336	1150	1186	994	1455	1293	1338	1386	1095	1176	1206	493	1293	1031	1417	1435	1339	874	1303	900	1090	1060	848	950	920	1023	1170	1242	1097	1220	1145	1278	1498	1310	1330	1032	1061	906	938	1084	1305	1026	1057	945	1164	1015	1095	1176	1277	1098	1147	1140	1347	1270	1230	1190	1100	1229	1175	1199					
9	Число недействительных избирательных бюллетеней	700	16	9	19	8	4	15	8	11	6	9	12	8	13	17	5	7	7	8	8	13	11	5	12	7	3	14	4	13	15	9	7	10	3	11	3	6	8	4	13	10	8	13	7	12	5	24	5	13	10	11	10	5	7	12	6	9	9	9	12	9	14	9	9	13	13	10	13	4	12	10	6	12	8					
10	Число действительных избирательных бюллетеней	84421	1409	1162	969	1193	1064	1273	1069	1010	1195	1188	1254	1153	1142	1348	1157	1191	1007	1469	1308	1342	1386	1103	1176	1210	490	1291	1039	1437	1445	1353	886	1302	920	1090	1077	848	948	926	1017	1172	1240	1103	1225	1144	1283	1483	1320	1336	1030	1066	907	945	1087	1305	1029	1066	953	1167	1020	1101	1172	1281	1097	1147	1144	1337	1263	1254	1193	1099	1235	1173	1197					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3750	50	50	50	50	50	50	50	50	50	50	70	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	80	50	50	50	50	50	100	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1869	27	26	18	12	21	29	23	25	20	20	59	24	23	34	33	28	29	29	32	19	31	19	33	23	7	16	19	32	34	31	15	28	18	26	21	20	23	19	24	65	26	40	21	24	18	66	26	29	16	15	14	22	25	15	25	20	23	21	24	35	29	27	14	20	33	29	21	20	31	25	27	25	28					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1237	16	11	20	11	34	7	24	16	13	13	24	15	14	17	13	17	18	18	9	9	29	18	18	12	21	21	8	13	21	14	4	27	12	11	10	10	10	17	50	15	18	16	20	18	19	28	25	20	29	7	8	17	8	17	13	16	13	8	9	18	11	54	18	12	17	12	31	27	11	18	13	10	16					
14	Число погашенных неиспользованных открепительных удостоверений	1881	23	24	32	38	29	21	27	25	30	30	11	26	27	16	17	22	21	21	18	31	19	31	17	27	43	34	31	18	16	19	35	22	32	24	29	30	27	31	26	15	24	10	29	26	32	34	24	21	34	35	36	28	25	35	25	30	27	29	26	15	21	23	36	30	17	21	29	30	19	25	23	25	22					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	304	7	2	1	8	4	6	2	4	8	8	0	2	6	7	7	5	5	7	1	3	1	8	2	4	5	4	2	1	6	4	4	3	6	4	0	2	8	6	11	3	7	9	3	1	4	7	4	4	1	2	2	1	6	5	4	5	2	5	2	4	5	1	3	5	1	3	2	7	5	5	7	4	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																
18	1.Политическая партия «Аграрная партия России»	2112	39	25	19	29	34	27	27	22	32	28	37	44	37	34	27	28	21	31	34	34	32	22	29	20	15	33	21	39	35	48	20	32	23	21	20	23	23	23	14	48	30	26	35	28	22	28	35	26	21	32	27	36	30	35	18	25	27	23	24	34	25	37	27	21	31	34	27	28	40	41	33	28	28					
